+---------------+---------+-------------+
| start_of_week | step_id | total_leads |
| 2021-08-09    | 7       | 5           |
| 2021-08-16    | 0       | 10          |
| 2021-08-16    | 1       | 19          |
| 2021-08-16    | 2       | 15          |
| 2021-08-16    | 3       | 14          |
| 2021-08-16    | 4       | 25          |
| 2021-08-16    | 5       | 17          |
| 2021-08-16    | 6       | 19          |
| 2021-08-16    | 7       | 10          |
| 2021-08-23    | 0       | 28          |
| 2021-08-23    | 1       | 32          |
| 2021-08-23    | 2       | 16          |
| 2021-08-23    | 3       | 11          |
| 2021-08-23    | 4       | 12          |
| 2021-08-23    | 5       | 9           |
| 2021-08-23    | 6       | 17          |
| 2021-08-23    | 7       | 16          |
| 2021-08-30    | 0       | 50          |
| 2021-08-30    | 1       | 60          |
| 2021-08-30    | 2       | 33          |
| 2021-08-30    | 3       | 18          |
| 2021-08-30    | 4       | 13          |
| 2021-08-30    | 5       | 6           |
| 2021-08-30    | 6       | 10          |
| 2021-08-30    | 7       | 14          |
| 2021-09-06    | 0       | 32          |
| 2021-09-06    | 1       | 58          |
| 2021-09-06    | 2       | 51          |
| 2021-09-06    | 3       | 39          |
| 2021-09-06    | 4       | 39          |
| 2021-09-06    | 5       | 12          |
| 2021-09-06    | 6       | 9           |
| 2021-09-06    | 7       | 6           |
| 2021-09-13    | 0       | 10          |
| 2021-09-13    | 1       | 24          |
| 2021-09-13    | 2       | 31          |
| 2021-09-13    | 3       | 29          |
| 2021-09-13    | 4       | 48          |
| 2021-09-13    | 5       | 27          |
| 2021-09-13    | 6       | 19          |
| 2021-09-13    | 7       | 6           |
| 2021-09-20    | 0       | 26          |
| 2021-09-20    | 1       | 27          |
| 2021-09-20    | 2       | 12          |
| 2021-09-20    | 3       | 9           |
| 2021-09-20    | 4       | 25          |
| 2021-09-20    | 5       | 24          |
| 2021-09-20    | 6       | 28          |
| 2021-09-20    | 7       | 15          |
| 2021-09-27    | 0       | 53          |
| 2021-09-27    | 1       | 62          |
| 2021-09-27    | 2       | 28          |
| 2021-09-27    | 3       | 13          |
| 2021-09-27    | 4       | 13          |
| 2021-09-27    | 5       | 5           |
| 2021-09-27    | 6       | 17          |
| 2021-09-27    | 7       | 23          |
| 2021-10-04    | 0       | 30          |
| 2021-10-04    | 1       | 59          |
| 2021-10-04    | 2       | 45          |
| 2021-10-04    | 3       | 36          |
| 2021-10-04    | 4       | 30          |
| 2021-10-04    | 5       | 8           |
| 2021-10-04    | 6       | 8           |
| 2021-10-04    | 7       | 11          |
| 2021-10-11    | 0       | 11          |
| 2021-10-11    | 1       | 33          |
| 2021-10-11    | 2       | 32          |
| 2021-10-11    | 3       | 29          |
| 2021-10-11    | 4       | 48          |
| 2021-10-11    | 5       | 21          |
| 2021-10-11    | 6       | 18          |
| 2021-10-11    | 7       | 7           |
| 2021-10-18    | 0       | 12          |
| 2021-10-18    | 1       | 18          |
| 2021-10-18    | 2       | 10          |
| 2021-10-18    | 3       | 8           |
| 2021-10-18    | 4       | 30          |
| 2021-10-18    | 5       | 27          |
| 2021-10-18    | 6       | 34          |
| 2021-10-18    | 7       | 16          |
| 2021-10-25    | 0       | 22          |
| 2021-10-25    | 1       | 31          |
| 2021-10-25    | 2       | 14          |
| 2021-10-25    | 3       | 13          |
| 2021-10-25    | 4       | 14          |
| 2021-10-25    | 5       | 5           |
| 2021-10-25    | 6       | 25          |
| 2021-10-25    | 7       | 29          |
| 2021-11-01    | 0       | 37          |
| 2021-11-01    | 1       | 48          |
| 2021-11-01    | 2       | 27          |
| 2021-11-01    | 3       | 20          |
| 2021-11-01    | 4       | 21          |
| 2021-11-01    | 5       | 6           |
| 2021-11-01    | 6       | 8           |
| 2021-11-01    | 7       | 18          |
| 2021-11-08    | 0       | 18          |
| 2021-11-08    | 1       | 40          |
| 2021-11-08    | 2       | 32          |
| 2021-11-08    | 3       | 25          |
| 2021-11-08    | 4       | 31          |
| 2021-11-08    | 5       | 12          |
| 2021-11-08    | 6       | 11          |
| 2021-11-08    | 7       | 7           |
| 2021-11-15    | 0       | 16          |
| 2021-11-15    | 1       | 26          |
| 2021-11-15    | 2       | 19          |
| 2021-11-15    | 3       | 15          |
| 2021-11-15    | 4       | 25          |
| 2021-11-15    | 5       | 17          |
| 2021-11-15    | 6       | 18          |
| 2021-11-15    | 7       | 7           |
| 2021-11-22    | 0       | 22          |
| 2021-11-22    | 1       | 31          |
| 2021-11-22    | 2       | 17          |
| 2021-11-22    | 3       | 10          |
| 2021-11-22    | 4       | 11          |
| 2021-11-22    | 5       | 8           |
| 2021-11-22    | 6       | 17          |
| 2021-11-22    | 7       | 12          |
| 2021-11-29    | 0       | 61          |
| 2021-11-29    | 1       | 66          |
| 2021-11-29    | 2       | 30          |
| 2021-11-29    | 3       | 20          |
| 2021-11-29    | 4       | 14          |
| 2021-11-29    | 5       | 3           |
| 2021-11-29    | 6       | 6           |
| 2021-11-29    | 7       | 13          |
| 2021-12-06    | 0       | 47          |
| 2021-12-06    | 1       | 77          |
| 2021-12-06    | 2       | 62          |
| 2021-12-06    | 3       | 47          |
| 2021-12-06    | 4       | 44          |
| 2021-12-06    | 5       | 7           |
| 2021-12-06    | 6       | 4           |
| 2021-12-06    | 7       | 5           |
| 2021-12-13    | 0       | 28          |
| 2021-12-13    | 1       | 43          |
| 2021-12-13    | 2       | 45          |
| 2021-12-13    | 3       | 41          |
| 2021-12-13    | 4       | 60          |
| 2021-12-13    | 5       | 28          |
| 2021-12-13    | 6       | 18          |
| 2021-12-13    | 7       | 4           |
| 2021-12-20    | 0       | 39          |
| 2021-12-20    | 1       | 49          |
| 2021-12-20    | 2       | 32          |
| 2021-12-20    | 3       | 19          |
| 2021-12-20    | 4       | 44          |
| 2021-12-20    | 5       | 34          |
| 2021-12-20    | 6       | 45          |
| 2021-12-20    | 7       | 15          |
| 2021-12-27    | 0       | 65          |
| 2021-12-27    | 1       | 82          |
| 2021-12-27    | 2       | 43          |
| 2021-12-27    | 3       | 29          |
| 2021-12-27    | 4       | 30          |
| 2021-12-27    | 5       | 10          |
| 2021-12-27    | 6       | 34          |
| 2021-12-27    | 7       | 35          |
| 2022-01-03    | 0       | 51          |
| 2022-01-03    | 1       | 85          |
| 2022-01-03    | 2       | 68          |
| 2022-01-03    | 3       | 51          |
| 2022-01-03    | 4       | 44          |
| 2022-01-03    | 5       | 18          |
| 2022-01-03    | 6       | 12          |
| 2022-01-03    | 7       | 29          |
| 2022-01-10    | 0       | 15          |
| 2022-01-10    | 1       | 40          |
| 2022-01-10    | 2       | 45          |
| 2022-01-10    | 3       | 40          |
| 2022-01-10    | 4       | 61          |
| 2022-01-10    | 5       | 26          |
| 2022-01-10    | 6       | 19          |
| 2022-01-10    | 7       | 8           |
| 2022-01-17    | 0       | 18          |
| 2022-01-17    | 1       | 26          |
| 2022-01-17    | 2       | 19          |
| 2022-01-17    | 3       | 16          |
| 2022-01-17    | 4       | 43          |
| 2022-01-17    | 5       | 39          |
| 2022-01-17    | 6       | 40          |
| 2022-01-17    | 7       | 16          |
| 2022-01-24    | 0       | 29          |
| 2022-01-24    | 1       | 38          |
| 2022-01-24    | 2       | 23          |
| 2022-01-24    | 3       | 15          |
| 2022-01-24    | 4       | 19          |
| 2022-01-24    | 5       | 11          |
| 2022-01-24    | 6       | 31          |
| 2022-01-24    | 7       | 32          |
| 2022-01-31    | 0       | 26          |
| 2022-01-31    | 1       | 41          |
| 2022-01-31    | 2       | 36          |
| 2022-01-31    | 3       | 27          |
| 2022-01-31    | 4       | 20          |
| 2022-01-31    | 5       | 8           |
| 2022-01-31    | 6       | 9           |
| 2022-01-31    | 7       | 21          |
| 2022-02-07    | 0       | 12          |
| 2022-02-07    | 1       | 22          |
| 2022-02-07    | 2       | 26          |
| 2022-02-07    | 3       | 29          |
| 2022-02-07    | 4       | 40          |
| 2022-02-07    | 5       | 13          |
| 2022-02-07    | 6       | 12          |
| 2022-02-07    | 7       | 6           |
| 2022-02-14    | 0       | 13          |
| 2022-02-14    | 1       | 20          |
| 2022-02-14    | 2       | 13          |
| 2022-02-14    | 3       | 5           |
| 2022-02-14    | 4       | 30          |
| 2022-02-14    | 5       | 25          |
| 2022-02-14    | 6       | 27          |
| 2022-02-14    | 7       | 8           |
| 2022-02-21    | 0       | 36          |
| 2022-02-21    | 1       | 39          |
| 2022-02-21    | 2       | 16          |
| 2022-02-21    | 3       | 12          |
| 2022-02-21    | 4       | 11          |
| 2022-02-21    | 5       | 5           |
| 2022-02-21    | 6       | 23          |
| 2022-02-21    | 7       | 22          |
| 2022-02-28    | 0       | 64          |
| 2022-02-28    | 1       | 82          |
| 2022-02-28    | 2       | 35          |
| 2022-02-28    | 3       | 24          |
| 2022-02-28    | 4       | 18          |
| 2022-02-28    | 5       | 5           |
| 2022-02-28    | 6       | 4           |
| 2022-02-28    | 7       | 19          |
| 2022-03-07    | 0       | 45          |
| 2022-03-07    | 1       | 86          |
| 2022-03-07    | 2       | 68          |
| 2022-03-07    | 3       | 61          |
| 2022-03-07    | 4       | 47          |
| 2022-03-07    | 5       | 10          |
| 2022-03-07    | 6       | 4           |
| 2022-03-07    | 7       | 1           |
| 2022-03-14    | 0       | 23          |
| 2022-03-14    | 1       | 44          |
| 2022-03-14    | 2       | 42          |
| 2022-03-14    | 3       | 40          |
| 2022-03-14    | 4       | 67          |
| 2022-03-14    | 5       | 34          |
| 2022-03-14    | 6       | 27          |
| 2022-03-14    | 7       | 4           |
| 2022-03-21    | 0       | 63          |
| 2022-03-21    | 1       | 67          |
| 2022-03-21    | 2       | 28          |
| 2022-03-21    | 3       | 20          |
| 2022-03-21    | 4       | 40          |
| 2022-03-21    | 5       | 27          |
| 2022-03-21    | 6       | 44          |
| 2022-03-21    | 7       | 19          |
| 2022-03-28    | 0       | 61          |
| 2022-03-28    | 1       | 90          |
| 2022-03-28    | 2       | 62          |
| 2022-03-28    | 3       | 45          |
| 2022-03-28    | 4       | 40          |
| 2022-03-28    | 5       | 13          |
| 2022-03-28    | 6       | 31          |
| 2022-03-28    | 7       | 37          |
| 2022-04-04    | 0       | 33          |
| 2022-04-04    | 1       | 63          |
| 2022-04-04    | 2       | 64          |
| 2022-04-04    | 3       | 51          |
| 2022-04-04    | 4       | 60          |
| 2022-04-04    | 5       | 26          |
| 2022-04-04    | 6       | 19          |
| 2022-04-04    | 7       | 29          |
| 2022-04-11    | 0       | 11          |
| 2022-04-11    | 1       | 24          |
| 2022-04-11    | 2       | 35          |
| 2022-04-11    | 3       | 35          |
| 2022-04-11    | 4       | 61          |
| 2022-04-11    | 5       | 39          |
| 2022-04-11    | 6       | 36          |
| 2022-04-11    | 7       | 13          |
| 2022-04-18    | 0       | 14          |
| 2022-04-18    | 1       | 23          |
| 2022-04-18    | 2       | 12          |
| 2022-04-18    | 3       | 12          |
| 2022-04-18    | 4       | 34          |
| 2022-04-18    | 5       | 31          |
| 2022-04-18    | 6       | 49          |
| 2022-04-18    | 7       | 24          |
| 2022-04-25    | 0       | 41          |
| 2022-04-25    | 1       | 45          |
| 2022-04-25    | 2       | 17          |
| 2022-04-25    | 3       | 12          |
| 2022-04-25    | 4       | 14          |
| 2022-04-25    | 5       | 8           |
| 2022-04-25    | 6       | 28          |
| 2022-04-25    | 7       | 36          |
| 2022-05-02    | 0       | 40          |
| 2022-05-02    | 1       | 59          |
| 2022-05-02    | 2       | 37          |
| 2022-05-02    | 3       | 24          |
| 2022-05-02    | 4       | 21          |
| 2022-05-02    | 5       | 5           |
| 2022-05-02    | 6       | 6           |
| 2022-05-02    | 7       | 19          |
| 2022-05-09    | 0       | 18          |
| 2022-05-09    | 1       | 37          |
| 2022-05-09    | 2       | 41          |
| 2022-05-09    | 3       | 34          |
| 2022-05-09    | 4       | 42          |
| 2022-05-09    | 5       | 13          |
| 2022-05-09    | 6       | 9           |
| 2022-05-09    | 7       | 4           |
| 2022-05-16    | 0       | 13          |
| 2022-05-16    | 1       | 18          |
| 2022-05-16    | 2       | 11          |
| 2022-05-16    | 3       | 11          |
| 2022-05-16    | 4       | 35          |
| 2022-05-16    | 5       | 24          |
| 2022-05-16    | 6       | 20          |
| 2022-05-16    | 7       | 7           |
| 2022-05-23    | 0       | 41          |
| 2022-05-23    | 1       | 48          |
| 2022-05-23    | 2       | 18          |
| 2022-05-23    | 3       | 8           |
| 2022-05-23    | 4       | 12          |
| 2022-05-23    | 5       | 11          |
| 2022-05-23    | 6       | 23          |
| 2022-05-23    | 7       | 18          |
| 2022-05-30    | 0       | 91          |
| 2022-05-30    | 1       | 103         |
| 2022-05-30    | 2       | 61          |
| 2022-05-30    | 3       | 30          |
| 2022-05-30    | 4       | 23          |
| 2022-05-30    | 5       | 6           |
| 2022-05-30    | 6       | 10          |
| 2022-05-30    | 7       | 19          |
| 2022-06-06    | 0       | 64          |
| 2022-06-06    | 1       | 103         |
| 2022-06-06    | 2       | 93          |
| 2022-06-06    | 3       | 66          |
| 2022-06-06    | 4       | 59          |
| 2022-06-06    | 5       | 15          |
| 2022-06-06    | 6       | 10          |
| 2022-06-06    | 7       | 7           |
| 2022-06-13    | 0       | 30          |
| 2022-06-13    | 1       | 60          |
| 2022-06-13    | 2       | 62          |
| 2022-06-13    | 3       | 60          |
| 2022-06-13    | 4       | 88          |
| 2022-06-13    | 5       | 36          |
| 2022-06-13    | 6       | 24          |
| 2022-06-13    | 7       | 6           |
| 2022-06-20    | 0       | 56          |
| 2022-06-20    | 1       | 70          |
| 2022-06-20    | 2       | 31          |
| 2022-06-20    | 3       | 25          |
| 2022-06-20    | 4       | 59          |
| 2022-06-20    | 5       | 47          |
| 2022-06-20    | 6       | 53          |
| 2022-06-20    | 7       | 20          |
| 2022-06-27    | 0       | 63          |
| 2022-06-27    | 1       | 97          |
| 2022-06-27    | 2       | 60          |
| 2022-06-27    | 3       | 47          |
| 2022-06-27    | 4       | 44          |
| 2022-06-27    | 5       | 16          |
| 2022-06-27    | 6       | 46          |
| 2022-06-27    | 7       | 41          |
| 2022-07-04    | 0       | 35          |
| 2022-07-04    | 1       | 66          |
| 2022-07-04    | 2       | 65          |
| 2022-07-04    | 3       | 55          |
| 2022-07-04    | 4       | 69          |
| 2022-07-04    | 5       | 26          |
| 2022-07-04    | 6       | 25          |
| 2022-07-04    | 7       | 33          |
| 2022-07-11    | 0       | 14          |
| 2022-07-11    | 1       | 24          |
| 2022-07-11    | 2       | 32          |
| 2022-07-11    | 3       | 25          |
| 2022-07-11    | 4       | 59          |
| 2022-07-11    | 5       | 41          |
| 2022-07-11    | 6       | 42          |
| 2022-07-11    | 7       | 14          |
| 2022-07-18    | 0       | 22          |
| 2022-07-18    | 1       | 22          |
| 2022-07-18    | 2       | 14          |
| 2022-07-18    | 3       | 11          |
| 2022-07-18    | 4       | 27          |
| 2022-07-18    | 5       | 20          |
| 2022-07-18    | 6       | 47          |
| 2022-07-18    | 7       | 34          |
| 2022-07-25    | 0       | 36          |
| 2022-07-25    | 1       | 45          |
| 2022-07-25    | 2       | 23          |
| 2022-07-25    | 3       | 16          |
| 2022-07-25    | 4       | 15          |
| 2022-07-25    | 5       | 4           |
| 2022-07-25    | 6       | 21          |
| 2022-07-25    | 7       | 31          |
| 2022-08-01    | 0       | 54          |
| 2022-08-01    | 1       | 71          |
| 2022-08-01    | 2       | 50          |
| 2022-08-01    | 3       | 33          |
| 2022-08-01    | 4       | 29          |
| 2022-08-01    | 5       | 9           |
| 2022-08-01    | 6       | 5           |
| 2022-08-01    | 7       | 15          |
| 2022-08-08    | 0       | 29          |
| 2022-08-08    | 1       | 53          |
| 2022-08-08    | 2       | 49          |
| 2022-08-08    | 3       | 47          |
| 2022-08-08    | 4       | 52          |
| 2022-08-08    | 5       | 21          |
| 2022-08-08    | 6       | 10          |
| 2022-08-08    | 7       | 4           |
| 2022-08-15    | 0       | 9           |
| 2022-08-15    | 1       | 25          |
| 2022-08-15    | 2       | 24          |
| 2022-08-15    | 3       | 23          |
| 2022-08-15    | 4       | 49          |
| 2022-08-15    | 5       | 32          |
| 2022-08-15    | 6       | 30          |
| 2022-08-15    | 7       | 10          |
| 2022-08-22    | 0       | 24          |
| 2022-08-22    | 1       | 27          |
| 2022-08-22    | 2       | 15          |
| 2022-08-22    | 3       | 10          |
| 2022-08-22    | 4       | 24          |
| 2022-08-22    | 5       | 20          |
| 2022-08-22    | 6       | 36          |
| 2022-08-22    | 7       | 28          |
| 2022-08-29    | 0       | 90          |
| 2022-08-29    | 1       | 95          |
| 2022-08-29    | 2       | 33          |
| 2022-08-29    | 3       | 16          |
| 2022-08-29    | 4       | 12          |
| 2022-08-29    | 5       | 6           |
| 2022-08-29    | 6       | 16          |
| 2022-08-29    | 7       | 31          |
| 2022-09-05    | 0       | 61          |
| 2022-09-05    | 1       | 112         |
| 2022-09-05    | 2       | 93          |
