┌──────────┬───────────────────────────────┬─────────────────────┬───────┬────────────────────────────┐
│ leads_id │             stage             │      timestamp      │ state │           reason           │
│ 27       │ initial_communication_success │ 2020-12-14 09:53:16 │ 1     │                            │
│ 27       │ approach_success              │ 2020-12-15 17:07:06 │ 1     │                            │
│ 27       │ discussion_success            │ 2020-12-21 17:54:20 │ 1     │                            │
│ 27       │ offer_sent                    │ 2020-12-22 17:52:59 │ 1     │                            │
│ 27       │ quotation_recieved            │ 2020-12-30 12:11:59 │ 1     │                            │
│ 27       │ deal_won                      │ 2021-01-07 11:34:42 │ 1     │                            │
│ 28       │ leads_registered              │ 2020-12-04 15:48:54 │ 1     │                            │
│ 28       │ leads_qualification           │ 2020-12-09 12:42:32 │ 1     │                            │
│ 28       │ initial_communication_success │ 2020-12-10 09:50:48 │ 1     │                            │
│ 28       │ approach_success              │ 2020-12-11 13:31:56 │ 1     │                            │
│ 28       │ discussion_success            │ 2020-12-17 14:41:16 │ 1     │                            │
│ 28       │ offer_sent                    │ 2020-12-18 10:36:35 │ 1     │                            │
│ 28       │ quotation_recieved            │ 2020-12-24 17:25:12 │ 1     │                            │
│ 28       │ deal_won                      │ 2021-01-01 10:45:45 │ 1     │                            │
│ 29       │ leads_registered              │ 2020-12-04 16:12:38 │ 1     │                            │
│ 29       │ leads_qualification           │ 2020-12-11 17:56:07 │ 1     │                            │
│ 29       │ initial_communication_success │ 2020-12-14 16:27:00 │ 0     │ not answered               │
│ 30       │ leads_registered              │ 2020-12-04 16:36:34 │ 1     │                            │
│ 30       │ leads_qualification           │ 2020-12-08 12:51:57 │ 1     │                            │
│ 30       │ initial_communication_success │ 2020-12-11 10:21:05 │ 0     │ not answered               │
│ 31       │ leads_registered              │ 2020-12-04 17:07:02 │ 1     │                            │
│ 31       │ leads_qualification           │ 2020-12-07 16:00:43 │ 1     │                            │
│ 31       │ initial_communication_success │ 2020-12-10 11:47:51 │ 1     │                            │
│ 31       │ approach_success              │ 2020-12-11 13:51:58 │ 1     │                            │
│ 31       │ discussion_success            │ 2020-12-18 09:57:59 │ 1     │                            │
│ 31       │ offer_sent                    │ 2020-12-21 09:04:14 │ 1     │                            │
│ 31       │ quotation_recieved            │ 2020-12-29 12:21:11 │ 1     │                            │
│ 31       │ deal_won                      │ 2021-01-04 17:25:40 │ 1     │                            │
│ 32       │ leads_registered              │ 2020-12-07 09:18:17 │ 1     │                            │
│ 32       │ leads_qualification           │ 2020-12-11 17:10:16 │ 1     │                            │
│ 32       │ initial_communication_success │ 2020-12-14 16:19:07 │ 0     │ not answered               │
│ 33       │ leads_registered              │ 2020-12-07 09:37:27 │ 1     │                            │
│ 34       │ leads_registered              │ 2020-12-07 09:46:33 │ 1     │                            │
│ 35       │ leads_registered              │ 2020-12-07 09:52:53 │ 1     │                            │
│ 35       │ leads_qualification           │ 2020-12-11 16:16:51 │ 1     │                            │
│ 35       │ initial_communication_success │ 2020-12-14 16:02:58 │ 1     │                            │
│ 35       │ approach_success              │ 2020-12-16 11:22:01 │ 1     │                            │
│ 35       │ discussion_success            │ 2020-12-23 10:55:40 │ 1     │                            │
│ 35       │ offer_sent                    │ 2020-12-25 17:27:12 │ 0     │ price not fit              │
│ 36       │ leads_registered              │ 2020-12-07 11:19:48 │ 1     │                            │
│ 36       │ leads_qualification           │ 2020-12-11 15:11:12 │ 1     │                            │
│ 36       │ initial_communication_success │ 2020-12-14 17:07:50 │ 1     │                            │
│ 36       │ approach_success              │ 2020-12-16 13:29:26 │ 1     │                            │
│ 36       │ discussion_success            │ 2020-12-23 09:51:04 │ 1     │                            │
│ 36       │ offer_sent                    │ 2020-12-25 15:06:42 │ 1     │                            │
│ 36       │ quotation_recieved            │ 2020-12-29 11:13:06 │ 1     │                            │
│ 36       │ deal_won                      │ 2021-01-01 10:19:43 │ 1     │                            │
│ 37       │ leads_registered              │ 2020-12-07 12:25:04 │ 1     │                            │
│ 37       │ leads_qualification           │ 2020-12-14 15:38:43 │ 1     │                            │
│ 37       │ initial_communication_success │ 2020-12-16 10:35:41 │ 1     │                            │
│ 37       │ approach_success              │ 2020-12-17 14:58:46 │ 0     │ not answered               │
│ 38       │ leads_registered              │ 2020-12-07 14:24:19 │ 1     │                            │
│ 38       │ leads_qualification           │ 2020-12-11 12:12:38 │ 1     │                            │
│ 38       │ initial_communication_success │ 2020-12-14 17:41:51 │ 1     │                            │
│ 38       │ approach_success              │ 2020-12-16 16:53:08 │ 0     │ not interested             │
│ 39       │ leads_registered              │ 2020-12-07 16:32:06 │ 1     │                            │
│ 39       │ leads_qualification           │ 2020-12-11 09:19:23 │ 1     │                            │
│ 39       │ initial_communication_success │ 2020-12-14 11:25:44 │ 0     │ not answered               │
│ 40       │ leads_registered              │ 2020-12-07 16:39:49 │ 1     │                            │
│ 41       │ leads_registered              │ 2020-12-08 09:56:50 │ 1     │                            │
│ 41       │ leads_qualification           │ 2020-12-11 15:10:32 │ 0     │ not selected               │
│ 42       │ leads_registered              │ 2020-12-08 10:53:09 │ 1     │                            │
│ 42       │ leads_qualification           │ 2020-12-14 17:20:48 │ 1     │                            │
│ 42       │ initial_communication_success │ 2020-12-16 16:57:58 │ 1     │                            │
│ 42       │ approach_success              │ 2020-12-17 15:39:18 │ 1     │                            │
│ 42       │ discussion_success            │ 2020-12-22 15:26:42 │ 1     │                            │
│ 42       │ offer_sent                    │ 2020-12-23 14:55:10 │ 1     │                            │
│ 42       │ quotation_recieved            │ 2020-12-31 14:21:50 │ 0     │ price not fit              │
│ 43       │ leads_registered              │ 2020-12-08 12:08:28 │ 1     │                            │
│ 43       │ leads_qualification           │ 2020-12-11 17:16:16 │ 0     │ not selected               │
│ 44       │ leads_registered              │ 2020-12-08 16:06:14 │ 1     │                            │
│ 45       │ leads_registered              │ 2020-12-08 16:08:54 │ 1     │                            │
│ 45       │ leads_qualification           │ 2020-12-11 15:33:47 │ 1     │                            │
│ 45       │ initial_communication_success │ 2020-12-14 17:23:33 │ 1     │                            │
│ 45       │ approach_success              │ 2020-12-15 17:03:55 │ 1     │                            │
│ 45       │ discussion_success            │ 2020-12-21 15:33:44 │ 1     │                            │
│ 45       │ offer_sent                    │ 2020-12-22 17:52:40 │ 1     │                            │
│ 45       │ quotation_recieved            │ 2020-12-28 10:46:29 │ 1     │                            │
│ 45       │ deal_won                      │ 2021-01-05 11:38:35 │ 1     │                            │
│ 46       │ leads_registered              │ 2020-12-08 16:52:10 │ 1     │                            │
│ 46       │ leads_qualification           │ 2020-12-14 10:39:57 │ 1     │                            │
│ 46       │ initial_communication_success │ 2020-12-17 09:18:07 │ 1     │                            │
│ 46       │ approach_success              │ 2020-12-18 14:09:25 │ 1     │                            │
│ 46       │ discussion_success            │ 2020-12-25 11:55:41 │ 1     │                            │
│ 46       │ offer_sent                    │ 2020-12-29 13:39:51 │ 1     │                            │
│ 46       │ quotation_recieved            │ 2021-01-08 15:58:45 │ 1     │                            │
│ 46       │ deal_won                      │ 2021-01-11 15:35:17 │ 1     │                            │
│ 47       │ leads_registered              │ 2020-12-08 17:32:36 │ 1     │                            │
│ 48       │ leads_registered              │ 2020-12-09 10:23:17 │ 1     │                            │
│ 48       │ leads_qualification           │ 2020-12-14 17:02:43 │ 1     │                            │
│ 48       │ initial_communication_success │ 2020-12-15 17:38:07 │ 1     │                            │
│ 48       │ approach_success              │ 2020-12-16 15:25:21 │ 1     │                            │
│ 48       │ discussion_success            │ 2020-12-23 09:34:51 │ 1     │                            │
│ 48       │ offer_sent                    │ 2020-12-25 09:24:07 │ 1     │                            │
│ 48       │ quotation_recieved            │ 2021-01-01 09:19:13 │ 1     │                            │
│ 48       │ deal_won                      │ 2021-01-05 10:43:36 │ 1     │                            │
│ 49       │ leads_registered              │ 2020-12-09 11:25:51 │ 1     │                            │
│ 49       │ leads_qualification           │ 2020-12-14 09:35:43 │ 1     │                            │
│ 49       │ initial_communication_success │ 2020-12-15 13:59:21 │ 1     │                            │
│ 49       │ approach_success              │ 2020-12-16 12:21:41 │ 1     │                            │
│ 49       │ discussion_success            │ 2020-12-22 16:52:15 │ 0     │ price not fit              │
│ 50       │ leads_registered              │ 2020-12-09 12:46:41 │ 1     │                            │
│ 50       │ leads_qualification           │ 2020-12-14 10:23:20 │ 1     │                            │
│ 50       │ initial_communication_success │ 2020-12-15 16:24:28 │ 1     │                            │
│ 50       │ approach_success              │ 2020-12-17 09:39:18 │ 1     │                            │
│ 50       │ discussion_success            │ 2020-12-21 09:06:45 │ 1     │                            │
│ 50       │ offer_sent                    │ 2020-12-22 09:54:31 │ 1     │                            │
│ 50       │ quotation_recieved            │ 2020-12-31 16:49:42 │ 0     │ price not fit              │
│ 51       │ leads_registered              │ 2020-12-09 13:24:49 │ 1     │                            │
│ 51       │ leads_qualification           │ 2020-12-14 10:21:34 │ 1     │                            │
│ 51       │ initial_communication_success │ 2020-12-15 16:56:52 │ 0     │ not answered               │
│ 52       │ leads_registered              │ 2020-12-10 10:48:44 │ 1     │                            │
│ 52       │ leads_qualification           │ 2020-12-15 10:29:07 │ 1     │                            │
│ 52       │ initial_communication_success │ 2020-12-16 09:56:26 │ 1     │                            │
│ 52       │ approach_success              │ 2020-12-17 11:03:32 │ 1     │                            │
│ 52       │ discussion_success            │ 2020-12-24 13:37:50 │ 0     │ not interested             │
│ 53       │ leads_registered              │ 2020-12-10 11:56:01 │ 1     │                            │
│ 53       │ leads_qualification           │ 2020-12-14 16:48:51 │ 1     │                            │
│ 53       │ initial_communication_success │ 2020-12-15 10:41:32 │ 1     │                            │
│ 53       │ approach_success              │ 2020-12-17 12:47:23 │ 1     │                            │
│ 53       │ discussion_success            │ 2020-12-22 10:34:07 │ 1     │                            │
│ 53       │ offer_sent                    │ 2020-12-25 14:30:53 │ 1     │                            │
│ 53       │ quotation_recieved            │ 2021-01-01 12:02:20 │ 1     │                            │
│ 53       │ deal_won                      │ 2021-01-06 11:13:05 │ 1     │                            │
│ 54       │ leads_registered              │ 2020-12-10 14:54:11 │ 1     │                            │
│ 54       │ leads_qualification           │ 2020-12-15 16:10:11 │ 1     │                            │
│ 54       │ initial_communication_success │ 2020-12-16 17:59:18 │ 1     │                            │
│ 54       │ approach_success              │ 2020-12-17 14:24:59 │ 1     │                            │
│ 54       │ discussion_success            │ 2020-12-23 09:31:53 │ 1     │                            │
│ 54       │ offer_sent                    │ 2020-12-24 17:24:56 │ 1     │                            │
│ 54       │ quotation_recieved            │ 2020-12-29 11:19:53 │ 1     │                            │
│ 54       │ deal_won                      │ 2021-01-01 10:28:24 │ 1     │                            │
│ 55       │ leads_registered              │ 2020-12-10 16:21:35 │ 1     │                            │
│ 56       │ leads_registered              │ 2020-12-10 17:16:59 │ 1     │                            │
│ 56       │ leads_qualification           │ 2020-12-15 17:11:13 │ 1     │                            │
│ 56       │ initial_communication_success │ 2020-12-17 10:57:38 │ 1     │                            │
│ 56       │ approach_success              │ 2020-12-18 13:06:33 │ 1     │                            │
│ 56       │ discussion_success            │ 2020-12-21 10:31:34 │ 0     │ not answered               │
│ 57       │ leads_registered              │ 2020-12-11 09:11:03 │ 1     │                            │
│ 57       │ leads_qualification           │ 2020-12-18 15:07:58 │ 0     │ not selected               │
│ 58       │ leads_registered              │ 2020-12-11 09:42:14 │ 1     │                            │
│ 59       │ leads_registered              │ 2020-12-11 10:28:14 │ 1     │                            │
│ 59       │ leads_qualification           │ 2020-12-16 12:03:21 │ 1     │                            │
│ 59       │ initial_communication_success │ 2020-12-17 14:47:33 │ 0     │ not answered               │
│ 60       │ leads_registered              │ 2020-12-11 10:51:42 │ 1     │                            │
│ 60       │ leads_qualification           │ 2020-12-14 14:23:30 │ 1     │                            │
│ 60       │ initial_communication_success │ 2020-12-16 13:44:18 │ 1     │                            │
│ 60       │ approach_success              │ 2020-12-17 15:21:46 │ 0     │ not answered               │
│ 61       │ leads_registered              │ 2020-12-11 11:24:42 │ 1     │                            │
│ 62       │ leads_registered              │ 2020-12-11 13:28:06 │ 1     │                            │
│ 62       │ leads_qualification           │ 2020-12-16 17:15:57 │ 1     │                            │
│ 62       │ initial_communication_success │ 2020-12-18 10:22:01 │ 0     │ not interested             │
│ 63       │ leads_registered              │ 2020-12-11 13:47:41 │ 1     │                            │
│ 63       │ leads_qualification           │ 2020-12-18 10:50:02 │ 1     │                            │
│ 63       │ initial_communication_success │ 2020-12-21 17:28:35 │ 1     │                            │
│ 63       │ approach_success              │ 2020-12-22 12:56:29 │ 1     │                            │
│ 63       │ discussion_success            │ 2020-12-28 11:57:58 │ 1     │                            │
│ 63       │ offer_sent                    │ 2020-12-31 12:00:07 │ 1     │                            │
│ 63       │ quotation_recieved            │ 2021-01-04 09:57:17 │ 1     │                            │
│ 63       │ deal_won                      │ 2021-01-07 17:56:52 │ 1     │                            │
│ 64       │ leads_registered              │ 2020-12-11 16:32:08 │ 1     │                            │
│ 64       │ leads_qualification           │ 2020-12-15 14:55:09 │ 1     │                            │
│ 64       │ initial_communication_success │ 2020-12-18 15:41:30 │ 1     │                            │
│ 64       │ approach_success              │ 2020-12-21 11:16:04 │ 1     │                            │
│ 64       │ discussion_success            │ 2020-12-25 11:13:10 │ 0     │ price not fit              │
│ 65       │ leads_registered              │ 2020-12-11 16:40:43 │ 1     │                            │
│ 65       │ leads_qualification           │ 2020-12-16 16:15:16 │ 1     │                            │
│ 65       │ initial_communication_success │ 2020-12-18 10:56:47 │ 1     │                            │
│ 65       │ approach_success              │ 2020-12-21 12:27:29 │ 1     │                            │
│ 65       │ discussion_success            │ 2020-12-23 13:30:49 │ 0     │ not answered               │
│ 66       │ leads_registered              │ 2020-12-11 17:59:08 │ 1     │                            │
│ 66       │ leads_qualification           │ 2020-12-15 16:23:49 │ 1     │                            │
│ 66       │ initial_communication_success │ 2020-12-16 10:48:59 │ 1     │                            │
│ 66       │ approach_success              │ 2020-12-17 13:58:13 │ 1     │                            │
│ 66       │ discussion_success            │ 2020-12-23 16:11:00 │ 1     │                            │
│ 66       │ offer_sent                    │ 2020-12-25 15:15:13 │ 0     │ not answered               │
│ 67       │ leads_registered              │ 2020-12-14 09:51:37 │ 1     │                            │
│ 67       │ leads_qualification           │ 2020-12-17 10:50:26 │ 1     │                            │
│ 67       │ initial_communication_success │ 2020-12-18 14:52:46 │ 1     │                            │
│ 67       │ approach_success              │ 2020-12-21 11:58:04 │ 1     │                            │
│ 67       │ discussion_success            │ 2020-12-28 16:26:36 │ 1     │                            │
│ 67       │ offer_sent                    │ 2021-01-01 17:53:48 │ 1     │                            │
│ 67       │ quotation_recieved            │ 2021-01-11 11:13:07 │ 0     │ not answered               │
│ 68       │ leads_registered              │ 2020-12-14 15:59:08 │ 1     │                            │
│ 68       │ leads_qualification           │ 2020-12-18 16:23:15 │ 1     │                            │
│ 68       │ initial_communication_success │ 2020-12-21 12:09:21 │ 1     │                            │
│ 68       │ approach_success              │ 2020-12-23 10:41:37 │ 1     │                            │
