+----------+------+---------+------------+------------+----------+------------+------------+------+
| leads_id | step |  month  |    sow     |   start    | starting |    end     |    eow     | open |
| 10       | 6    | 01-2021 | 2021-01-04 | 2020-12-22 | 12-2020  | 2020-12-30 | 2021-01-10 | 0    |
| 10       | 6    | 12-2020 | 2020-12-21 | 2020-12-22 | 12-2020  | 2020-12-30 | 2020-12-27 | 1    |
| 10       | 6    | 12-2020 | 2020-12-28 | 2020-12-22 | 12-2020  | 2020-12-30 | 2021-01-03 | 1    |
| 10       | 7    | 01-2021 | 2021-01-04 | 2020-12-30 | 12-2020  | 2021-01-07 | 2021-01-10 | 1    |
| 10       | 7    | 01-2021 | 2021-01-11 | 2020-12-30 | 12-2020  | 2021-01-07 | 2021-01-17 | 1    |
| 10       | 7    | 12-2020 | 2020-12-28 | 2020-12-30 | 12-2020  | 2021-01-07 | 2021-01-03 | 1    |
| 100      | 0    | 01-2021 | 2021-01-04 | 2020-12-28 | 12-2020  | 2020-12-28 | 2021-01-10 | 0    |
| 100      | 0    | 12-2020 | 2020-12-28 | 2020-12-28 | 12-2020  | 2020-12-28 | 2021-01-03 | 1    |
| 100      | 1    | 01-2021 | 2021-01-04 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-10 | 1    |
| 100      | 1    | 01-2021 | 2021-01-11 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-17 | 1    |
| 100      | 1    | 12-2020 | 2020-12-28 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-03 | 1    |
| 100      | 2    | 01-2021 | 2021-01-04 | 2021-01-04 | 01-2021  | 2021-01-05 | 2021-01-10 | 1    |
| 100      | 2    | 01-2021 | 2021-01-11 | 2021-01-04 | 01-2021  | 2021-01-05 | 2021-01-17 | 1    |
| 100      | 3    | 01-2021 | 2021-01-04 | 2021-01-05 | 01-2021  | 2021-01-06 | 2021-01-10 | 1    |
| 100      | 3    | 01-2021 | 2021-01-11 | 2021-01-05 | 01-2021  | 2021-01-06 | 2021-01-17 | 1    |
| 100      | 4    | 01-2021 | 2021-01-04 | 2021-01-06 | 01-2021  | 2021-01-15 | 2021-01-10 | 1    |
| 100      | 4    | 01-2021 | 2021-01-11 | 2021-01-06 | 01-2021  | 2021-01-15 | 2021-01-17 | 1    |
| 100      | 4    | 01-2021 | 2021-01-18 | 2021-01-06 | 01-2021  | 2021-01-15 | 2021-01-24 | 1    |
| 100      | 5    | 01-2021 | 2021-01-11 | 2021-01-15 | 01-2021  | 2021-01-18 | 2021-01-17 | 1    |
| 100      | 5    | 01-2021 | 2021-01-18 | 2021-01-15 | 01-2021  | 2021-01-18 | 2021-01-24 | 1    |
| 100      | 5    | 01-2021 | 2021-01-25 | 2021-01-15 | 01-2021  | 2021-01-18 | 2021-01-31 | 1    |
| 1000     | 0    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-05 | 0    |
| 1000     | 0    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-12 | 1    |
| 1000     | 1    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-05 | 0    |
| 1000     | 1    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-12 | 1    |
| 1000     | 1    | 09-2021 | 2021-09-13 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-19 | 1    |
| 1000     | 2    | 09-2021 | 2021-09-06 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-12 | 1    |
| 1000     | 2    | 09-2021 | 2021-09-13 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-19 | 1    |
| 1000     | 3    | 09-2021 | 2021-09-06 | 2021-09-07 | 09-2021  | 2021-09-08 | 2021-09-12 | 1    |
| 1000     | 3    | 09-2021 | 2021-09-13 | 2021-09-07 | 09-2021  | 2021-09-08 | 2021-09-19 | 1    |
| 1000     | 4    | 09-2021 | 2021-09-06 | 2021-09-08 | 09-2021  | 2021-09-14 | 2021-09-12 | 1    |
| 1000     | 4    | 09-2021 | 2021-09-13 | 2021-09-08 | 09-2021  | 2021-09-14 | 2021-09-19 | 1    |
| 1000     | 4    | 09-2021 | 2021-09-20 | 2021-09-08 | 09-2021  | 2021-09-14 | 2021-09-26 | 1    |
| 1000     | 5    | 09-2021 | 2021-09-13 | 2021-09-14 | 09-2021  | 2021-09-15 | 2021-09-19 | 1    |
| 1000     | 5    | 09-2021 | 2021-09-20 | 2021-09-14 | 09-2021  | 2021-09-15 | 2021-09-26 | 1    |
| 1000     | 6    | 09-2021 | 2021-09-13 | 2021-09-15 | 09-2021  | 2021-09-21 | 2021-09-19 | 1    |
| 1000     | 6    | 09-2021 | 2021-09-20 | 2021-09-15 | 09-2021  | 2021-09-21 | 2021-09-26 | 1    |
| 1000     | 6    | 09-2021 | 2021-09-27 | 2021-09-15 | 09-2021  | 2021-09-21 | 2021-10-03 | 1    |
| 1000     | 7    | 09-2021 | 2021-09-20 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-09-26 | 1    |
| 1000     | 7    | 09-2021 | 2021-09-27 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-10-03 | 1    |
| 1000     | 7    | 10-2021 | 2021-10-04 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-10-10 | 0    |
| 1001     | 0    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-05 | 0    |
| 1001     | 0    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-12 | 1    |
| 1001     | 1    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-07 | 2021-09-05 | 0    |
| 1001     | 1    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-07 | 2021-09-12 | 1    |
| 1001     | 1    | 09-2021 | 2021-09-13 | 2021-09-02 | 09-2021  | 2021-09-07 | 2021-09-19 | 1    |
| 1001     | 2    | 09-2021 | 2021-09-06 | 2021-09-07 | 09-2021  | 2021-09-08 | 2021-09-12 | 1    |
| 1001     | 2    | 09-2021 | 2021-09-13 | 2021-09-07 | 09-2021  | 2021-09-08 | 2021-09-19 | 1    |
| 1001     | 3    | 09-2021 | 2021-09-06 | 2021-09-08 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1001     | 3    | 09-2021 | 2021-09-13 | 2021-09-08 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1001     | 4    | 09-2021 | 2021-09-06 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-12 | 1    |
| 1001     | 4    | 09-2021 | 2021-09-13 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-19 | 1    |
| 1001     | 4    | 09-2021 | 2021-09-20 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-26 | 1    |
| 1001     | 5    | 09-2021 | 2021-09-13 | 2021-09-17 | 09-2021  | 2021-09-21 | 2021-09-19 | 1    |
| 1001     | 5    | 09-2021 | 2021-09-20 | 2021-09-17 | 09-2021  | 2021-09-21 | 2021-09-26 | 1    |
| 1001     | 5    | 09-2021 | 2021-09-27 | 2021-09-17 | 09-2021  | 2021-09-21 | 2021-10-03 | 1    |
| 1002     | 0    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-05 | 0    |
| 1002     | 0    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-12 | 1    |
| 1002     | 1    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-05 | 0    |
| 1002     | 1    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-12 | 1    |
| 1002     | 1    | 09-2021 | 2021-09-13 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-19 | 1    |
| 1002     | 2    | 09-2021 | 2021-09-06 | 2021-09-06 | 09-2021  | 2021-09-08 | 2021-09-12 | 1    |
| 1002     | 2    | 09-2021 | 2021-09-13 | 2021-09-06 | 09-2021  | 2021-09-08 | 2021-09-19 | 1    |
| 1002     | 3    | 09-2021 | 2021-09-06 | 2021-09-08 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1002     | 3    | 09-2021 | 2021-09-13 | 2021-09-08 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1002     | 4    | 09-2021 | 2021-09-06 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-12 | 1    |
| 1002     | 4    | 09-2021 | 2021-09-13 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-19 | 1    |
| 1002     | 4    | 09-2021 | 2021-09-20 | 2021-09-10 | 09-2021  | 2021-09-17 | 2021-09-26 | 1    |
| 1002     | 5    | 09-2021 | 2021-09-13 | 2021-09-17 | 09-2021  | 2021-09-20 | 2021-09-19 | 1    |
| 1002     | 5    | 09-2021 | 2021-09-20 | 2021-09-17 | 09-2021  | 2021-09-20 | 2021-09-26 | 1    |
| 1002     | 5    | 09-2021 | 2021-09-27 | 2021-09-17 | 09-2021  | 2021-09-20 | 2021-10-03 | 1    |
| 1002     | 6    | 09-2021 | 2021-09-20 | 2021-09-20 | 09-2021  | 2021-09-27 | 2021-09-26 | 1    |
| 1002     | 6    | 09-2021 | 2021-09-27 | 2021-09-20 | 09-2021  | 2021-09-27 | 2021-10-03 | 1    |
| 1002     | 6    | 10-2021 | 2021-10-04 | 2021-09-20 | 09-2021  | 2021-09-27 | 2021-10-10 | 0    |
| 1002     | 7    | 09-2021 | 2021-09-27 | 2021-09-27 | 09-2021  | 2021-10-01 | 2021-10-03 | 1    |
| 1002     | 7    | 10-2021 | 2021-10-04 | 2021-09-27 | 09-2021  | 2021-10-01 | 2021-10-10 | 1    |
| 1003     | 0    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-05 | 0    |
| 1003     | 0    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-12 | 1    |
| 1003     | 1    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-05 | 0    |
| 1003     | 1    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-12 | 1    |
| 1003     | 1    | 09-2021 | 2021-09-13 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-19 | 1    |
| 1003     | 2    | 09-2021 | 2021-09-06 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-12 | 1    |
| 1003     | 2    | 09-2021 | 2021-09-13 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-19 | 1    |
| 1003     | 3    | 09-2021 | 2021-09-06 | 2021-09-07 | 09-2021  | 2021-09-09 | 2021-09-12 | 1    |
| 1003     | 3    | 09-2021 | 2021-09-13 | 2021-09-07 | 09-2021  | 2021-09-09 | 2021-09-19 | 1    |
| 1003     | 4    | 09-2021 | 2021-09-06 | 2021-09-09 | 09-2021  | 2021-09-14 | 2021-09-12 | 1    |
| 1003     | 4    | 09-2021 | 2021-09-13 | 2021-09-09 | 09-2021  | 2021-09-14 | 2021-09-19 | 1    |
| 1003     | 4    | 09-2021 | 2021-09-20 | 2021-09-09 | 09-2021  | 2021-09-14 | 2021-09-26 | 1    |
| 1003     | 5    | 09-2021 | 2021-09-13 | 2021-09-14 | 09-2021  | 2021-09-15 | 2021-09-19 | 1    |
| 1003     | 5    | 09-2021 | 2021-09-20 | 2021-09-14 | 09-2021  | 2021-09-15 | 2021-09-26 | 1    |
| 1004     | 0    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-05 | 0    |
| 1004     | 0    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-02 | 2021-09-12 | 1    |
| 1004     | 1    | 08-2021 | 2021-08-30 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-05 | 0    |
| 1004     | 1    | 09-2021 | 2021-09-06 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-12 | 1    |
| 1004     | 1    | 09-2021 | 2021-09-13 | 2021-09-02 | 09-2021  | 2021-09-06 | 2021-09-19 | 1    |
| 1004     | 2    | 09-2021 | 2021-09-06 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-12 | 1    |
| 1004     | 2    | 09-2021 | 2021-09-13 | 2021-09-06 | 09-2021  | 2021-09-07 | 2021-09-19 | 1    |
| 1004     | 3    | 09-2021 | 2021-09-06 | 2021-09-07 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1004     | 3    | 09-2021 | 2021-09-13 | 2021-09-07 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1005     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1005     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1005     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-06 | 2021-09-05 | 0    |
| 1005     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-06 | 2021-09-12 | 1    |
| 1005     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-06 | 2021-09-19 | 1    |
| 1005     | 2    | 09-2021 | 2021-09-06 | 2021-09-06 | 09-2021  | 2021-09-09 | 2021-09-12 | 1    |
| 1005     | 2    | 09-2021 | 2021-09-13 | 2021-09-06 | 09-2021  | 2021-09-09 | 2021-09-19 | 1    |
| 1005     | 3    | 09-2021 | 2021-09-06 | 2021-09-09 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1005     | 3    | 09-2021 | 2021-09-13 | 2021-09-09 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1005     | 4    | 09-2021 | 2021-09-06 | 2021-09-10 | 09-2021  | 2021-09-15 | 2021-09-12 | 1    |
| 1005     | 4    | 09-2021 | 2021-09-13 | 2021-09-10 | 09-2021  | 2021-09-15 | 2021-09-19 | 1    |
| 1005     | 4    | 09-2021 | 2021-09-20 | 2021-09-10 | 09-2021  | 2021-09-15 | 2021-09-26 | 1    |
| 1005     | 5    | 09-2021 | 2021-09-13 | 2021-09-15 | 09-2021  | 2021-09-16 | 2021-09-19 | 1    |
| 1005     | 5    | 09-2021 | 2021-09-20 | 2021-09-15 | 09-2021  | 2021-09-16 | 2021-09-26 | 1    |
| 1005     | 6    | 09-2021 | 2021-09-13 | 2021-09-16 | 09-2021  | 2021-09-21 | 2021-09-19 | 1    |
| 1005     | 6    | 09-2021 | 2021-09-20 | 2021-09-16 | 09-2021  | 2021-09-21 | 2021-09-26 | 1    |
| 1005     | 6    | 09-2021 | 2021-09-27 | 2021-09-16 | 09-2021  | 2021-09-21 | 2021-10-03 | 1    |
| 1005     | 7    | 09-2021 | 2021-09-20 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-09-26 | 1    |
| 1005     | 7    | 09-2021 | 2021-09-27 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-10-03 | 1    |
| 1005     | 7    | 10-2021 | 2021-10-04 | 2021-09-21 | 09-2021  | 2021-09-27 | 2021-10-10 | 0    |
| 1006     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1006     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1006     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-05 | 0    |
| 1006     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1006     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1006     | 2    | 09-2021 | 2021-09-06 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-12 | 1    |
| 1006     | 2    | 09-2021 | 2021-09-13 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-19 | 1    |
| 1006     | 2    | 09-2021 | 2021-09-20 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-26 | 1    |
| 1006     | 3    | 09-2021 | 2021-09-13 | 2021-09-13 | 09-2021  | 2021-09-16 | 2021-09-19 | 1    |
| 1006     | 3    | 09-2021 | 2021-09-20 | 2021-09-13 | 09-2021  | 2021-09-16 | 2021-09-26 | 1    |
| 1006     | 4    | 09-2021 | 2021-09-13 | 2021-09-16 | 09-2021  | 2021-09-22 | 2021-09-19 | 1    |
| 1006     | 4    | 09-2021 | 2021-09-20 | 2021-09-16 | 09-2021  | 2021-09-22 | 2021-09-26 | 1    |
| 1006     | 4    | 09-2021 | 2021-09-27 | 2021-09-16 | 09-2021  | 2021-09-22 | 2021-10-03 | 1    |
| 1006     | 5    | 09-2021 | 2021-09-20 | 2021-09-22 | 09-2021  | 2021-09-24 | 2021-09-26 | 1    |
| 1006     | 5    | 09-2021 | 2021-09-27 | 2021-09-22 | 09-2021  | 2021-09-24 | 2021-10-03 | 1    |
| 1006     | 6    | 09-2021 | 2021-09-20 | 2021-09-24 | 09-2021  | 2021-09-30 | 2021-09-26 | 1    |
| 1006     | 6    | 09-2021 | 2021-09-27 | 2021-09-24 | 09-2021  | 2021-09-30 | 2021-10-03 | 1    |
| 1006     | 6    | 10-2021 | 2021-10-04 | 2021-09-24 | 09-2021  | 2021-09-30 | 2021-10-10 | 0    |
| 1006     | 7    | 09-2021 | 2021-09-27 | 2021-09-30 | 09-2021  | 2021-10-06 | 2021-10-03 | 1    |
| 1006     | 7    | 10-2021 | 2021-10-04 | 2021-09-30 | 09-2021  | 2021-10-06 | 2021-10-10 | 1    |
| 1006     | 7    | 10-2021 | 2021-10-11 | 2021-09-30 | 09-2021  | 2021-10-06 | 2021-10-17 | 1    |
| 1007     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1007     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1007     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-05 | 0    |
| 1007     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1007     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1008     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1008     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1008     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-05 | 0    |
| 1008     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1008     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1009     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1009     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1009     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-05 | 0    |
| 1009     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-12 | 1    |
| 1009     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-10 | 2021-09-19 | 1    |
| 1009     | 2    | 09-2021 | 2021-09-06 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-12 | 1    |
| 1009     | 2    | 09-2021 | 2021-09-13 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-19 | 1    |
| 1009     | 2    | 09-2021 | 2021-09-20 | 2021-09-10 | 09-2021  | 2021-09-13 | 2021-09-26 | 1    |
| 1009     | 3    | 09-2021 | 2021-09-13 | 2021-09-13 | 09-2021  | 2021-09-14 | 2021-09-19 | 1    |
| 1009     | 3    | 09-2021 | 2021-09-20 | 2021-09-13 | 09-2021  | 2021-09-14 | 2021-09-26 | 1    |
| 1009     | 4    | 09-2021 | 2021-09-13 | 2021-09-14 | 09-2021  | 2021-09-20 | 2021-09-19 | 1    |
| 1009     | 4    | 09-2021 | 2021-09-20 | 2021-09-14 | 09-2021  | 2021-09-20 | 2021-09-26 | 1    |
| 1009     | 4    | 09-2021 | 2021-09-27 | 2021-09-14 | 09-2021  | 2021-09-20 | 2021-10-03 | 1    |
| 1009     | 5    | 09-2021 | 2021-09-20 | 2021-09-20 | 09-2021  | 2021-09-21 | 2021-09-26 | 1    |
| 1009     | 5    | 09-2021 | 2021-09-27 | 2021-09-20 | 09-2021  | 2021-09-21 | 2021-10-03 | 1    |
| 1009     | 6    | 09-2021 | 2021-09-20 | 2021-09-21 | 09-2021  | 2021-09-29 | 2021-09-26 | 1    |
| 1009     | 6    | 09-2021 | 2021-09-27 | 2021-09-21 | 09-2021  | 2021-09-29 | 2021-10-03 | 1    |
| 1009     | 6    | 10-2021 | 2021-10-04 | 2021-09-21 | 09-2021  | 2021-09-29 | 2021-10-10 | 0    |
| 101      | 0    | 01-2021 | 2021-01-04 | 2020-12-28 | 12-2020  | 2020-12-28 | 2021-01-10 | 0    |
| 101      | 0    | 12-2020 | 2020-12-28 | 2020-12-28 | 12-2020  | 2020-12-28 | 2021-01-03 | 1    |
| 101      | 1    | 01-2021 | 2021-01-04 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-10 | 1    |
| 101      | 1    | 01-2021 | 2021-01-11 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-17 | 1    |
| 101      | 1    | 12-2020 | 2020-12-28 | 2020-12-28 | 12-2020  | 2021-01-04 | 2021-01-03 | 1    |
| 101      | 2    | 01-2021 | 2021-01-04 | 2021-01-04 | 01-2021  | 2021-01-05 | 2021-01-10 | 1    |
| 101      | 2    | 01-2021 | 2021-01-11 | 2021-01-04 | 01-2021  | 2021-01-05 | 2021-01-17 | 1    |
| 101      | 3    | 01-2021 | 2021-01-04 | 2021-01-05 | 01-2021  | 2021-01-06 | 2021-01-10 | 1    |
| 101      | 3    | 01-2021 | 2021-01-11 | 2021-01-05 | 01-2021  | 2021-01-06 | 2021-01-17 | 1    |
| 1010     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1010     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1010     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-07 | 2021-09-05 | 0    |
| 1010     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-07 | 2021-09-12 | 1    |
| 1010     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-07 | 2021-09-19 | 1    |
| 1011     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
| 1011     | 0    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-12 | 1    |
| 1011     | 1    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-08 | 2021-09-05 | 0    |
| 1011     | 1    | 09-2021 | 2021-09-06 | 2021-09-03 | 09-2021  | 2021-09-08 | 2021-09-12 | 1    |
| 1011     | 1    | 09-2021 | 2021-09-13 | 2021-09-03 | 09-2021  | 2021-09-08 | 2021-09-19 | 1    |
| 1012     | 0    | 08-2021 | 2021-08-30 | 2021-09-03 | 09-2021  | 2021-09-03 | 2021-09-05 | 0    |
