+---------------+---------+----------+-------------+------------+-------------+
| start_of_week | step_id | leads_id | starting_ts | ending_ts  | end_of_week |
| 2020-11-30    | 0       | 28       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 29       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 30       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 31       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 1        | 2020-11-25  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 1       | 2        | 2020-11-26  | 2020-12-03 | 2020-12-06  |
| 2020-11-30    | 1       | 3        | 2020-11-26  | 2020-12-03 | 2020-12-06  |
| 2020-11-30    | 1       | 4        | 2020-11-26  | 2020-12-01 | 2020-12-06  |
| 2020-11-30    | 1       | 5        | 2020-11-27  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 6        | 2020-11-30  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 7        | 2020-11-30  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 8        | 2020-11-30  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 9        | 2020-11-30  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 1       | 10       | 2020-11-30  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 11       | 2020-12-01  | 2020-12-08 | 2020-12-06  |
| 2020-11-30    | 1       | 12       | 2020-12-01  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 1       | 13       | 2020-12-01  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 1       | 15       | 2020-12-02  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 1       | 16       | 2020-12-02  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 1       | 17       | 2020-12-02  | 2020-12-08 | 2020-12-06  |
| 2020-11-30    | 1       | 18       | 2020-12-02  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 19       | 2020-12-02  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 1       | 20       | 2020-12-02  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 21       | 2020-12-03  | 2020-12-08 | 2020-12-06  |
| 2020-11-30    | 1       | 22       | 2020-12-03  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 23       | 2020-12-04  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 24       | 2020-12-04  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 25       | 2020-12-04  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 26       | 2020-12-04  | 2020-12-11 | 2020-12-06  |
| 2020-11-30    | 1       | 27       | 2020-12-04  | 2020-12-11 | 2020-12-06  |
| 2020-11-30    | 1       | 28       | 2020-12-04  | 2020-12-09 | 2020-12-06  |
| 2020-11-30    | 1       | 29       | 2020-12-04  | 2020-12-11 | 2020-12-06  |
| 2020-11-30    | 1       | 30       | 2020-12-04  | 2020-12-08 | 2020-12-06  |
| 2020-11-30    | 1       | 31       | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 1        | 2020-12-02  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 2       | 2        | 2020-12-03  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 2       | 3        | 2020-12-03  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 2       | 4        | 2020-12-01  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 2       | 5        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 6        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 7        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 8        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 10       | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 2       | 12       | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 3       | 1        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 3       | 2        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-11-30    | 3       | 3        | 2020-12-04  | 2020-12-07 | 2020-12-06  |
| 2020-12-07    | 0       | 32       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 33       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 34       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 35       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 36       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 37       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 38       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 39       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 40       | 2020-12-07  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 0       | 41       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 42       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 43       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 44       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 45       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 46       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 47       | 2020-12-08  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 0       | 48       | 2020-12-09  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 0       | 49       | 2020-12-09  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 0       | 50       | 2020-12-09  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 0       | 51       | 2020-12-09  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 0       | 52       | 2020-12-10  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 0       | 53       | 2020-12-10  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 0       | 54       | 2020-12-10  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 0       | 55       | 2020-12-10  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 0       | 56       | 2020-12-10  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 0       | 57       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 58       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 59       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 60       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 61       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 62       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 63       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 64       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 65       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 0       | 66       | 2020-12-11  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 9        | 2020-11-30  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 11       | 2020-12-01  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 1       | 13       | 2020-12-01  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 15       | 2020-12-02  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 16       | 2020-12-02  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 17       | 2020-12-02  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 1       | 18       | 2020-12-02  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 19       | 2020-12-02  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 20       | 2020-12-02  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 21       | 2020-12-03  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 1       | 22       | 2020-12-03  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 23       | 2020-12-04  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 24       | 2020-12-04  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 25       | 2020-12-04  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 26       | 2020-12-04  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 27       | 2020-12-04  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 28       | 2020-12-04  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 1       | 29       | 2020-12-04  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 30       | 2020-12-04  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 1       | 31       | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 1       | 32       | 2020-12-07  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 35       | 2020-12-07  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 36       | 2020-12-07  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 37       | 2020-12-07  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 38       | 2020-12-07  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 39       | 2020-12-07  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 41       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 42       | 2020-12-08  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 43       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 45       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 1       | 46       | 2020-12-08  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 48       | 2020-12-09  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 49       | 2020-12-09  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 50       | 2020-12-09  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 51       | 2020-12-09  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 52       | 2020-12-10  | 2020-12-15 | 2020-12-13  |
| 2020-12-07    | 1       | 53       | 2020-12-10  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 54       | 2020-12-10  | 2020-12-15 | 2020-12-13  |
| 2020-12-07    | 1       | 56       | 2020-12-10  | 2020-12-15 | 2020-12-13  |
| 2020-12-07    | 1       | 57       | 2020-12-11  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 1       | 59       | 2020-12-11  | 2020-12-16 | 2020-12-13  |
| 2020-12-07    | 1       | 60       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 1       | 62       | 2020-12-11  | 2020-12-16 | 2020-12-13  |
| 2020-12-07    | 1       | 63       | 2020-12-11  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 1       | 64       | 2020-12-11  | 2020-12-15 | 2020-12-13  |
| 2020-12-07    | 1       | 65       | 2020-12-11  | 2020-12-16 | 2020-12-13  |
| 2020-12-07    | 1       | 66       | 2020-12-11  | 2020-12-15 | 2020-12-13  |
| 2020-12-07    | 2       | 5        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 6        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 7        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 8        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 9        | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 2       | 10       | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 11       | 2020-12-08  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 2       | 12       | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 2       | 13       | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 2       | 15       | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 2       | 16       | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 2       | 17       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 18       | 2020-12-09  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 2       | 19       | 2020-12-07  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 2       | 20       | 2020-12-09  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 21       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 22       | 2020-12-09  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 23       | 2020-12-09  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 24       | 2020-12-09  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 26       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 27       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 28       | 2020-12-09  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 2       | 29       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 30       | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 2       | 31       | 2020-12-07  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 2       | 32       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 35       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 36       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 38       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 39       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 2       | 45       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 1        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 3       | 2        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 3       | 3        | 2020-12-04  | 2020-12-07 | 2020-12-13  |
| 2020-12-07    | 3       | 5        | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 3       | 6        | 2020-12-07  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 3       | 7        | 2020-12-07  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 3       | 8        | 2020-12-07  | 2020-12-08 | 2020-12-13  |
| 2020-12-07    | 3       | 9        | 2020-12-08  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 3       | 10       | 2020-12-07  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 3       | 12       | 2020-12-07  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 3       | 13       | 2020-12-08  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 3       | 15       | 2020-12-08  | 2020-12-09 | 2020-12-13  |
| 2020-12-07    | 3       | 16       | 2020-12-08  | 2020-12-10 | 2020-12-13  |
| 2020-12-07    | 3       | 17       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 18       | 2020-12-10  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 3       | 19       | 2020-12-09  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 3       | 20       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 21       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 22       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 23       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 24       | 2020-12-11  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 3       | 28       | 2020-12-10  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 3       | 31       | 2020-12-10  | 2020-12-11 | 2020-12-13  |
| 2020-12-07    | 4       | 2        | 2020-12-07  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 4       | 5        | 2020-12-08  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 4       | 6        | 2020-12-10  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 4       | 7        | 2020-12-09  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 4       | 8        | 2020-12-08  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 4       | 9        | 2020-12-11  | 2020-12-17 | 2020-12-13  |
| 2020-12-07    | 4       | 10       | 2020-12-10  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 4       | 12       | 2020-12-09  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 4       | 13       | 2020-12-10  | 2020-12-17 | 2020-12-13  |
| 2020-12-07    | 4       | 15       | 2020-12-09  | 2020-12-17 | 2020-12-13  |
| 2020-12-07    | 4       | 16       | 2020-12-10  | 2020-12-14 | 2020-12-13  |
| 2020-12-07    | 4       | 18       | 2020-12-11  | 2020-12-18 | 2020-12-13  |
| 2020-12-07    | 4       | 19       | 2020-12-11  | 2020-12-17 | 2020-12-13  |
| 2020-12-07    | 4       | 28       | 2020-12-11  | 2020-12-17 | 2020-12-13  |
| 2020-12-07    | 4       | 31       | 2020-12-11  | 2020-12-18 | 2020-12-13  |
| 2020-12-14    | 0       | 67       | 2020-12-14  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 0       | 68       | 2020-12-14  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 0       | 69       | 2020-12-15  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 0       | 70       | 2020-12-15  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 0       | 71       | 2020-12-16  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 0       | 72       | 2020-12-16  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 0       | 73       | 2020-12-16  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 0       | 74       | 2020-12-17  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 0       | 75       | 2020-12-17  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 0       | 76       | 2020-12-17  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 0       | 77       | 2020-12-18  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 0       | 78       | 2020-12-18  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 1       | 37       | 2020-12-07  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 42       | 2020-12-08  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 46       | 2020-12-08  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 48       | 2020-12-09  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 49       | 2020-12-09  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 50       | 2020-12-09  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 51       | 2020-12-09  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 52       | 2020-12-10  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 1       | 53       | 2020-12-10  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 54       | 2020-12-10  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 1       | 56       | 2020-12-10  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 1       | 57       | 2020-12-11  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 1       | 59       | 2020-12-11  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 1       | 60       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 1       | 62       | 2020-12-11  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 1       | 63       | 2020-12-11  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 1       | 64       | 2020-12-11  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 1       | 65       | 2020-12-11  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 1       | 66       | 2020-12-11  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 1       | 67       | 2020-12-14  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 1       | 68       | 2020-12-14  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 1       | 69       | 2020-12-15  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 1       | 71       | 2020-12-16  | 2020-12-21 | 2020-12-20  |
| 2020-12-14    | 1       | 72       | 2020-12-16  | 2020-12-22 | 2020-12-20  |
| 2020-12-14    | 1       | 73       | 2020-12-16  | 2020-12-21 | 2020-12-20  |
| 2020-12-14    | 1       | 74       | 2020-12-17  | 2020-12-21 | 2020-12-20  |
| 2020-12-14    | 1       | 75       | 2020-12-17  | 2020-12-23 | 2020-12-20  |
| 2020-12-14    | 1       | 76       | 2020-12-17  | 2020-12-21 | 2020-12-20  |
| 2020-12-14    | 1       | 77       | 2020-12-18  | 2020-12-25 | 2020-12-20  |
| 2020-12-14    | 1       | 78       | 2020-12-18  | 2020-12-25 | 2020-12-20  |
| 2020-12-14    | 2       | 26       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 27       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 29       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 32       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 35       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 36       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 37       | 2020-12-14  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 38       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 39       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 42       | 2020-12-14  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 45       | 2020-12-11  | 2020-12-14 | 2020-12-20  |
| 2020-12-14    | 2       | 46       | 2020-12-14  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 2       | 48       | 2020-12-14  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 2       | 49       | 2020-12-14  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 2       | 50       | 2020-12-14  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 2       | 51       | 2020-12-14  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 2       | 52       | 2020-12-15  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 53       | 2020-12-14  | 2020-12-15 | 2020-12-20  |
| 2020-12-14    | 2       | 54       | 2020-12-15  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 56       | 2020-12-15  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 2       | 59       | 2020-12-16  | 2020-12-17 | 2020-12-20  |
| 2020-12-14    | 2       | 60       | 2020-12-14  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 62       | 2020-12-16  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 2       | 63       | 2020-12-18  | 2020-12-21 | 2020-12-20  |
| 2020-12-14    | 2       | 64       | 2020-12-15  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 2       | 65       | 2020-12-16  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 2       | 66       | 2020-12-15  | 2020-12-16 | 2020-12-20  |
| 2020-12-14    | 2       | 67       | 2020-12-17  | 2020-12-18 | 2020-12-20  |
| 2020-12-14    | 2       | 68       | 2020-12-18  | 2020-12-21 | 2020-12-20  |
