leads_id,session_source,industry,leads_registered,number_of_employee,sessIon_source_code,industry_code
630,CPC,Education,2021-05-28 12:11:52 UTC,15,1,1
1055,Organic Social,Education,2021-09-17 11:11:11 UTC,15,4,1
1272,CPC,Education,2021-11-16 16:30:47 UTC,15,1,1
1366,Direct,Education,2021-12-06 10:51:53 UTC,15,2,1
1472,Organic Social,Education,2021-12-23 17:42:48 UTC,15,4,1
1668,CPC,Education,2022-02-02 10:02:14 UTC,15,1,1
1886,Organic Social,Education,2022-03-22 09:11:47 UTC,15,4,1
1939,CPC,Education,2022-03-25 17:18:34 UTC,15,1,1
2112,CPC,Education,2022-05-03 16:37:06 UTC,15,1,1
2162,Direct,Education,2022-05-18 10:21:26 UTC,15,2,1
2374,Organic Social,Education,2022-06-14 17:27:35 UTC,15,4,1
2501,CPC,Education,2022-07-01 09:44:51 UTC,15,1,1
2512,CPC,Education,2022-07-01 15:44:15 UTC,15,1,1
2547,CPC,Education,2022-07-08 11:19:57 UTC,15,1,1
2595,Organic Social,Education,2022-07-26 16:45:11 UTC,15,4,1
2679,CPC,Education,2022-08-08 09:26:25 UTC,15,1,1
2856,CPC,Education,2022-09-06 13:56:38 UTC,15,1,1
2889,Organic Search,Education,2022-09-09 17:39:34 UTC,15,3,1
2924,Direct,Education,2022-09-16 10:35:57 UTC,15,2,1
3134,Direct,Education,2022-10-05 09:34:18 UTC,15,2,1
3312,CPC,Education,2022-11-07 16:50:02 UTC,15,1,1
2128,Direct,Education,2022-05-05 10:41:43 UTC,275,2,1
2717,Refferal,Education,2022-08-23 09:37:49 UTC,275,5,1
3355,Refferal,Education,2022-11-23 16:06:28 UTC,275,5,1
221,CPC,Education,2021-01-29 09:18:23 UTC,20,1,1
395,Organic Search,Education,2021-03-23 14:37:39 UTC,20,3,1
427,Refferal,Education,2021-03-30 16:08:30 UTC,20,5,1
490,Organic Social,Education,2021-04-13 09:14:59 UTC,20,4,1
510,CPC,Education,2021-04-26 10:23:53 UTC,20,1,1
733,Direct,Education,2021-06-24 10:44:12 UTC,20,2,1
867,CPC,Education,2021-07-30 10:38:47 UTC,20,1,1
895,CPC,Education,2021-08-04 12:30:17 UTC,20,1,1
919,CPC,Education,2021-08-11 10:25:16 UTC,20,1,1
1036,CPC,Education,2021-09-08 15:49:15 UTC,20,1,1
1666,Organic Social,Education,2022-02-01 16:10:34 UTC,20,4,1
1765,CPC,Education,2022-03-01 09:44:18 UTC,20,1,1
1800,CPC,Education,2022-03-04 10:52:54 UTC,20,1,1
1808,CPC,Education,2022-03-04 17:14:52 UTC,20,1,1
2124,Organic Social,Education,2022-05-04 15:42:59 UTC,20,4,1
2163,Organic Social,Education,2022-05-18 12:55:47 UTC,20,4,1
2343,CPC,Education,2022-06-08 13:49:13 UTC,20,1,1
2413,Organic Social,Education,2022-06-22 10:44:06 UTC,20,4,1
2481,CPC,Education,2022-06-29 10:22:55 UTC,20,1,1
2587,CPC,Education,2022-07-25 09:10:43 UTC,20,1,1
2664,CPC,Education,2022-08-04 11:00:54 UTC,20,1,1
2673,CPC,Education,2022-08-05 16:08:20 UTC,20,1,1
3108,CPC,Education,2022-10-03 09:21:55 UTC,20,1,1
3169,Direct,Education,2022-10-11 10:23:06 UTC,20,2,1
3223,Organic Social,Education,2022-10-26 11:41:10 UTC,20,4,1
3387,CPC,Education,2022-11-30 16:31:45 UTC,20,1,1
168,CPC,Education,2021-01-07 14:32:24 UTC,25,1,1
272,CPC,Education,2021-02-15 17:22:38 UTC,25,1,1
391,Organic Search,Education,2021-03-22 09:49:35 UTC,25,3,1
476,CPC,Education,2021-04-08 12:01:56 UTC,25,1,1
566,Refferal,Education,2021-05-04 14:09:35 UTC,25,5,1
664,CPC,Education,2021-06-03 13:53:26 UTC,25,1,1
681,Organic Social,Education,2021-06-04 16:57:21 UTC,25,4,1
751,Direct,Education,2021-06-28 13:10:19 UTC,25,2,1
1034,CPC,Education,2021-09-08 13:49:39 UTC,25,1,1
1120,CPC,Education,2021-09-30 16:19:12 UTC,25,1,1
1146,Organic Social,Education,2021-10-06 09:25:03 UTC,25,4,1
1161,Organic Search,Education,2021-10-08 10:22:40 UTC,25,3,1
1180,Organic Social,Education,2021-10-19 15:03:32 UTC,25,4,1
1261,CPC,Education,2021-11-11 09:16:45 UTC,25,1,1
1304,Organic Social,Education,2021-11-26 17:09:08 UTC,25,4,1
1543,CPC,Education,2021-12-31 17:05:32 UTC,25,1,1
1870,Refferal,Education,2022-03-17 14:07:43 UTC,25,5,1
1994,CPC,Education,2022-04-01 15:14:34 UTC,25,1,1
2014,CPC,Education,2022-04-05 13:37:04 UTC,25,1,1
2136,Organic Search,Education,2022-05-06 11:00:39 UTC,25,3,1
2271,CPC,Education,2022-06-02 12:18:03 UTC,25,1,1
2318,Direct,Education,2022-06-06 16:26:36 UTC,25,2,1
2663,CPC,Education,2022-08-04 10:24:33 UTC,25,1,1
2830,Organic Search,Education,2022-09-05 09:24:59 UTC,25,3,1
2973,Organic Search,Education,2022-09-22 10:38:22 UTC,25,3,1
3180,CPC,Education,2022-10-13 14:52:50 UTC,25,1,1
3279,Organic Social,Education,2022-11-01 13:40:33 UTC,25,4,1
301,CPC,Education,2021-02-26 09:58:07 UTC,30,1,1
348,CPC,Education,2021-03-05 17:23:53 UTC,30,1,1
426,CPC,Education,2021-03-30 15:43:42 UTC,30,1,1
442,Organic Social,Education,2021-04-01 17:23:09 UTC,30,4,1
531,CPC,Education,2021-04-29 12:23:30 UTC,30,1,1
663,Organic Social,Education,2021-06-03 13:11:53 UTC,30,4,1
902,Organic Search,Education,2021-08-05 17:53:21 UTC,30,3,1
968,Organic Social,Education,2021-08-30 14:31:32 UTC,30,4,1
1130,CPC,Education,2021-10-01 16:12:53 UTC,30,1,1
1380,CPC,Education,2021-12-07 12:21:43 UTC,30,1,1
1382,Organic Social,Education,2021-12-07 13:11:13 UTC,30,4,1
1397,Organic Search,Education,2021-12-08 17:28:36 UTC,30,3,1
1410,Organic Social,Education,2021-12-10 11:48:01 UTC,30,4,1
1469,CPC,Education,2021-12-23 13:34:26 UTC,30,1,1
1890,CPC,Education,2022-03-22 16:04:06 UTC,30,1,1
1949,Organic Social,Education,2022-03-28 16:21:22 UTC,30,4,1
1954,Organic Social,Education,2022-03-28 17:47:39 UTC,30,4,1
2176,CPC,Education,2022-05-23 17:00:45 UTC,30,1,1
2462,Refferal,Education,2022-06-27 16:24:08 UTC,30,5,1
2553,CPC,Education,2022-07-11 16:55:06 UTC,30,1,1
3009,Organic Social,Education,2022-09-26 11:38:14 UTC,30,4,1
3106,Organic Social,Education,2022-09-30 17:44:42 UTC,30,4,1
3167,CPC,Education,2022-10-11 09:06:32 UTC,30,1,1
3353,CPC,Education,2022-11-23 12:28:59 UTC,30,1,1
3384,Organic Social,Education,2022-11-30 10:00:07 UTC,30,4,1
44,CPC,Education,2020-12-08 16:06:14 UTC,35,1,1
136,CPC,Education,2021-01-04 13:48:33 UTC,35,1,1
217,Organic Social,Education,2021-01-28 13:13:08 UTC,35,4,1
368,Refferal,Education,2021-03-10 10:27:26 UTC,35,5,1
799,Refferal,Education,2021-07-05 16:22:48 UTC,35,5,1
812,CPC,Education,2021-07-07 16:25:04 UTC,35,1,1
814,Organic Social,Education,2021-07-08 13:33:17 UTC,35,4,1
923,CPC,Education,2021-08-13 14:27:11 UTC,35,1,1
1038,CPC,Education,2021-09-09 10:56:50 UTC,35,1,1
1245,CPC,Education,2021-11-05 13:43:20 UTC,35,1,1
1266,Organic Social,Education,2021-11-12 17:15:36 UTC,35,4,1
1409,Organic Social,Education,2021-12-10 11:38:27 UTC,35,4,1
1466,Organic Social,Education,2021-12-23 10:17:54 UTC,35,4,1
1509,Organic Search,Education,2021-12-29 14:41:16 UTC,35,3,1
2326,CPC,Education,2022-06-07 10:06:15 UTC,35,1,1
2446,Refferal,Education,2022-06-24 13:40:17 UTC,35,5,1
2711,Organic Social,Education,2022-08-19 10:52:20 UTC,35,4,1
2734,Organic Social,Education,2022-08-26 13:26:30 UTC,35,4,1
2744,Direct,Education,2022-08-29 10:16:09 UTC,35,2,1
3129,Organic Social,Education,2022-10-04 17:31:38 UTC,35,4,1
3141,CPC,Education,2022-10-05 15:01:20 UTC,35,1,1
3197,Direct,Education,2022-10-19 11:30:38 UTC,35,2,1
3305,Direct,Education,2022-11-04 13:35:47 UTC,35,2,1
5,Organic Search,Education,2020-11-27 11:07:38 UTC,40,3,1
58,Organic Social,Education,2020-12-11 09:42:14 UTC,40,4,1
156,Organic Social,Education,2021-01-06 12:19:31 UTC,40,4,1
236,Organic Social,Education,2021-02-02 09:55:01 UTC,40,4,1
321,Organic Search,Education,2021-03-02 13:18:53 UTC,40,3,1
704,CPC,Education,2021-06-11 12:29:03 UTC,40,1,1
944,Organic Social,Education,2021-08-24 16:27:10 UTC,40,4,1
1156,Organic Search,Education,2021-10-07 09:13:11 UTC,40,3,1
1173,Refferal,Education,2021-10-14 09:43:22 UTC,40,5,1
1475,CPC,Education,2021-12-24 14:46:00 UTC,40,1,1
1642,CPC,Education,2022-01-26 15:05:57 UTC,40,1,1
1658,CPC,Education,2022-01-31 10:08:37 UTC,40,1,1
1659,Organic Social,Education,2022-01-31 10:46:27 UTC,40,4,1
1869,Organic Social,Education,2022-03-17 13:30:53 UTC,40,4,1
1958,Organic Social,Education,2022-03-29 17:11:40 UTC,40,4,1
2053,CPC,Education,2022-04-21 12:16:34 UTC,40,1,1
2121,Refferal,Education,2022-05-04 13:53:52 UTC,40,5,1
2240,CPC,Education,2022-05-31 13:05:14 UTC,40,1,1
2342,CPC,Education,2022-06-08 12:58:20 UTC,40,1,1
2681,CPC,Education,2022-08-08 15:09:06 UTC,40,1,1
3133,Refferal,Education,2022-10-05 09:14:37 UTC,40,5,1
3202,CPC,Education,2022-10-20 09:44:22 UTC,40,1,1
3216,CPC,Education,2022-10-24 15:23:20 UTC,40,1,1
3243,Direct,Education,2022-10-28 10:11:45 UTC,40,2,1
3248,Organic Social,Education,2022-10-28 16:13:37 UTC,40,4,1
1033,Organic Social,Education,2021-09-08 13:29:06 UTC,300,4,1
2724,Organic Search,Education,2022-08-25 11:53:28 UTC,300,3,1
2822,Refferal,Education,2022-09-02 16:03:55 UTC,300,5,1
73,CPC,Education,2020-12-16 17:40:41 UTC,45,1,1
211,CPC,Education,2021-01-26 09:35:17 UTC,45,1,1
253,CPC,Education,2021-02-04 16:21:47 UTC,45,1,1
257,CPC,Education,2021-02-05 11:12:36 UTC,45,1,1
381,Organic Search,Education,2021-03-18 10:29:23 UTC,45,3,1
408,CPC,Education,2021-03-26 11:09:28 UTC,45,1,1
423,Organic Search,Education,2021-03-30 14:51:51 UTC,45,3,1
440,CPC,Education,2021-04-01 16:34:05 UTC,45,1,1
543,Organic Search,Education,2021-04-30 14:45:01 UTC,45,3,1
793,CPC,Education,2021-07-05 10:20:59 UTC,45,1,1
917,CPC,Education,2021-08-10 10:22:37 UTC,45,1,1
1274,Refferal,Education,2021-11-17 14:31:50 UTC,45,5,1
1541,Organic Social,Education,2021-12-31 16:40:08 UTC,45,4,1
1582,CPC,Education,2022-01-06 16:17:54 UTC,45,1,1
1589,Organic Search,Education,2022-01-07 11:08:57 UTC,45,3,1
1605,Organic Social,Education,2022-01-12 17:23:15 UTC,45,4,1
1628,Organic Social,Education,2022-01-21 16:46:18 UTC,45,4,1
1751,CPC,Education,2022-02-28 11:48:07 UTC,45,1,1
2094,CPC,Education,2022-04-29 13:38:44 UTC,45,1,1
2312,CPC,Education,2022-06-06 13:28:30 UTC,45,1,1
2333,CPC,Education,2022-06-07 17:04:37 UTC,45,1,1
2960,CPC,Education,2022-09-21 12:39:07 UTC,45,1,1
3116,Organic Search,Education,2022-10-04 09:02:35 UTC,45,3,1
3294,CPC,Education,2022-11-02 15:25:54 UTC,45,1,1
49,Organic Search,Education,2020-12-09 11:25:51 UTC,50,3,1
383,CPC,Education,2021-03-19 09:08:29 UTC,50,1,1
414,CPC,Education,2021-03-26 17:51:37 UTC,50,1,1
484,Organic Social,Education,2021-04-09 11:46:54 UTC,50,4,1
658,Organic Search,Education,2021-06-02 14:32:56 UTC,50,3,1
665,Organic Social,Education,2021-06-03 15:59:30 UTC,50,4,1
669,Organic Search,Education,2021-06-04 09:17:52 UTC,50,3,1
1138,CPC,Education,2021-10-04 10:11:38 UTC,50,1,1
1341,CPC,Education,2021-12-01 16:01:36 UTC,50,1,1
1413,CPC,Education,2021-12-13 14:57:00 UTC,50,1,1
1436,Organic Social,Education,2021-12-16 16:48:54 UTC,50,4,1
1602,Organic Social,Education,2022-01-11 15:07:56 UTC,50,4,1
1681,Organic Social,Education,2022-02-04 12:13:11 UTC,50,4,1
1953,CPC,Education,2022-03-28 17:44:37 UTC,50,1,1
2029,CPC,Education,2022-04-08 10:37:01 UTC,50,1,1
2275,CPC,Education,2022-06-02 13:57:48 UTC,50,1,1
2439,CPC,Education,2022-06-24 10:19:52 UTC,50,1,1
2503,Organic Search,Education,2022-07-01 10:57:09 UTC,50,3,1
2701,CPC,Education,2022-08-12 14:48:09 UTC,50,1,1
2899,Organic Social,Education,2022-09-12 17:00:10 UTC,50,4,1
3028,Organic Search,Education,2022-09-26 17:15:11 UTC,50,3,1
3037,CPC,Education,2022-09-27 14:42:59 UTC,50,1,1
3079,Organic Social,Education,2022-09-29 16:32:22 UTC,50,4,1
3130,CPC,Education,2022-10-04 17:57:06 UTC,50,1,1
3190,Direct,Education,2022-10-18 10:56:08 UTC,50,2,1
3214,Organic Search,Education,2022-10-24 09:45:09 UTC,50,3,1
3390,CPC,Education,2022-12-01 10:27:43 UTC,50,1,1
193,Refferal,Education,2021-01-18 16:17:34 UTC,60,5,1
678,Organic Social,Education,2021-06-04 14:58:16 UTC,60,4,1
697,CPC,Education,2021-06-08 16:30:56 UTC,60,1,1
788,Refferal,Education,2021-07-02 17:47:38 UTC,60,5,1
1224,CPC,Education,2021-11-02 17:47:15 UTC,60,1,1
1365,Direct,Education,2021-12-03 17:50:50 UTC,60,2,1
1555,CPC,Education,2022-01-03 14:57:51 UTC,60,1,1
1590,Direct,Education,2022-01-07 12:57:34 UTC,60,2,1
1706,CPC,Education,2022-02-17 16:15:54 UTC,60,1,1
1754,Direct,Education,2022-02-28 14:23:51 UTC,60,2,1
2893,Direct,Education,2022-09-12 12:28:47 UTC,60,2,1
2980,Refferal,Education,2022-09-22 16:14:48 UTC,60,5,1
3111,Organic Search,Education,2022-10-03 11:33:46 UTC,60,3,1
3263,CPC,Education,2022-10-31 12:14:03 UTC,60,1,1
662,Refferal,Education,2021-06-03 12:21:38 UTC,325,5,1
1377,Refferal,Education,2021-12-07 10:20:29 UTC,325,5,1
3187,Refferal,Education,2022-10-17 15:11:48 UTC,325,5,1
3336,Organic Search,Education,2022-11-18 10:59:58 UTC,325,3,1
402,Direct,Education,2021-03-25 12:55:16 UTC,70,2,1
501,CPC,Education,2021-04-20 11:00:39 UTC,70,1,1
523,Direct,Education,2021-04-28 13:05:49 UTC,70,2,1
1779,Direct,Education,2022-03-02 16:11:07 UTC,70,2,1
2058,Organic Search,Education,2022-04-22 17:41:43 UTC,70,3,1
2375,Organic Search,Education,2022-06-14 17:47:53 UTC,70,3,1
2518,CPC,Education,2022-07-04 10:07:47 UTC,70,1,1
2945,Direct,Education,2022-09-19 17:27:11 UTC,70,2,1
3061,Organic Search,Education,2022-09-28 14:33:46 UTC,70,3,1
3176,Organic Social,Education,2022-10-12 16:02:05 UTC,70,4,1
3292,CPC,Education,2022-11-02 14:06:27 UTC,70,1,1
196,CPC,Education,2021-01-20 12:42:08 UTC,80,1,1
1031,Direct,Education,2021-09-07 16:38:08 UTC,80,2,1
1928,Direct,Education,2022-03-25 10:51:11 UTC,80,2,1
1979,Direct,Education,2022-03-31 12:39:01 UTC,80,2,1
2248,Direct,Education,2022-05-31 17:21:38 UTC,80,2,1
2458,CPC,Education,2022-06-27 11:45:24 UTC,80,1,1
2536,Direct,Education,2022-07-06 12:10:03 UTC,80,2,1
51,CPC,Education,2020-12-09 13:24:49 UTC,90,1,1
64,Direct,Education,2020-12-11 16:32:08 UTC,90,2,1
207,Direct,Education,2021-01-25 17:28:47 UTC,90,2,1
469,Organic Social,Education,2021-04-07 17:22:26 UTC,90,4,1
1226,Direct,Education,2021-11-03 09:35:33 UTC,90,2,1
1323,Refferal,Education,2021-11-30 15:37:45 UTC,90,5,1
1493,Direct,Education,2021-12-28 09:19:27 UTC,90,2,1
1815,Refferal,Education,2022-03-07 15:34:14 UTC,90,5,1
2013,CPC,Education,2022-04-05 12:23:28 UTC,90,1,1
2515,Refferal,Education,2022-07-01 16:40:53 UTC,90,5,1
2628,CPC,Education,2022-08-01 12:52:49 UTC,90,1,1
2759,Direct,Education,2022-08-30 11:46:47 UTC,90,2,1
2937,Organic Search,Education,2022-09-19 15:05:22 UTC,90,3,1
3043,CPC,Education,2022-09-27 17:52:10 UTC,90,1,1
3394,Direct,Education,2022-12-02 15:11:21 UTC,90,2,1
117,CPC,Education,2020-12-31 10:42:29 UTC,100,1,1
145,CPC,Education,2021-01-05 10:10:36 UTC,100,1,1
296,Organic Search,Education,2021-02-25 14:22:50 UTC,100,3,1
483,Direct,Education,2021-04-09 10:55:18 UTC,100,2,1
554,Direct,Education,2021-05-03 15:19:26 UTC,100,2,1
889,Direct,Education,2021-08-03 16:56:10 UTC,100,2,1
1105,Refferal,Education,2021-09-29 12:33:36 UTC,100,5,1
1198,CPC,Education,2021-10-27 16:22:40 UTC,100,1,1
1877,Direct,Education,2022-03-21 09:12:05 UTC,100,2,1
1929,Direct,Education,2022-03-25 11:02:37 UTC,100,2,1
2237,CPC,Education,2022-05-31 09:57:14 UTC,100,1,1
2336,Organic Search,Education,2022-06-08 09:42:27 UTC,100,3,1
2782,CPC,Education,2022-08-31 16:10:19 UTC,100,1,1
2984,Direct,Education,2022-09-23 10:02:17 UTC,100,2,1
3376,Organic Social,Education,2022-11-28 14:24:39 UTC,100,4,1
726,CPC,Education,2021-06-22 16:46:24 UTC,110,1,1
1513,Direct,Education,2021-12-29 17:12:02 UTC,110,2,1
2104,Organic Search,Education,2022-05-02 11:49:34 UTC,110,3,1
3291,Direct,Education,2022-11-02 12:06:38 UTC,110,2,1
1271,Refferal,Education,2021-11-16 16:02:55 UTC,375,5,1
1740,Refferal,Education,2022-02-25 16:32:02 UTC,375,5,1
160,CPC,Education,2021-01-06 14:26:11 UTC,120,1,1
258,CPC,Education,2021-02-05 11:42:34 UTC,120,1,1
1056,Direct,Education,2021-09-17 15:18:07 UTC,120,2,1
1220,Organic Search,Education,2021-11-02 15:22:16 UTC,120,3,1
1756,Organic Search,Education,2022-02-28 14:47:00 UTC,120,3,1
1982,Direct,Education,2022-03-31 16:25:04 UTC,120,2,1
2095,CPC,Education,2022-04-29 14:47:45 UTC,120,1,1
2910,CPC,Education,2022-09-14 09:01:40 UTC,120,1,1
3244,CPC,Education,2022-10-28 10:54:56 UTC,120,1,1
3318,Refferal,Education,2022-11-10 13:11:41 UTC,120,5,1
25,Refferal,Education,2020-12-04 13:50:11 UTC,130,5,1
274,Direct,Education,2021-02-16 10:11:24 UTC,130,2,1
730,Refferal,Education,2021-06-23 14:09:47 UTC,130,5,1
783,Organic Search,Education,2021-07-02 15:30:49 UTC,130,3,1
784,Direct,Education,2021-07-02 16:29:47 UTC,130,2,1
989,Refferal,Education,2021-09-01 10:52:57 UTC,130,5,1
1183,Direct,Education,2021-10-21 12:46:01 UTC,130,2,1
1463,CPC,Education,2021-12-22 16:34:22 UTC,130,1,1
1528,Organic Search,Education,2021-12-31 09:12:09 UTC,130,3,1
1725,Direct,Education,2022-02-23 16:40:47 UTC,130,2,1
1839,Organic Search,Education,2022-03-09 17:58:27 UTC,130,3,1
2310,Refferal,Education,2022-06-06 13:16:11 UTC,130,5,1
2958,Direct,Education,2022-09-21 12:12:15 UTC,130,2,1
18,Refferal,Education,2020-12-02 14:47:29 UTC,140,5,1
28,Direct,Education,2020-12-04 15:48:54 UTC,140,2,1
159,Direct,Education,2021-01-06 13:58:45 UTC,140,2,1
229,Direct,Education,2021-01-29 16:39:59 UTC,140,2,1
235,Direct,Education,2021-02-01 17:50:44 UTC,140,2,1
318,Direct,Education,2021-03-02 09:21:16 UTC,140,2,1
396,Direct,Education,2021-03-24 12:18:46 UTC,140,2,1
439,Refferal,Education,2021-04-01 16:11:55 UTC,140,5,1
802,CPC,Education,2021-07-06 09:31:51 UTC,140,1,1
1118,Direct,Education,2021-09-30 14:22:22 UTC,140,2,1
1149,Organic Social,Education,2021-10-06 10:50:16 UTC,140,4,1
1376,CPC,Education,2021-12-07 09:41:59 UTC,140,1,1
1539,Refferal,Education,2021-12-31 16:05:04 UTC,140,5,1
1623,Direct,Education,2022-01-21 10:53:44 UTC,140,2,1
2045,Organic Search,Education,2022-04-18 12:31:45 UTC,140,3,1
2063,Direct,Education,2022-04-25 13:04:39 UTC,140,2,1
2689,CPC,Education,2022-08-10 13:42:15 UTC,140,1,1
2726,Refferal,Education,2022-08-25 14:36:03 UTC,140,5,1
2758,Organic Search,Education,2022-08-30 11:44:39 UTC,140,3,1
3012,Organic Search,Education,2022-09-26 13:10:56 UTC,140,3,1
3128,CPC,Education,2022-10-04 17:13:26 UTC,140,1,1
3212,CPC,Education,2022-10-21 16:10:39 UTC,140,1,1
2177,Refferal,Education,2022-05-23 17:13:49 UTC,400,5,1
2179,Direct,Education,2022-05-24 16:22:42 UTC,400,2,1
45,CPC,Education,2020-12-08 16:08:54 UTC,150,1,1
144,Organic Search,Education,2021-01-04 16:57:24 UTC,150,3,1
305,CPC,Education,2021-02-26 12:50:37 UTC,150,1,1
363,CPC,Education,2021-03-09 17:34:53 UTC,150,1,1
424,Direct,Education,2021-03-30 14:54:00 UTC,150,2,1
564,Organic Social,Education,2021-05-04 13:25:04 UTC,150,4,1
713,Direct,Education,2021-06-17 16:47:09 UTC,150,2,1
824,Refferal,Education,2021-07-12 14:41:57 UTC,150,5,1
853,Organic Search,Education,2021-07-26 15:49:19 UTC,150,3,1
1000,CPC,Education,2021-09-02 13:18:20 UTC,150,1,1
1212,CPC,Education,2021-11-01 09:39:38 UTC,150,1,1
1363,Organic Search,Education,2021-12-03 15:46:48 UTC,150,3,1
1632,Direct,Education,2022-01-24 14:02:37 UTC,150,2,1
1763,Direct,Education,2022-02-28 17:41:18 UTC,150,2,1
1770,Organic Search,Education,2022-03-02 09:33:04 UTC,150,3,1
1927,Organic Search,Education,2022-03-25 10:10:38 UTC,150,3,1
1943,Refferal,Education,2022-03-28 14:01:06 UTC,150,5,1
1955,Organic Search,Education,2022-03-29 09:12:21 UTC,150,3,1
2188,Organic Search,Education,2022-05-25 11:08:12 UTC,150,3,1
2203,Direct,Education,2022-05-27 10:32:05 UTC,150,2,1
2272,Direct,Education,2022-06-02 12:49:21 UTC,150,2,1
2456,CPC,Education,2022-06-27 10:59:44 UTC,150,1,1
2474,Refferal,Education,2022-06-28 16:36:13 UTC,150,5,1
2489,Organic Search,Education,2022-06-29 16:06:10 UTC,150,3,1
2500,Organic Search,Education,2022-06-30 17:35:00 UTC,150,3,1
2633,Direct,Education,2022-08-02 09:22:16 UTC,150,2,1
2707,Refferal,Education,2022-08-15 13:52:23 UTC,150,5,1
2817,Refferal,Education,2022-09-02 12:47:03 UTC,150,5,1
2948,Refferal,Education,2022-09-20 12:36:36 UTC,150,5,1
2864,Refferal,Education,2022-09-07 10:31:35 UTC,425,5,1
1241,Direct,Education,2021-11-05 09:29:55 UTC,175,2,1
2642,Direct,Education,2022-08-02 16:23:31 UTC,175,2,1
582,Refferal,Education,2021-05-07 09:42:46 UTC,450,5,1
2257,Organic Social,Education,2022-06-01 10:49:16 UTC,450,4,1
2508,Refferal,Education,2022-07-01 14:06:15 UTC,450,5,1
1081,Refferal,Education,2021-09-24 16:41:24 UTC,200,5,1
1698,Refferal,Education,2022-02-15 16:22:45 UTC,200,5,1
1991,Direct,Education,2022-04-01 13:26:27 UTC,200,2,1
2931,Refferal,Education,2022-09-19 09:30:00 UTC,200,5,1
2985,Direct,Education,2022-09-23 10:14:29 UTC,200,2,1
3168,Refferal,Education,2022-10-11 09:23:36 UTC,200,5,1
