leads_id,last_stage_id,last_stage,last_step,starting_ts,ending_ts,status,reason,cycle_duration
147,105,discussion_success,4,"2021-01-05 15:38:47","2021-01-19 13:25:54",lost,"price not fit",13.91
148,102,leads_qualification,1,"2021-01-05 16:37:16","2021-01-11 10:40:43",lost,"not selected",5.75
149,101,leads_registered,0,"2021-01-05 16:46:44","2021-01-05 16:46:44",open,"",0.0
150,101,leads_registered,0,"2021-01-05 17:20:31","2021-01-05 17:20:31",open,"",0.0
151,103,initial_communication_success,2,"2021-01-05 17:35:07","2021-01-14 17:17:42",lost,"not answered",8.99
152,103,initial_communication_success,2,"2021-01-05 17:45:33","2021-01-11 17:19:13",lost,"not interested",5.98
153,103,initial_communication_success,2,"2021-01-05 17:46:56","2021-01-14 17:04:14",lost,"not answered",8.97
154,101,leads_registered,0,"2021-01-06 09:02:54","2021-01-06 09:02:54",open,"",0.0
155,104,approach_success,3,"2021-01-06 11:03:10","2021-01-14 14:13:51",lost,"not answered",8.13
156,101,leads_registered,0,"2021-01-06 12:19:31","2021-01-06 12:19:31",open,"",0.0
157,105,discussion_success,4,"2021-01-06 12:27:42","2021-01-19 17:48:34",lost,"not answered",13.22
158,106,offer_sent,5,"2021-01-06 13:29:57","2021-01-21 16:10:34",lost,"not answered",15.11
159,108,deal_won,7,"2021-01-06 13:58:45","2021-02-05 17:35:47",won,"",30.15
160,105,discussion_success,4,"2021-01-06 14:26:11","2021-01-19 12:38:46",lost,"not interested",12.93
161,105,discussion_success,4,"2021-01-06 15:37:54","2021-01-20 11:55:40",lost,"price not fit",13.85
162,102,leads_qualification,1,"2021-01-06 17:42:46","2021-01-11 09:00:42",lost,"not selected",4.64
163,106,offer_sent,5,"2021-01-07 09:39:45","2021-01-22 09:30:24",lost,"not answered",14.99
164,104,approach_success,3,"2021-01-07 10:39:02","2021-01-18 12:39:39",lost,"not answered",11.08
165,108,deal_won,7,"2021-01-07 10:46:00","2021-02-04 17:29:45",won,"",28.28
166,108,deal_won,7,"2021-01-07 11:17:59","2021-01-28 11:14:53",won,"",21.0
167,102,leads_qualification,1,"2021-01-07 11:19:29","2021-01-11 09:37:36",lost,"not selected",3.93
168,101,leads_registered,0,"2021-01-07 14:32:24","2021-01-07 14:32:24",open,"",0.0
169,108,deal_won,7,"2021-01-07 15:20:45","2021-02-04 09:40:54",won,"",27.76
170,108,deal_won,7,"2021-01-07 17:11:04","2021-02-01 10:17:33",won,"",24.71
171,105,discussion_success,4,"2021-01-07 17:18:18","2021-01-20 17:12:02",lost,"price not fit",13.0
172,101,leads_registered,0,"2021-01-08 09:10:33","2021-01-08 09:10:33",open,"",0.0
173,103,initial_communication_success,2,"2021-01-08 09:54:41","2021-01-12 15:54:15",lost,"not answered",4.25
174,101,leads_registered,0,"2021-01-08 11:29:19","2021-01-08 11:29:19",open,"",0.0
175,103,initial_communication_success,2,"2021-01-08 12:35:43","2021-01-18 16:19:10",lost,"not interested",10.16
176,106,offer_sent,5,"2021-01-08 13:21:20","2021-01-21 10:14:40",lost,"not answered",12.87
177,105,discussion_success,4,"2021-01-08 16:28:59","2021-01-25 10:24:33",lost,"price not fit",16.75
178,101,leads_registered,0,"2021-01-08 16:30:09","2021-01-08 16:30:09",open,"",0.0
179,105,discussion_success,4,"2021-01-08 17:02:34","2021-01-26 12:51:51",lost,"not interested",17.83
180,103,initial_communication_success,2,"2021-01-11 10:49:51","2021-01-18 11:48:27",lost,"not answered",7.04
181,104,approach_success,3,"2021-01-12 11:07:32","2021-01-20 10:20:39",lost,"not answered",7.97
182,104,approach_success,3,"2021-01-12 14:55:34","2021-01-19 11:22:40",lost,"not answered",6.85
183,105,discussion_success,4,"2021-01-13 14:48:24","2021-01-26 15:01:57",lost,"price not fit",13.01
184,108,deal_won,7,"2021-01-13 15:58:58","2021-02-08 15:29:20",won,"",25.98
185,108,deal_won,7,"2021-01-13 16:35:03","2021-02-10 17:16:01",won,"",28.03
186,108,deal_won,7,"2021-01-13 16:46:07","2021-02-08 16:10:25",won,"",25.98
187,107,quotation_recieved,6,"2021-01-14 12:31:53","2021-02-02 13:08:52",lost,"price not fit",19.03
188,108,deal_won,7,"2021-01-14 14:21:06","2021-02-05 10:51:20",won,"",21.85
189,102,leads_qualification,1,"2021-01-15 09:33:05","2021-01-19 10:38:35",lost,"not selected",4.05
190,103,initial_communication_success,2,"2021-01-15 12:31:59","2021-01-19 12:23:23",lost,"not answered",3.99
191,107,quotation_recieved,6,"2021-01-15 14:11:46","2021-02-11 10:41:44",lost,"price not fit",26.85
192,101,leads_registered,0,"2021-01-18 10:29:42","2021-01-18 10:29:42",open,"",0.0
193,104,approach_success,3,"2021-01-18 16:17:34","2021-01-27 10:08:25",lost,"not interested",8.74
194,101,leads_registered,0,"2021-01-19 09:05:10","2021-01-19 09:05:10",open,"",0.0
195,101,leads_registered,0,"2021-01-19 17:42:05","2021-01-19 17:42:05",open,"",0.0
196,105,discussion_success,4,"2021-01-20 12:42:08","2021-02-01 09:07:12",lost,"not interested",11.85
197,106,offer_sent,5,"2021-01-22 09:03:36","2021-02-11 13:52:15",lost,"not answered",20.2
198,101,leads_registered,0,"2021-01-22 09:49:37","2021-01-22 09:49:37",open,"",0.0
199,108,deal_won,7,"2021-01-22 11:19:32","2021-02-25 10:23:48",won,"",33.96
200,104,approach_success,3,"2021-01-22 16:51:32","2021-01-27 16:10:27",lost,"not answered",4.97
201,108,deal_won,7,"2021-01-22 16:54:53","2021-02-23 13:42:54",won,"",31.87
202,105,discussion_success,4,"2021-01-25 09:10:36","2021-02-05 16:41:00",lost,"not interested",11.31
203,107,quotation_recieved,6,"2021-01-25 09:34:59","2021-02-19 17:04:50",lost,"price not fit",25.31
204,108,deal_won,7,"2021-01-25 10:48:00","2021-03-03 09:53:11",won,"",36.96
205,108,deal_won,7,"2021-01-25 12:41:39","2021-03-02 17:41:16",won,"",36.21
206,105,discussion_success,4,"2021-01-25 17:12:32","2021-02-08 17:49:46",lost,"price not fit",14.03
207,103,initial_communication_success,2,"2021-01-25 17:28:47","2021-02-03 12:33:11",lost,"not answered",8.79
208,102,leads_qualification,1,"2021-01-25 17:33:34","2021-02-01 10:22:30",lost,"not selected",6.7
209,108,deal_won,7,"2021-01-25 17:37:45","2021-02-24 11:09:00",won,"",29.73
210,103,initial_communication_success,2,"2021-01-26 09:05:52","2021-02-02 09:29:39",lost,"not answered",7.02
211,103,initial_communication_success,2,"2021-01-26 09:35:17","2021-02-02 15:37:37",lost,"not interested",7.25
212,108,deal_won,7,"2021-01-26 10:25:47","2021-02-26 12:16:23",won,"",31.08
213,101,leads_registered,0,"2021-01-26 10:28:53","2021-01-26 10:28:53",open,"",0.0
214,102,leads_qualification,1,"2021-01-27 10:07:01","2021-02-01 16:28:10",lost,"not selected",5.26
215,102,leads_qualification,1,"2021-01-27 10:58:14","2021-02-02 09:31:52",lost,"not selected",5.94
216,106,offer_sent,5,"2021-01-28 12:22:16","2021-02-16 16:28:33",lost,"price not fit",19.17
217,102,leads_qualification,1,"2021-01-28 13:13:08","2021-02-01 15:31:32",lost,"not selected",4.1
218,108,deal_won,7,"2021-01-28 16:41:04","2021-02-22 17:48:15",won,"",25.05
219,101,leads_registered,0,"2021-01-28 17:55:07","2021-01-28 17:55:07",open,"",0.0
220,103,initial_communication_success,2,"2021-01-29 09:00:36","2021-02-08 11:56:06",lost,"not answered",10.12
221,101,leads_registered,0,"2021-01-29 09:18:23","2021-01-29 09:18:23",open,"",0.0
222,106,offer_sent,5,"2021-01-29 10:25:04","2021-02-15 17:50:31",lost,"not interested",17.31
223,107,quotation_recieved,6,"2021-01-29 10:40:23","2021-02-23 17:45:58",lost,"price not fit",25.3
224,101,leads_registered,0,"2021-01-29 12:54:10","2021-01-29 12:54:10",open,"",0.0
225,107,quotation_recieved,6,"2021-01-29 13:04:10","2021-02-24 11:27:56",lost,"price not fit",25.93
226,107,quotation_recieved,6,"2021-01-29 13:31:28","2021-02-23 17:38:03",lost,"price not fit",25.17
227,103,initial_communication_success,2,"2021-01-29 13:43:25","2021-02-08 10:24:51",lost,"not answered",9.86
228,108,deal_won,7,"2021-01-29 14:29:23","2021-02-25 10:40:55",won,"",26.84
229,105,discussion_success,4,"2021-01-29 16:39:59","2021-02-15 09:16:29",lost,"not answered",16.69
230,105,discussion_success,4,"2021-02-01 10:44:05","2021-02-15 10:22:43",lost,"price not fit",13.99
231,108,deal_won,7,"2021-02-01 11:49:37","2021-03-02 16:39:04",won,"",29.2
232,104,approach_success,3,"2021-02-01 11:50:23","2021-02-10 17:59:52",lost,"not answered",9.26
233,106,offer_sent,5,"2021-02-01 16:03:20","2021-02-16 11:23:35",lost,"price not fit",14.81
234,101,leads_registered,0,"2021-02-01 17:01:34","2021-02-01 17:01:34",open,"",0.0
235,101,leads_registered,0,"2021-02-01 17:50:44","2021-02-01 17:50:44",open,"",0.0
236,105,discussion_success,4,"2021-02-02 09:55:01","2021-02-15 09:35:06",lost,"not answered",12.99
237,105,discussion_success,4,"2021-02-02 10:40:46","2021-02-16 16:42:03",lost,"not interested",14.25
238,105,discussion_success,4,"2021-02-02 13:52:41","2021-02-16 14:31:24",lost,"price not fit",14.03
239,101,leads_registered,0,"2021-02-02 15:33:02","2021-02-02 15:33:02",open,"",0.0
240,107,quotation_recieved,6,"2021-02-02 16:50:29","2021-02-19 12:05:58",lost,"not answered",16.8
241,101,leads_registered,0,"2021-02-02 17:36:19","2021-02-02 17:36:19",open,"",0.0
242,105,discussion_success,4,"2021-02-03 11:30:58","2021-02-18 13:44:28",lost,"not answered",15.09
243,108,deal_won,7,"2021-02-03 11:47:15","2021-03-08 13:10:02",won,"",33.06
244,102,leads_qualification,1,"2021-02-03 14:36:48","2021-02-10 14:26:01",lost,"not selected",6.99
245,108,deal_won,7,"2021-02-03 16:18:24","2021-03-03 13:14:28",won,"",27.87
246,102,leads_qualification,1,"2021-02-03 16:37:05","2021-02-08 09:04:24",lost,"not selected",4.69
247,108,deal_won,7,"2021-02-03 16:59:26","2021-03-05 17:48:31",won,"",30.03
248,105,discussion_success,4,"2021-02-04 09:08:19","2021-02-15 15:21:30",lost,"price not fit",11.26
249,105,discussion_success,4,"2021-02-04 09:26:09","2021-02-16 09:06:45",lost,"price not fit",11.99
250,108,deal_won,7,"2021-02-04 12:45:15","2021-03-01 17:39:52",won,"",25.2
251,108,deal_won,7,"2021-02-04 12:49:06","2021-03-12 12:36:51",won,"",35.99
252,107,quotation_recieved,6,"2021-02-04 16:10:24","2021-03-01 10:56:59",lost,"price not fit",24.78
253,101,leads_registered,0,"2021-02-04 16:21:47","2021-02-04 16:21:47",open,"",0.0
254,106,offer_sent,5,"2021-02-04 16:46:48","2021-02-19 16:17:56",lost,"not answered",14.98
255,104,approach_success,3,"2021-02-05 10:27:52","2021-02-10 17:44:41",lost,"not interested",5.3
256,108,deal_won,7,"2021-02-05 10:40:32","2021-03-12 15:17:41",won,"",35.19
257,103,initial_communication_success,2,"2021-02-05 11:12:36","2021-02-12 10:58:37",lost,"not answered",6.99
258,106,offer_sent,5,"2021-02-05 11:42:34","2021-02-17 17:52:36",lost,"price not fit",12.26
259,108,deal_won,7,"2021-02-05 16:28:07","2021-03-04 17:53:09",won,"",27.06
260,101,leads_registered,0,"2021-02-05 17:01:12","2021-02-05 17:01:12",open,"",0.0
261,104,approach_success,3,"2021-02-08 09:39:03","2021-02-15 12:07:42",lost,"already use other products",7.1
262,105,discussion_success,4,"2021-02-08 14:25:53","2021-02-22 16:05:34",lost,"price not fit",14.07
263,102,leads_qualification,1,"2021-02-09 09:04:20","2021-02-12 17:25:51",lost,"not selected",3.35
264,104,approach_success,3,"2021-02-09 10:33:15","2021-02-18 09:27:51",lost,"not answered",8.95
265,107,quotation_recieved,6,"2021-02-09 15:02:34","2021-02-26 10:48:20",lost,"price not fit",16.82
266,106,offer_sent,5,"2021-02-09 15:14:14","2021-02-25 13:10:53",lost,"not answered",15.91
267,103,initial_communication_success,2,"2021-02-10 15:38:37","2021-02-19 12:22:25",lost,"not answered",8.86
268,101,leads_registered,0,"2021-02-11 09:10:27","2021-02-11 09:10:27",open,"",0.0
269,108,deal_won,7,"2021-02-11 09:25:28","2021-03-05 09:14:12",won,"",21.99
270,108,deal_won,7,"2021-02-12 09:30:30","2021-03-08 17:03:51",won,"",24.31
271,101,leads_registered,0,"2021-02-12 10:16:58","2021-02-12 10:16:58",open,"",0.0
272,108,deal_won,7,"2021-02-15 17:22:38","2021-03-11 09:05:50",won,"",23.65
273,108,deal_won,7,"2021-02-16 09:58:19","2021-03-24 09:13:47",won,"",35.97
274,101,leads_registered,0,"2021-02-16 10:11:24","2021-02-16 10:11:24",open,"",0.0
275,104,approach_success,3,"2021-02-16 14:50:33","2021-03-01 13:21:52",lost,"not interested",12.94
276,103,initial_communication_success,2,"2021-02-17 12:51:59","2021-02-23 13:23:01",lost,"not answered",6.02
277,104,approach_success,3,"2021-02-18 11:23:06","2021-02-26 14:31:14",lost,"already use other products",8.13
278,102,leads_qualification,1,"2021-02-18 16:54:22","2021-02-25 11:02:52",lost,"not selected",6.76
279,105,discussion_success,4,"2021-02-19 09:04:34","2021-03-10 11:00:20",lost,"not answered",19.08
280,105,discussion_success,4,"2021-02-19 09:20:52","2021-03-05 15:18:24",lost,"not answered",14.25
