leads_id,last_stage,no_of_stage,start_ts,stage2_ts,stage3_ts,stage4_ts,stage5_ts,stage6_ts,stage7_ts,stage8_ts,stage2_state,stage3_state,stage4_state,stage5_state,stage6_state,stage7_state,stage8_state,reason,last_ts,stage2_duration,stage3_duration,stage4_duration,stage5_duration,stage6_duration,stage7_duration,stage8_duration,last_state,cycle_duration
1011,102,2,"2021-09-03 17:19:57","2021-09-08 09:36:19",,,,,,,0,,,,,,,"not selected","2021-09-08 09:36:19",4.68,,,,,,,loss,4.68
1012,106,6,"2021-09-03 17:20:14","2021-09-10 09:25:28","2021-09-13 12:08:17","2021-09-14 14:51:11","2021-09-21 17:19:28","2021-09-22 16:09:22",,,1,1,1,1,0,,,"not answered","2021-09-22 16:09:22",6.67,3.11,1.11,7.1,0.95,,,loss,18.95
1013,108,8,"2021-09-03 17:26:26","2021-09-06 13:57:19","2021-09-08 12:52:45","2021-09-10 09:16:36","2021-09-17 09:16:32","2021-09-21 16:13:14","2021-09-29 13:40:24","2021-10-04 14:07:17",1,1,1,1,1,1,1,"","2021-10-04 14:07:17",2.85,1.96,1.85,7.0,4.29,7.89,5.02,won,30.86
1014,105,5,"2021-09-03 17:37:20","2021-09-10 12:10:45","2021-09-13 12:52:48","2021-09-14 14:22:24","2021-09-20 17:36:22",,,,1,1,1,0,,,,"not interested","2021-09-20 17:36:22",6.77,3.03,1.06,6.13,,,,loss,17.0
1015,108,8,"2021-09-03 17:54:23","2021-09-08 14:41:09","2021-09-10 12:37:41","2021-09-13 17:04:10","2021-09-20 14:05:17","2021-09-22 13:18:24","2021-09-27 17:18:51","2021-10-01 15:09:17",1,1,1,1,1,1,1,"","2021-10-01 15:09:17",4.87,1.91,3.19,6.88,1.97,5.17,3.91,won,27.89
1016,105,5,"2021-09-06 09:02:19","2021-09-10 09:22:20","2021-09-13 12:21:17","2021-09-14 15:06:19","2021-09-20 09:03:57",,,,1,1,1,0,,,,"not answered","2021-09-20 09:03:57",4.01,3.12,1.11,5.75,,,,loss,14.0
1017,105,5,"2021-09-06 09:10:47","2021-09-13 09:50:35","2021-09-16 11:07:35","2021-09-17 11:55:23","2021-09-23 14:54:16",,,,1,1,1,0,,,,"price not fit","2021-09-23 14:54:16",7.03,3.05,1.03,6.12,,,,loss,17.24
1018,102,2,"2021-09-06 10:01:06","2021-09-10 17:49:00",,,,,,,0,,,,,,,"not selected","2021-09-10 17:49:00",4.32,,,,,,,loss,4.32
1019,101,1,"2021-09-06 10:19:07",,,,,,,,,,,,,,,"","2021-09-06 10:19:07",,,,,,,,open,0.0
102,108,8,"2020-12-29 10:48:50","2021-01-01 15:34:51","2021-01-04 17:07:12","2021-01-07 12:55:12","2021-01-11 09:02:54","2021-01-12 13:27:08","2021-01-20 16:04:21","2021-01-27 16:59:24",1,1,1,1,1,1,1,"","2021-01-27 16:59:24",3.2,3.06,2.83,3.84,1.18,8.11,7.04,won,29.26
1020,106,6,"2021-09-06 12:18:01","2021-09-10 17:30:44","2021-09-13 10:50:09","2021-09-15 10:41:59","2021-09-20 17:07:10","2021-09-21 09:28:04",,,1,1,1,1,0,,,"not answered","2021-09-21 09:28:04",4.22,2.72,1.99,5.27,0.68,,,loss,14.88
1021,104,4,"2021-09-06 12:47:53","2021-09-10 17:50:53","2021-09-13 09:31:32","2021-09-15 17:54:18",,,,,1,1,0,,,,,"not answered","2021-09-15 17:54:18",4.21,2.65,2.35,,,,,loss,9.21
1022,101,1,"2021-09-06 14:57:13",,,,,,,,,,,,,,,"","2021-09-06 14:57:13",,,,,,,,open,0.0
1023,104,4,"2021-09-06 15:23:02","2021-09-10 09:08:19","2021-09-13 12:33:09","2021-09-14 13:14:54",,,,,1,1,0,,,,,"not answered","2021-09-14 13:14:54",3.74,3.14,1.03,,,,,loss,7.91
1024,108,8,"2021-09-06 16:30:06","2021-09-13 09:18:21","2021-09-14 14:32:32","2021-09-16 16:47:01","2021-09-22 10:09:26","2021-09-24 17:21:17","2021-10-01 17:57:20","2021-10-04 10:04:15",1,1,1,1,1,1,1,"","2021-10-04 10:04:15",6.7,1.22,2.09,5.72,2.3,7.03,2.67,won,27.73
1025,103,3,"2021-09-06 16:44:57","2021-09-10 17:49:18","2021-09-13 12:47:05",,,,,,1,0,,,,,,"not answered","2021-09-13 12:47:05",4.04,2.79,,,,,,loss,6.83
1026,105,5,"2021-09-06 16:48:01","2021-09-10 12:26:47","2021-09-13 14:14:53","2021-09-15 13:24:33","2021-09-20 12:02:14",,,,1,1,1,0,,,,"price not fit","2021-09-20 12:02:14",3.82,3.08,1.97,4.94,,,,loss,13.8
1027,106,6,"2021-09-07 09:14:18","2021-09-10 15:56:53","2021-09-13 17:32:13","2021-09-14 15:20:27","2021-09-21 12:09:11","2021-09-23 13:18:07",,,1,1,1,1,0,,,"not answered","2021-09-23 13:18:07",3.28,3.07,0.91,6.87,2.05,,,loss,16.17
1028,101,1,"2021-09-07 10:31:21",,,,,,,,,,,,,,,"","2021-09-07 10:31:21",,,,,,,,open,0.0
1029,107,7,"2021-09-07 10:33:54","2021-09-10 10:05:17","2021-09-13 10:22:50","2021-09-14 09:23:12","2021-09-21 15:51:34","2021-09-22 17:25:35","2021-09-27 10:33:12",,1,1,1,1,1,0,,"price not fit","2021-09-27 10:33:12",2.98,3.01,0.96,7.27,1.07,4.71,,loss,20.0
103,105,5,"2020-12-29 13:54:39","2021-01-04 09:18:48","2021-01-05 16:04:46","2021-01-06 11:21:52","2021-01-13 16:28:08",,,,1,1,1,0,,,,"price not fit","2021-01-13 16:28:08",5.81,1.28,0.8,7.21,,,,loss,15.11
1030,104,4,"2021-09-07 15:45:12","2021-09-13 13:15:28","2021-09-15 15:29:42","2021-09-17 13:17:31",,,,,1,1,0,,,,,"not interested","2021-09-17 13:17:31",5.9,2.09,1.91,,,,,loss,9.9
1031,104,4,"2021-09-07 16:38:08","2021-09-10 12:21:15","2021-09-13 15:40:04","2021-09-14 10:40:34",,,,,1,1,0,,,,,"not answered","2021-09-14 10:40:34",2.82,3.14,0.79,,,,,loss,6.75
1032,101,1,"2021-09-08 10:55:16",,,,,,,,,,,,,,,"","2021-09-08 10:55:16",,,,,,,,open,0.0
1033,103,3,"2021-09-08 13:29:06","2021-09-13 17:26:00","2021-09-16 10:04:13",,,,,,1,0,,,,,,"not answered","2021-09-16 10:04:13",5.16,2.69,,,,,,loss,7.86
1034,101,1,"2021-09-08 13:49:39",,,,,,,,,,,,,,,"","2021-09-08 13:49:39",,,,,,,,open,0.0
1035,108,8,"2021-09-08 14:58:17","2021-09-13 13:19:55","2021-09-14 09:44:27","2021-09-16 09:53:38","2021-09-23 10:20:26","2021-09-27 15:06:50","2021-10-01 11:31:24","2021-10-08 15:44:38",1,1,1,1,1,1,1,"","2021-10-08 15:44:38",4.93,0.85,2.01,7.02,4.2,3.85,7.18,won,30.03
1036,103,3,"2021-09-08 15:49:15","2021-09-13 17:46:03","2021-09-16 16:45:15",,,,,,1,0,,,,,,"not interested","2021-09-16 16:45:15",5.08,2.96,,,,,,loss,8.04
1037,108,8,"2021-09-08 17:00:05","2021-09-13 09:21:59","2021-09-15 10:05:01","2021-09-17 12:34:56","2021-09-23 13:08:53","2021-09-27 14:50:17","2021-10-04 13:07:25","2021-10-12 13:21:37",1,1,1,1,1,1,1,"","2021-10-12 13:21:37",4.68,2.03,2.1,6.02,4.07,6.93,8.01,won,33.85
1038,102,2,"2021-09-09 10:56:50","2021-09-13 17:52:37",,,,,,,0,,,,,,,"not selected","2021-09-13 17:52:37",4.29,,,,,,,loss,4.29
1039,108,8,"2021-09-09 12:55:01","2021-09-14 12:29:53","2021-09-15 11:24:22","2021-09-17 17:39:35","2021-09-24 17:44:16","2021-09-28 15:11:19","2021-10-07 15:48:47","2021-10-13 10:31:47",1,1,1,1,1,1,1,"","2021-10-13 10:31:47",4.98,0.95,2.26,7.0,3.89,9.03,5.78,won,33.9
104,101,1,"2020-12-29 14:47:52",,,,,,,,,,,,,,,"","2020-12-29 14:47:52",,,,,,,,open,0.0
1040,106,6,"2021-09-09 14:56:14","2021-09-14 11:11:26","2021-09-15 15:11:33","2021-09-16 11:07:39","2021-09-23 11:58:20","2021-09-24 17:24:19",,,1,1,1,1,0,,,"not interested","2021-09-24 17:24:19",4.84,1.17,0.83,7.04,1.23,,,loss,15.1
1041,108,8,"2021-09-09 17:40:28","2021-09-15 11:23:09","2021-09-16 09:43:53","2021-09-17 14:16:57","2021-09-22 15:33:16","2021-09-24 13:27:24","2021-09-30 15:32:49","2021-10-04 09:03:35",1,1,1,1,1,1,1,"","2021-10-04 09:03:35",5.74,0.93,1.19,5.05,1.91,6.09,3.73,won,24.64
1042,104,4,"2021-09-10 09:37:53","2021-09-13 10:18:22","2021-09-14 15:47:11","2021-09-16 16:49:00",,,,,1,1,0,,,,,"not answered","2021-09-16 16:49:00",3.03,1.23,2.04,,,,,loss,6.3
1043,106,6,"2021-09-10 09:43:03","2021-09-14 11:10:29","2021-09-15 17:49:17","2021-09-17 13:38:42","2021-09-21 13:51:19","2021-09-24 17:36:56",,,1,1,1,1,0,,,"price not fit","2021-09-24 17:36:56",4.06,1.28,1.83,4.01,3.16,,,loss,14.33
1044,105,5,"2021-09-10 12:00:01","2021-09-15 12:38:01","2021-09-17 09:30:08","2021-09-20 10:52:17","2021-09-27 14:52:00",,,,1,1,1,0,,,,"not answered","2021-09-27 14:52:00",5.03,1.87,3.06,7.17,,,,loss,17.12
1045,108,8,"2021-09-10 12:29:56","2021-09-17 10:33:51","2021-09-20 10:23:57","2021-09-22 11:55:20","2021-09-28 11:14:43","2021-10-01 09:32:33","2021-10-11 12:16:31","2021-10-18 11:09:06",1,1,1,1,1,1,1,"","2021-10-18 11:09:06",6.92,2.99,2.06,5.97,2.93,10.11,6.95,won,37.94
1046,101,1,"2021-09-10 16:52:51",,,,,,,,,,,,,,,"","2021-09-10 16:52:51",,,,,,,,open,0.0
1047,105,5,"2021-09-10 17:00:02","2021-09-13 09:03:12","2021-09-15 13:14:40","2021-09-17 15:52:38","2021-09-23 16:27:06",,,,1,1,1,0,,,,"not answered","2021-09-23 16:27:06",2.67,2.17,2.11,6.02,,,,loss,12.98
1048,105,5,"2021-09-13 15:31:24","2021-09-20 16:29:35","2021-09-22 17:05:14","2021-09-23 09:48:15","2021-09-28 12:09:19",,,,1,1,1,0,,,,"price not fit","2021-09-28 12:09:19",7.04,2.02,0.7,5.1,,,,loss,14.86
1049,108,8,"2021-09-13 16:17:55","2021-09-17 13:05:08","2021-09-20 14:30:51","2021-09-23 13:31:56","2021-10-01 10:17:36","2021-10-04 12:46:21","2021-10-08 14:23:00","2021-10-14 17:19:03",1,1,1,1,1,1,1,"","2021-10-14 17:19:03",3.87,3.06,2.96,7.87,3.1,4.07,6.12,won,31.04
105,101,1,"2020-12-29 15:20:10",,,,,,,,,,,,,,,"","2020-12-29 15:20:10",,,,,,,,open,0.0
1050,104,4,"2021-09-13 17:48:54","2021-09-17 17:47:59","2021-09-20 17:49:40","2021-09-22 14:14:56",,,,,1,1,0,,,,,"not answered","2021-09-22 14:14:56",4.0,3.0,1.85,,,,,loss,8.85
1051,104,4,"2021-09-14 09:27:52","2021-09-17 11:52:12","2021-09-20 17:18:37","2021-09-21 12:39:11",,,,,1,1,0,,,,,"already use other products","2021-09-21 12:39:11",3.1,3.23,0.81,,,,,loss,7.13
1052,108,8,"2021-09-14 12:42:48","2021-09-21 12:22:25","2021-09-24 09:55:46","2021-09-27 09:59:00","2021-10-04 10:38:18","2021-10-06 11:28:11","2021-10-14 11:39:21","2021-10-22 17:44:18",1,1,1,1,1,1,1,"","2021-10-22 17:44:18",6.99,2.9,3.0,7.03,2.03,8.01,8.25,won,38.21
1053,101,1,"2021-09-15 13:00:18",,,,,,,,,,,,,,,"","2021-09-15 13:00:18",,,,,,,,open,0.0
1054,101,1,"2021-09-15 14:34:26",,,,,,,,,,,,,,,"","2021-09-15 14:34:26",,,,,,,,open,0.0
1055,105,5,"2021-09-17 11:11:11","2021-09-20 17:57:29","2021-09-22 10:53:19","2021-09-24 09:56:22","2021-09-28 10:35:20",,,,1,1,1,0,,,,"price not fit","2021-09-28 10:35:20",3.28,1.71,1.96,4.03,,,,loss,10.98
1056,108,8,"2021-09-17 15:18:07","2021-09-21 14:18:55","2021-09-24 13:03:13","2021-09-27 12:03:55","2021-10-04 10:05:25","2021-10-06 10:42:42","2021-10-12 10:15:09","2021-10-20 12:11:26",1,1,1,1,1,1,1,"","2021-10-20 12:11:26",3.96,2.95,2.96,6.92,2.03,5.98,8.08,won,32.87
1057,107,7,"2021-09-17 16:52:22","2021-09-24 10:55:48","2021-09-27 10:14:57","2021-09-28 13:14:15","2021-10-04 13:20:00","2021-10-06 12:13:36","2021-10-15 16:57:28",,1,1,1,1,1,0,,"not answered","2021-10-15 16:57:28",6.75,2.97,1.12,6.0,1.95,9.2,,loss,28.0
1058,103,3,"2021-09-20 09:22:30","2021-09-24 09:07:55","2021-09-27 14:39:41",,,,,,1,0,,,,,,"not answered","2021-09-27 14:39:41",3.99,3.23,,,,,,loss,7.22
1059,102,2,"2021-09-20 09:48:32","2021-09-24 17:22:51",,,,,,,0,,,,,,,"not selected","2021-09-24 17:22:51",4.32,,,,,,,loss,4.32
106,104,4,"2020-12-29 16:04:04","2021-01-04 15:31:02","2021-01-05 12:29:37","2021-01-06 11:25:02",,,,,1,1,0,,,,,"already use other products","2021-01-06 11:25:02",5.98,0.87,0.96,,,,,loss,7.81
1060,104,4,"2021-09-20 10:24:00","2021-09-24 13:45:00","2021-09-27 16:17:13","2021-09-28 10:18:22",,,,,1,1,0,,,,,"not answered","2021-09-28 10:18:22",4.14,3.11,0.75,,,,,loss,8.0
1061,101,1,"2021-09-20 11:28:57",,,,,,,,,,,,,,,"","2021-09-20 11:28:57",,,,,,,,open,0.0
1062,106,6,"2021-09-20 14:51:32","2021-09-27 15:58:16","2021-09-28 09:47:45","2021-10-01 09:59:09","2021-10-08 09:08:55","2021-10-11 17:29:45",,,1,1,1,1,0,,,"not interested","2021-10-11 17:29:45",7.05,0.74,3.01,6.97,3.35,,,loss,21.11
1063,108,8,"2021-09-20 16:27:29","2021-09-27 16:36:12","2021-09-28 16:22:36","2021-10-01 14:38:56","2021-10-07 17:33:46","2021-10-11 09:13:42","2021-10-20 10:09:23","2021-10-26 16:04:37",1,1,1,1,1,1,1,"","2021-10-26 16:04:37",7.01,0.99,2.93,6.12,3.65,9.04,6.25,won,35.98
1064,103,3,"2021-09-21 09:52:36","2021-09-28 16:39:08","2021-10-01 17:28:54",,,,,,1,0,,,,,,"not answered","2021-10-01 17:28:54",7.28,3.03,,,,,,loss,10.32
1065,108,8,"2021-09-21 10:25:57","2021-09-27 13:51:00","2021-09-28 11:56:51","2021-09-29 17:48:07","2021-10-06 16:55:42","2021-10-07 17:27:34","2021-10-13 09:29:47","2021-10-18 12:22:57",1,1,1,1,1,1,1,"","2021-10-18 12:22:57",6.14,0.92,1.24,6.96,1.02,5.67,5.12,won,27.08
1066,101,1,"2021-09-21 13:28:12",,,,,,,,,,,,,,,"","2021-09-21 13:28:12",,,,,,,,open,0.0
1067,103,3,"2021-09-21 15:57:44","2021-09-27 17:53:15","2021-09-29 16:35:04",,,,,,1,0,,,,,,"not answered","2021-09-29 16:35:04",6.08,1.95,,,,,,loss,8.03
1068,102,2,"2021-09-21 16:19:09","2021-09-27 16:33:22",,,,,,,0,,,,,,,"not selected","2021-09-27 16:33:22",6.01,,,,,,,loss,6.01
1069,104,4,"2021-09-21 16:25:05","2021-09-24 10:22:33","2021-09-27 10:08:31","2021-09-28 17:22:53",,,,,1,1,0,,,,,"already use other products","2021-09-28 17:22:53",2.75,2.99,1.3,,,,,loss,7.04
107,102,2,"2020-12-29 16:56:39","2021-01-01 14:53:20",,,,,,,0,,,,,,,"not selected","2021-01-01 14:53:20",2.91,,,,,,,loss,2.91
1070,101,1,"2021-09-22 10:38:11",,,,,,,,,,,,,,,"","2021-09-22 10:38:11",,,,,,,,open,0.0
1071,105,5,"2021-09-22 11:25:04","2021-09-28 09:14:34","2021-10-01 12:20:16","2021-10-04 11:35:08","2021-10-11 11:32:30",,,,1,1,1,0,,,,"not answered","2021-10-11 11:32:30",5.91,3.13,2.97,7.0,,,,loss,19.01
1072,103,3,"2021-09-22 16:10:46","2021-09-27 16:24:17","2021-09-28 10:40:14",,,,,,1,0,,,,,,"not answered","2021-09-28 10:40:14",5.01,0.76,,,,,,loss,5.77
1073,105,5,"2021-09-23 09:24:41","2021-09-27 09:05:25","2021-09-29 16:27:49","2021-10-01 13:39:39","2021-10-11 12:57:14",,,,1,1,1,0,,,,"not interested","2021-10-11 12:57:14",3.99,2.31,1.88,9.97,,,,loss,18.15
1074,108,8,"2021-09-23 09:55:40","2021-09-28 09:35:59","2021-10-01 11:38:21","2021-10-04 13:03:55","2021-10-08 16:13:36","2021-10-12 15:02:02","2021-10-20 12:46:57","2021-10-29 16:43:23",1,1,1,1,1,1,1,"","2021-10-29 16:43:23",4.99,3.08,3.06,4.13,3.95,7.91,9.16,won,36.28
1075,104,4,"2021-09-23 13:52:23","2021-09-28 16:18:08","2021-09-30 12:22:27","2021-10-01 16:18:46",,,,,1,1,0,,,,,"not answered","2021-10-01 16:18:46",5.1,1.84,1.16,,,,,loss,8.1
1076,108,8,"2021-09-24 09:00:14","2021-10-01 13:17:21","2021-10-04 10:44:44","2021-10-05 11:20:39","2021-10-11 16:52:27","2021-10-13 14:36:38","2021-10-19 09:15:59","2021-10-27 17:46:58",1,1,1,1,1,1,1,"","2021-10-27 17:46:58",7.18,2.89,1.02,6.23,1.91,5.78,8.35,won,33.37
1077,103,3,"2021-09-24 09:05:11","2021-10-01 09:25:27","2021-10-04 16:48:56",,,,,,1,0,,,,,,"not answered","2021-10-04 16:48:56",7.01,3.31,,,,,,loss,10.32
1078,105,5,"2021-09-24 09:47:30","2021-09-27 17:03:30","2021-09-28 13:35:15","2021-09-29 17:48:04","2021-10-08 10:28:09",,,,1,1,1,0,,,,"not answered","2021-10-08 10:28:09",3.3,0.86,1.18,8.69,,,,loss,14.03
1079,108,8,"2021-09-24 10:17:53","2021-10-01 16:10:43","2021-10-04 17:05:08","2021-10-05 10:32:27","2021-10-12 17:52:52","2021-10-14 16:36:17","2021-10-21 10:56:20","2021-10-27 17:31:02",1,1,1,1,1,1,1,"","2021-10-27 17:31:02",7.25,3.04,0.73,7.31,1.95,6.76,6.27,won,33.3
108,104,4,"2020-12-29 17:26:23","2021-01-05 12:38:35","2021-01-06 17:47:46","2021-01-07 15:26:12",,,,,1,1,0,,,,,"not interested","2021-01-07 15:26:12",6.8,1.21,0.9,,,,,loss,8.92
1080,101,1,"2021-09-24 13:17:34",,,,,,,,,,,,,,,"","2021-09-24 13:17:34",,,,,,,,open,0.0
1081,102,2,"2021-09-24 16:41:24","2021-09-29 09:38:07",,,,,,,0,,,,,,,"not selected","2021-09-29 09:38:07",4.71,,,,,,,loss,4.71
1082,104,4,"2021-09-24 17:35:05","2021-10-01 13:16:43","2021-10-04 11:53:51","2021-10-05 17:29:29",,,,,1,1,0,,,,,"not answered","2021-10-05 17:29:29",6.82,2.94,1.23,,,,,loss,11.0
1083,108,8,"2021-09-24 17:40:54","2021-10-01 17:50:03","2021-10-04 09:16:04","2021-10-05 14:24:28","2021-10-11 09:47:42","2021-10-14 11:34:05","2021-10-20 13:04:20","2021-10-25 10:09:12",1,1,1,1,1,1,1,"","2021-10-25 10:09:12",7.01,2.64,1.21,5.81,3.07,6.06,4.88,won,30.69
1084,108,8,"2021-09-27 09:04:26","2021-10-01 14:57:02","2021-10-04 16:12:38","2021-10-06 11:32:48","2021-10-11 14:11:44","2021-10-13 12:00:35","2021-10-21 15:00:56","2021-10-29 16:46:11",1,1,1,1,1,1,1,"","2021-10-29 16:46:11",4.24,3.05,1.81,5.11,1.91,8.13,8.07,won,32.32
1085,104,4,"2021-09-27 09:05:57","2021-10-01 13:23:23","2021-10-04 13:48:48","2021-10-05 09:15:15",,,,,1,1,0,,,,,"already use other products","2021-10-05 09:15:15",4.18,3.02,0.81,,,,,loss,8.01
1086,107,7,"2021-09-27 09:15:29","2021-10-01 17:27:12","2021-10-04 09:24:59","2021-10-06 17:37:58","2021-10-11 14:07:11","2021-10-13 09:25:51","2021-10-20 16:29:43",,1,1,1,1,1,0,,"not answered","2021-10-20 16:29:43",4.34,2.67,2.34,4.85,1.8,7.29,,loss,23.3
1087,104,4,"2021-09-27 09:58:44","2021-10-04 17:39:49","2021-10-05 10:16:57","2021-10-06 12:44:07",,,,,1,1,0,,,,,"not answered","2021-10-06 12:44:07",7.32,0.69,1.1,,,,,loss,9.11
1088,106,6,"2021-09-27 10:34:49","2021-10-01 16:13:55","2021-10-04 17:50:32","2021-10-05 13:25:19","2021-10-11 13:35:21","2021-10-12 16:48:41",,,1,1,1,1,0,,,"not answered","2021-10-12 16:48:41",4.24,3.07,0.82,6.01,1.13,,,loss,15.26
1089,108,8,"2021-09-27 14:14:23","2021-10-04 16:26:39","2021-10-07 17:32:43","2021-10-08 13:36:07","2021-10-15 17:42:51","2021-10-18 12:57:25","2021-10-25 15:40:30","2021-10-29 09:58:46",1,1,1,1,1,1,1,"","2021-10-29 09:58:46",7.09,3.05,0.84,7.17,2.8,7.11,3.76,won,31.82
109,101,1,"2020-12-30 09:10:00",,,,,,,,,,,,,,,"","2020-12-30 09:10:00",,,,,,,,open,0.0
1090,105,5,"2021-09-27 16:40:04","2021-10-01 09:35:53","2021-10-04 14:56:11","2021-10-07 11:34:12","2021-10-11 09:11:03",,,,1,1,1,0,,,,"not interested","2021-10-11 09:11:03",3.71,3.22,2.86,3.9,,,,loss,13.69
1091,105,5,"2021-09-27 17:16:30","2021-10-04 12:04:48","2021-10-06 15:25:45","2021-10-07 13:18:14","2021-10-12 09:04:50",,,,1,1,1,0,,,,"not answered","2021-10-12 09:04:50",6.78,2.14,0.91,4.82,,,,loss,14.66
1092,101,1,"2021-09-28 09:12:25",,,,,,,,,,,,,,,"","2021-09-28 09:12:25",,,,,,,,open,0.0
1093,101,1,"2021-09-28 11:09:50",,,,,,,,,,,,,,,"","2021-09-28 11:09:50",,,,,,,,open,0.0
1094,103,3,"2021-09-28 11:23:15","2021-10-04 09:49:52","2021-10-05 10:51:47",,,,,,1,0,,,,,,"not interested","2021-10-05 10:51:47",5.94,1.04,,,,,,loss,6.98
1095,102,2,"2021-09-28 12:37:03","2021-10-01 17:30:30",,,,,,,0,,,,,,,"not selected","2021-10-01 17:30:30",3.2,,,,,,,loss,3.2
1096,108,8,"2021-09-28 13:43:15","2021-10-01 15:22:29","2021-10-04 10:39:09","2021-10-05 11:14:55","2021-10-11 10:33:47","2021-10-12 12:51:03","2021-10-18 10:01:58","2021-10-26 17:51:53",1,1,1,1,1,1,1,"","2021-10-26 17:51:53",3.07,2.8,1.02,5.97,1.1,5.88,8.33,won,28.17
1097,101,1,"2021-09-28 13:56:29",,,,,,,,,,,,,,,"","2021-09-28 13:56:29",,,,,,,,open,0.0
