leads_id,no_of_page,first_page,last_page,first_ts,last_ts,session_duration,no_form_page,no_info_page,cta
37,2,/portofolio,/form/set-a-meeting,"2020-12-07 12:23:04","2020-12-07 12:23:52",48.0,1,1,set-a-meeting
38,2,/portofolio,/form/brochure,"2020-12-07 14:22:25","2020-12-07 14:23:06",41.0,1,1,brochure
39,3,/testimonials,/form/demo,"2020-12-07 16:29:53","2020-12-07 16:30:55",62.0,2,1,demo
40,4,/studycase,/form/brochure,"2020-12-07 16:36:56","2020-12-07 16:38:26",90.0,1,3,brochure
41,4,/features,/form/demo,"2020-12-08 09:54:08","2020-12-08 09:55:29",81.0,2,2,demo
42,6,/studycase,/form/set-a-meeting,"2020-12-08 10:49:40","2020-12-08 10:51:52",132.0,3,3,set-a-meeting
43,2,/features,/form/brochure,"2020-12-08 12:06:42","2020-12-08 12:07:28",46.0,1,1,brochure
44,3,/testimonials,/form/brochure,"2020-12-08 16:04:05","2020-12-08 16:05:10",65.0,1,2,brochure
45,4,/portofolio,/form/demo,"2020-12-08 16:06:23","2020-12-08 16:07:52",89.0,2,2,demo
46,5,/features,/form/demo,"2020-12-08 16:49:26","2020-12-08 16:51:19",113.0,1,4,demo
47,4,/portofolio,/form/demo,"2020-12-08 17:30:15","2020-12-08 17:31:32",77.0,2,2,demo
48,5,/portofolio,/form/demo,"2020-12-09 10:20:32","2020-12-09 10:22:14",102.0,2,3,demo
49,2,/features,/form/demo,"2020-12-09 11:23:51","2020-12-09 11:24:31",40.0,1,1,demo
50,2,/testimonials,/form/set-a-meeting,"2020-12-09 12:44:48","2020-12-09 12:45:38",50.0,1,1,set-a-meeting
51,2,/features,/form/demo,"2020-12-09 13:23:11","2020-12-09 13:23:52",41.0,1,1,demo
52,6,/portofolio,/form/set-a-meeting,"2020-12-10 10:45:31","2020-12-10 10:47:35",124.0,3,3,set-a-meeting
53,3,/features,/form/demo,"2020-12-10 11:53:30","2020-12-10 11:54:31",61.0,2,1,demo
54,4,/home,/form/set-a-meeting,"2020-12-10 14:52:03","2020-12-10 14:53:21",78.0,2,1,set-a-meeting
55,4,/portofolio,/form/set-a-meeting,"2020-12-10 16:18:44","2020-12-10 16:20:27",103.0,1,3,set-a-meeting
56,4,/portofolio,/form/demo,"2020-12-10 17:14:09","2020-12-10 17:15:45",96.0,1,3,demo
57,5,/home,/form/demo,"2020-12-11 09:08:00","2020-12-11 09:09:38",98.0,2,2,demo
58,2,/testimonials,/form/brochure,"2020-12-11 09:40:24","2020-12-11 09:41:08",44.0,1,1,brochure
59,3,/portofolio,/form/demo,"2020-12-11 10:25:54","2020-12-11 10:27:05",71.0,1,2,demo
60,5,/portofolio,/form/set-a-meeting,"2020-12-11 10:48:46","2020-12-11 10:50:30",104.0,2,2,set-a-meeting
61,2,/features,/form/brochure,"2020-12-11 11:22:30","2020-12-11 11:23:19",49.0,1,1,brochure
62,4,/portofolio,/form/demo,"2020-12-11 13:25:26","2020-12-11 13:27:08",102.0,1,3,demo
63,3,/portofolio,/form/demo,"2020-12-11 13:45:00","2020-12-11 13:46:12",72.0,1,2,demo
64,3,/testimonials,/form/brochure,"2020-12-11 16:29:32","2020-12-11 16:30:40",68.0,1,2,brochure
65,3,/features,/form/brochure,"2020-12-11 16:38:40","2020-12-11 16:39:49",69.0,2,1,brochure
66,4,/features,/form/demo,"2020-12-11 17:56:27","2020-12-11 17:57:55",88.0,1,3,demo
67,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-14 09:50:35","2020-12-14 09:50:35",0.0,1,0,set-a-meeting
68,4,/home,/form/set-a-meeting,"2020-12-14 15:56:34","2020-12-14 15:57:59",85.0,2,1,set-a-meeting
69,2,/home,/form/set-a-meeting,"2020-12-15 12:03:35","2020-12-15 12:04:10",35.0,1,0,set-a-meeting
70,3,/testimonials,/form/demo,"2020-12-15 15:12:37","2020-12-15 15:13:45",68.0,1,2,demo
71,3,/studycase,/form/demo,"2020-12-16 09:45:40","2020-12-16 09:46:50",70.0,1,2,demo
72,6,/features,/form/brochure,"2020-12-16 15:16:32","2020-12-16 15:18:37",125.0,1,3,brochure
73,3,/studycase,/form/brochure,"2020-12-16 17:38:08","2020-12-16 17:39:18",70.0,1,2,brochure
74,6,/home,/form/demo,"2020-12-17 14:50:35","2020-12-17 14:52:55",140.0,1,4,demo
75,3,/home,/form/brochure,"2020-12-17 15:08:06","2020-12-17 15:08:59",53.0,2,0,brochure
76,2,/features,/form/brochure,"2020-12-17 17:00:47","2020-12-17 17:01:35",48.0,1,1,brochure
77,2,/studycase,/form/set-a-meeting,"2020-12-18 11:03:30","2020-12-18 11:04:18",48.0,1,1,set-a-meeting
78,3,/home,/form/brochure,"2020-12-18 16:16:06","2020-12-18 16:17:01",55.0,1,1,brochure
79,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-21 09:22:39","2020-12-21 09:22:39",0.0,1,0,set-a-meeting
80,2,/home,/form/set-a-meeting,"2020-12-21 10:28:45","2020-12-21 10:29:21",36.0,1,0,set-a-meeting
81,3,/home,/form/brochure,"2020-12-21 12:04:54","2020-12-21 12:05:42",48.0,2,0,brochure
82,4,/features,/form/brochure,"2020-12-21 12:26:55","2020-12-21 12:28:31",96.0,2,2,brochure
83,4,/portofolio,/form/set-a-meeting,"2020-12-22 10:25:47","2020-12-22 10:27:01",74.0,3,1,set-a-meeting
84,2,/testimonials,/form/set-a-meeting,"2020-12-22 10:56:21","2020-12-22 10:57:02",41.0,1,1,set-a-meeting
85,3,/features,/form/brochure,"2020-12-22 14:15:54","2020-12-22 14:17:00",66.0,1,2,brochure
86,2,/features,/form/set-a-meeting,"2020-12-22 15:59:19","2020-12-22 15:59:59",40.0,1,1,set-a-meeting
87,4,/home,/form/brochure,"2020-12-23 11:58:44","2020-12-23 11:59:55",71.0,2,1,brochure
88,4,/portofolio,/form/demo,"2020-12-23 14:48:45","2020-12-23 14:50:22",97.0,1,3,demo
89,2,/home,/form/brochure,"2020-12-23 15:17:39","2020-12-23 15:18:10",31.0,1,0,brochure
90,5,/studycase,/form/demo,"2020-12-23 15:41:06","2020-12-23 15:42:46",100.0,2,2,demo
91,6,/features,/form/set-a-meeting,"2020-12-23 16:22:33","2020-12-23 16:24:32",119.0,3,3,set-a-meeting
92,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-24 09:44:23","2020-12-24 09:44:23",0.0,1,0,set-a-meeting
93,1,/form/brochure,/form/brochure,"2020-12-24 11:41:59","2020-12-24 11:41:59",0.0,1,0,brochure
94,3,/features,/form/demo,"2020-12-24 11:54:00","2020-12-24 11:55:10",70.0,1,2,demo
95,4,/studycase,/form/demo,"2020-12-24 14:23:42","2020-12-24 14:25:20",98.0,1,3,demo
96,4,/studycase,/form/brochure,"2020-12-24 17:18:07","2020-12-24 17:19:51",104.0,1,3,brochure
97,1,/form/demo,/form/demo,"2020-12-28 09:53:18","2020-12-28 09:53:18",0.0,1,0,demo
98,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-28 10:23:53","2020-12-28 10:23:53",0.0,1,0,set-a-meeting
99,1,/form/brochure,/form/brochure,"2020-12-28 10:27:50","2020-12-28 10:27:50",0.0,1,0,brochure
100,2,/portofolio,/form/set-a-meeting,"2020-12-28 12:58:22","2020-12-28 12:59:03",41.0,1,1,set-a-meeting
101,6,/home,/form/demo,"2020-12-28 15:39:55","2020-12-28 15:41:47",112.0,3,2,demo
102,5,/home,/form/demo,"2020-12-29 10:45:37","2020-12-29 10:47:25",108.0,1,3,demo
103,6,/testimonials,/form/brochure,"2020-12-29 13:51:20","2020-12-29 13:53:22",122.0,3,3,brochure
104,5,/portofolio,/form/demo,"2020-12-29 14:44:54","2020-12-29 14:46:44",110.0,2,3,demo
105,4,/home,/form/demo,"2020-12-29 15:18:09","2020-12-29 15:19:13",64.0,2,1,demo
106,2,/home,/form/brochure,"2020-12-29 16:02:33","2020-12-29 16:03:09",36.0,1,0,brochure
107,4,/portofolio,/form/set-a-meeting,"2020-12-29 16:54:20","2020-12-29 16:55:41",81.0,2,2,set-a-meeting
108,6,/home,/form/set-a-meeting,"2020-12-29 17:23:19","2020-12-29 17:25:30",131.0,2,3,set-a-meeting
109,4,/features,/form/brochure,"2020-12-30 09:07:37","2020-12-30 09:08:56",79.0,3,1,brochure
110,6,/portofolio,/form/set-a-meeting,"2020-12-30 09:59:16","2020-12-30 10:01:24",128.0,2,4,set-a-meeting
111,5,/studycase,/form/demo,"2020-12-30 10:28:55","2020-12-30 10:30:32",97.0,2,3,demo
112,4,/testimonials,/form/brochure,"2020-12-30 10:46:06","2020-12-30 10:47:44",98.0,1,3,brochure
113,6,/studycase,/form/set-a-meeting,"2020-12-30 11:06:14","2020-12-30 11:08:43",149.0,1,5,set-a-meeting
114,2,/features,/form/demo,"2020-12-30 14:53:27","2020-12-30 14:54:10",43.0,1,1,demo
115,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-30 15:16:13","2020-12-30 15:16:13",0.0,1,0,set-a-meeting
116,5,/home,/form/set-a-meeting,"2020-12-30 15:28:18","2020-12-30 15:30:01",103.0,2,2,set-a-meeting
117,4,/home,/form/brochure,"2020-12-31 10:40:25","2020-12-31 10:41:37",72.0,2,1,brochure
118,4,/home,/form/brochure,"2020-12-31 11:00:00","2020-12-31 11:01:17",77.0,1,2,brochure
119,3,/studycase,/form/brochure,"2020-12-31 15:49:08","2020-12-31 15:50:21",73.0,1,2,brochure
120,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-31 16:01:59","2020-12-31 16:01:59",0.0,1,0,set-a-meeting
121,5,/home,/form/set-a-meeting,"2020-12-31 17:32:17","2020-12-31 17:33:47",90.0,2,2,set-a-meeting
122,5,/home,/form/demo,"2021-01-01 09:23:43","2021-01-01 09:25:32",109.0,1,3,demo
123,3,/studycase,/form/brochure,"2021-01-01 10:28:57","2021-01-01 10:30:04",67.0,2,1,brochure
124,3,/features,/form/brochure,"2021-01-01 10:34:18","2021-01-01 10:35:28",70.0,1,2,brochure
125,2,/features,/form/set-a-meeting,"2021-01-01 10:36:39","2021-01-01 10:37:28",49.0,1,1,set-a-meeting
126,5,/features,/form/demo,"2021-01-01 10:57:11","2021-01-01 10:58:54",103.0,3,2,demo
127,3,/home,/form/brochure,"2021-01-01 12:57:13","2021-01-01 12:58:07",54.0,1,1,brochure
128,2,/features,/form/brochure,"2021-01-01 14:24:30","2021-01-01 14:25:10",40.0,1,1,brochure
129,1,/form/set-a-meeting,/form/set-a-meeting,"2021-01-01 14:35:28","2021-01-01 14:35:28",0.0,1,0,set-a-meeting
130,4,/testimonials,/form/brochure,"2021-01-01 15:26:14","2021-01-01 15:27:55",101.0,1,3,brochure
131,4,/features,/form/brochure,"2021-01-01 16:32:02","2021-01-01 16:33:28",86.0,2,2,brochure
132,4,/studycase,/form/demo,"2021-01-01 17:47:38","2021-01-01 17:49:03",85.0,2,2,demo
133,4,/testimonials,/form/demo,"2021-01-04 10:56:36","2021-01-04 10:58:05",89.0,2,2,demo
134,5,/portofolio,/form/set-a-meeting,"2021-01-04 11:38:10","2021-01-04 11:40:01",111.0,2,3,set-a-meeting
135,6,/portofolio,/form/set-a-meeting,"2021-01-04 11:56:25","2021-01-04 11:58:53",148.0,1,5,set-a-meeting
136,2,/features,/form/brochure,"2021-01-04 13:46:32","2021-01-04 13:47:17",45.0,1,1,brochure
137,4,/features,/form/brochure,"2021-01-04 14:02:32","2021-01-04 14:04:11",99.0,1,3,brochure
138,6,/portofolio,/form/set-a-meeting,"2021-01-04 14:22:14","2021-01-04 14:24:20",126.0,2,4,set-a-meeting
139,4,/home,/form/demo,"2021-01-04 14:45:58","2021-01-04 14:47:10",72.0,3,0,demo
140,3,/features,/form/demo,"2021-01-04 15:17:45","2021-01-04 15:18:51",66.0,1,2,demo
141,3,/portofolio,/form/brochure,"2021-01-04 15:20:50","2021-01-04 15:22:02",72.0,1,2,brochure
142,4,/home,/form/brochure,"2021-01-04 15:38:00","2021-01-04 15:39:28",88.0,1,2,brochure
143,4,/features,/form/set-a-meeting,"2021-01-04 15:38:27","2021-01-04 15:40:00",93.0,2,2,set-a-meeting
144,6,/features,/form/brochure,"2021-01-04 16:53:50","2021-01-04 16:56:08",138.0,2,4,brochure
145,4,/features,/form/brochure,"2021-01-05 10:07:50","2021-01-05 10:09:21",91.0,2,2,brochure
146,1,/form/brochure,/form/brochure,"2021-01-05 10:42:10","2021-01-05 10:42:10",0.0,1,0,brochure
147,2,/features,/form/brochure,"2021-01-05 15:36:44","2021-01-05 15:37:31",47.0,1,1,brochure
148,3,/home,/form/demo,"2021-01-05 16:35:23","2021-01-05 16:36:15",52.0,2,0,demo
149,2,/studycase,/form/set-a-meeting,"2021-01-05 16:44:40","2021-01-05 16:45:25",45.0,1,1,set-a-meeting
150,3,/studycase,/form/set-a-meeting,"2021-01-05 17:17:53","2021-01-05 17:19:07",74.0,1,2,set-a-meeting
151,3,/home,/form/demo,"2021-01-05 17:32:43","2021-01-05 17:33:46",63.0,1,1,demo
152,6,/portofolio,/form/set-a-meeting,"2021-01-05 17:42:00","2021-01-05 17:44:27",147.0,1,5,set-a-meeting
153,4,/features,/form/set-a-meeting,"2021-01-05 17:44:30","2021-01-05 17:46:02",92.0,1,3,set-a-meeting
154,2,/features,/form/demo,"2021-01-06 09:00:44","2021-01-06 09:01:24",40.0,1,1,demo
155,6,/home,/form/demo,"2021-01-06 10:59:52","2021-01-06 11:02:03",131.0,1,4,demo
156,4,/testimonials,/form/brochure,"2021-01-06 12:16:49","2021-01-06 12:18:18",89.0,1,3,brochure
157,5,/features,/form/demo,"2021-01-06 12:24:08","2021-01-06 12:26:12",124.0,2,3,demo
158,3,/home,/form/brochure,"2021-01-06 13:27:34","2021-01-06 13:28:38",64.0,1,1,brochure
159,4,/home,/form/demo,"2021-01-06 13:56:10","2021-01-06 13:57:42",92.0,1,2,demo
160,3,/features,/form/brochure,"2021-01-06 14:23:52","2021-01-06 14:24:52",60.0,2,1,brochure
161,5,/studycase,/form/brochure,"2021-01-06 15:34:33","2021-01-06 15:36:34",121.0,1,4,brochure
162,4,/portofolio,/form/demo,"2021-01-06 17:40:18","2021-01-06 17:41:33",75.0,2,2,demo
163,3,/features,/form/demo,"2021-01-07 09:37:49","2021-01-07 09:38:53",64.0,1,2,demo
164,3,/home,/form/brochure,"2021-01-07 10:37:05","2021-01-07 10:38:10",65.0,1,1,brochure
165,4,/home,/form/brochure,"2021-01-07 10:43:39","2021-01-07 10:44:59",80.0,2,1,brochure
166,3,/features,/form/demo,"2021-01-07 11:15:50","2021-01-07 11:17:01",71.0,1,2,demo
167,3,/features,/form/demo,"2021-01-07 11:16:49","2021-01-07 11:18:02",73.0,1,2,demo
168,2,/home,/form/demo,"2021-01-07 14:30:32","2021-01-07 14:31:07",35.0,1,0,demo
169,2,/features,/form/demo,"2021-01-07 15:19:08","2021-01-07 15:19:52",44.0,1,1,demo
170,4,/home,/form/set-a-meeting,"2021-01-07 17:08:18","2021-01-07 17:09:43",85.0,2,1,set-a-meeting
171,3,/features,/form/brochure,"2021-01-07 17:15:59","2021-01-07 17:17:13",74.0,1,2,brochure
172,4,/home,/form/demo,"2021-01-08 09:07:43","2021-01-08 09:09:10",87.0,1,2,demo
173,4,/portofolio,/form/brochure,"2021-01-08 09:52:00","2021-01-08 09:53:33",93.0,1,3,brochure
174,4,/home,/form/brochure,"2021-01-08 11:26:57","2021-01-08 11:28:10",73.0,2,1,brochure
175,2,/studycase,/form/set-a-meeting,"2021-01-08 12:33:55","2021-01-08 12:34:43",48.0,1,1,set-a-meeting
176,4,/home,/form/demo,"2021-01-08 13:18:28","2021-01-08 13:19:54",86.0,1,2,demo
177,4,/studycase,/form/set-a-meeting,"2021-01-08 16:26:31","2021-01-08 16:28:01",90.0,2,2,set-a-meeting
178,3,/home,/form/demo,"2021-01-08 16:28:12","2021-01-08 16:29:19",67.0,1,1,demo
179,4,/features,/form/brochure,"2021-01-08 16:59:49","2021-01-08 17:01:19",90.0,1,3,brochure
180,3,/studycase,/form/demo,"2021-01-11 10:47:34","2021-01-11 10:48:42",68.0,1,2,demo
181,2,/home,/form/brochure,"2021-01-12 11:05:42","2021-01-12 11:06:15",33.0,1,0,brochure
182,5,/portofolio,/form/demo,"2021-01-12 14:52:27","2021-01-12 14:54:20",113.0,1,3,demo
183,3,/features,/form/demo,"2021-01-13 14:46:14","2021-01-13 14:47:29",75.0,1,2,demo
184,3,/home,/form/brochure,"2021-01-13 15:56:54","2021-01-13 15:57:47",53.0,2,0,brochure
185,2,/features,/form/brochure,"2021-01-13 16:33:17","2021-01-13 16:34:04",47.0,1,1,brochure
186,2,/studycase,/form/demo,"2021-01-13 16:44:32","2021-01-13 16:45:12",40.0,1,1,demo
187,4,/portofolio,/form/demo,"2021-01-14 12:29:47","2021-01-14 12:30:59",72.0,3,1,demo
188,3,/home,/form/brochure,"2021-01-14 14:18:59","2021-01-14 14:20:01",62.0,1,1,brochure
189,4,/home,/form/set-a-meeting,"2021-01-15 09:30:43","2021-01-15 09:32:06",83.0,1,2,set-a-meeting
190,4,/features,/form/brochure,"2021-01-15 12:29:06","2021-01-15 12:30:34",88.0,2,2,brochure
191,1,/form/brochure,/form/brochure,"2021-01-15 14:10:34","2021-01-15 14:10:34",0.0,1,0,brochure
192,3,/home,/form/brochure,"2021-01-18 10:27:57","2021-01-18 10:28:47",50.0,2,0,brochure
193,5,/studycase,/form/demo,"2021-01-18 16:14:48","2021-01-18 16:16:33",105.0,2,3,demo
194,6,/portofolio,/form/demo,"2021-01-19 09:01:23","2021-01-19 09:03:40",137.0,1,5,demo
195,4,/features,/form/brochure,"2021-01-19 17:39:35","2021-01-19 17:40:52",77.0,2,2,brochure
196,4,/home,/form/brochure,"2021-01-20 12:39:20","2021-01-20 12:40:49",89.0,1,2,brochure
197,5,/portofolio,/form/demo,"2021-01-22 09:01:02","2021-01-22 09:02:44",102.0,2,3,demo
198,4,/testimonials,/form/demo,"2021-01-22 09:46:46","2021-01-22 09:48:26",100.0,1,3,demo
199,5,/features,/form/brochure,"2021-01-22 11:16:37","2021-01-22 11:18:36",119.0,1,4,brochure
200,4,/testimonials,/form/brochure,"2021-01-22 16:48:54","2021-01-22 16:50:17",83.0,2,2,brochure
201,1,/form/set-a-meeting,/form/set-a-meeting,"2021-01-22 16:53:45","2021-01-22 16:53:45",0.0,1,0,set-a-meeting
202,4,/testimonials,/form/demo,"2021-01-25 09:08:05","2021-01-25 09:09:38",93.0,2,2,demo
203,5,/portofolio,/form/demo,"2021-01-25 09:31:48","2021-01-25 09:33:48",120.0,2,3,demo
204,1,/form/brochure,/form/brochure,"2021-01-25 10:47:04","2021-01-25 10:47:04",0.0,1,0,brochure
205,4,/portofolio,/form/set-a-meeting,"2021-01-25 12:39:16","2021-01-25 12:40:32",76.0,2,2,set-a-meeting
206,3,/home,/form/brochure,"2021-01-25 17:10:31","2021-01-25 17:11:37",66.0,1,1,brochure
207,6,/home,/form/demo,"2021-01-25 17:25:06","2021-01-25 17:27:21",135.0,2,3,demo
208,5,/studycase,/form/set-a-meeting,"2021-01-25 17:30:23","2021-01-25 17:32:12",109.0,2,3,set-a-meeting
209,3,/portofolio,/form/brochure,"2021-01-25 17:35:35","2021-01-25 17:36:50",75.0,1,2,brochure
210,2,/testimonials,/form/set-a-meeting,"2021-01-26 09:04:03","2021-01-26 09:04:46",43.0,1,1,set-a-meeting
211,4,/studycase,/form/demo,"2021-01-26 09:32:26","2021-01-26 09:34:03",97.0,1,3,demo
212,4,/testimonials,/form/demo,"2021-01-26 10:23:21","2021-01-26 10:24:53",92.0,1,3,demo
213,4,/features,/form/brochure,"2021-01-26 10:25:57","2021-01-26 10:27:30",93.0,1,3,brochure
214,4,/features,/form/set-a-meeting,"2021-01-27 10:04:30","2021-01-27 10:05:56",86.0,2,2,set-a-meeting
215,1,/form/brochure,/form/brochure,"2021-01-27 10:56:55","2021-01-27 10:56:55",0.0,1,0,brochure
216,2,/testimonials,/form/brochure,"2021-01-28 12:20:35","2021-01-28 12:21:17",42.0,1,1,brochure
217,4,/features,/form/brochure,"2021-01-28 13:10:05","2021-01-28 13:11:39",94.0,1,3,brochure
218,2,/features,/form/brochure,"2021-01-28 16:39:24","2021-01-28 16:40:04",40.0,1,1,brochure
219,5,/portofolio,/form/demo,"2021-01-28 17:52:00","2021-01-28 17:53:54",114.0,2,3,demo
220,4,/features,/form/brochure,"2021-01-29 08:58:19","2021-01-29 08:59:36",77.0,2,2,brochure
221,3,/home,/form/brochure,"2021-01-29 09:16:23","2021-01-29 09:17:14",51.0,2,0,brochure
222,2,/studycase,/form/demo,"2021-01-29 10:23:09","2021-01-29 10:23:58",49.0,1,1,demo
223,4,/home,/form/demo,"2021-01-29 10:38:15","2021-01-29 10:39:33",78.0,1,2,demo
224,3,/home,/form/demo,"2021-01-29 12:51:46","2021-01-29 12:52:50",64.0,1,1,demo
225,4,/features,/form/demo,"2021-01-29 13:01:45","2021-01-29 13:03:15",90.0,1,3,demo
226,1,/form/set-a-meeting,/form/set-a-meeting,"2021-01-29 13:30:31","2021-01-29 13:30:31",0.0,1,0,set-a-meeting
227,5,/portofolio,/form/demo,"2021-01-29 13:40:37","2021-01-29 13:42:27",110.0,2,3,demo
228,4,/features,/form/demo,"2021-01-29 14:26:38","2021-01-29 14:28:09",91.0,1,3,demo
229,4,/studycase,/form/set-a-meeting,"2021-01-29 16:36:55","2021-01-29 16:38:31",96.0,1,3,set-a-meeting
230,1,/form/brochure,/form/brochure,"2021-02-01 10:43:07","2021-02-01 10:43:07",0.0,1,0,brochure
231,3,/features,/form/brochure,"2021-02-01 11:47:17","2021-02-01 11:48:25",68.0,1,2,brochure
232,4,/home,/form/set-a-meeting,"2021-02-01 11:47:59","2021-02-01 11:49:24",85.0,1,2,set-a-meeting
233,2,/testimonials,/form/brochure,"2021-02-01 16:01:24","2021-02-01 16:02:04",40.0,1,1,brochure
234,4,/home,/form/brochure,"2021-02-01 16:59:09","2021-02-01 17:00:40",91.0,1,2,brochure
235,6,/portofolio,/form/demo,"2021-02-01 17:47:31","2021-02-01 17:49:36",125.0,3,2,demo
236,4,/studycase,/form/brochure,"2021-02-02 09:52:20","2021-02-02 09:53:58",98.0,1,3,brochure
237,2,/home,/form/brochure,"2021-02-02 10:38:52","2021-02-02 10:39:29",37.0,1,0,brochure
238,4,/home,/form/brochure,"2021-02-02 13:49:54","2021-02-02 13:51:28",94.0,1,2,brochure
239,2,/studycase,/form/brochure,"2021-02-02 15:30:53","2021-02-02 15:31:43",50.0,1,1,brochure
240,2,/portofolio,/form/demo,"2021-02-02 16:48:31","2021-02-02 16:49:11",40.0,1,1,demo
241,3,/testimonials,/form/demo,"2021-02-02 17:34:13","2021-02-02 17:35:23",70.0,1,2,demo
242,3,/studycase,/form/demo,"2021-02-03 11:28:46","2021-02-03 11:29:49",63.0,2,1,demo
243,6,/portofolio,/form/brochure,"2021-02-03 11:43:42","2021-02-03 11:45:48",126.0,2,4,brochure
244,3,/portofolio,/form/demo,"2021-02-03 14:34:33","2021-02-03 14:35:42",69.0,1,2,demo
245,4,/home,/form/set-a-meeting,"2021-02-03 16:15:32","2021-02-03 16:16:54",82.0,1,2,set-a-meeting
246,3,/testimonials,/form/set-a-meeting,"2021-02-03 16:34:28","2021-02-03 16:35:39",71.0,1,2,set-a-meeting
247,4,/portofolio,/form/demo,"2021-02-03 16:56:30","2021-02-03 16:58:07",97.0,1,3,demo
248,4,/features,/form/demo,"2021-02-04 09:05:35","2021-02-04 09:07:15",100.0,1,3,demo
