leads_id,step_id,starting_ts,start_of_week,ending_ts,end_of_week
6,3,2020-12-07,2020-12-07,2020-12-10,2020-12-13
6,3,2020-12-07,2020-12-14,2020-12-10,2020-12-20
6,4,2020-12-10,2020-12-07,2020-12-18,2020-12-13
6,4,2020-12-10,2020-12-14,2020-12-18,2020-12-20
6,4,2020-12-10,2020-12-21,2020-12-18,2020-12-27
6,5,2020-12-18,2020-12-14,2020-12-22,2020-12-20
6,5,2020-12-18,2020-12-21,2020-12-22,2020-12-27
6,5,2020-12-18,2020-12-28,2020-12-22,2021-01-03
6,6,2020-12-22,2020-12-21,2020-12-31,2020-12-27
6,6,2020-12-22,2020-12-28,2020-12-31,2021-01-03
6,6,2020-12-22,2021-01-04,2020-12-31,2021-01-10
6,7,2020-12-31,2020-12-28,2021-01-05,2021-01-03
6,7,2020-12-31,2021-01-04,2021-01-05,2021-01-10
6,7,2020-12-31,2021-01-11,2021-01-05,2021-01-17
7,0,2020-11-30,2020-11-30,2020-11-30,2020-12-06
7,0,2020-11-30,2020-12-07,2020-11-30,2020-12-13
7,1,2020-11-30,2020-11-30,2020-12-04,2020-12-06
7,1,2020-11-30,2020-12-07,2020-12-04,2020-12-13
7,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
7,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
7,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
7,3,2020-12-07,2020-12-07,2020-12-09,2020-12-13
7,3,2020-12-07,2020-12-14,2020-12-09,2020-12-20
7,4,2020-12-09,2020-12-07,2020-12-14,2020-12-13
7,4,2020-12-09,2020-12-14,2020-12-14,2020-12-20
7,4,2020-12-09,2020-12-21,2020-12-14,2020-12-27
8,0,2020-11-30,2020-11-30,2020-11-30,2020-12-06
8,0,2020-11-30,2020-12-07,2020-11-30,2020-12-13
8,1,2020-11-30,2020-11-30,2020-12-04,2020-12-06
8,1,2020-11-30,2020-12-07,2020-12-04,2020-12-13
8,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
8,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
8,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
8,3,2020-12-07,2020-12-07,2020-12-08,2020-12-13
8,3,2020-12-07,2020-12-14,2020-12-08,2020-12-20
8,4,2020-12-08,2020-12-07,2020-12-14,2020-12-13
8,4,2020-12-08,2020-12-14,2020-12-14,2020-12-20
8,4,2020-12-08,2020-12-21,2020-12-14,2020-12-27
8,5,2020-12-14,2020-12-14,2020-12-15,2020-12-20
8,5,2020-12-14,2020-12-21,2020-12-15,2020-12-27
8,6,2020-12-15,2020-12-14,2020-12-24,2020-12-20
8,6,2020-12-15,2020-12-21,2020-12-24,2020-12-27
8,6,2020-12-15,2020-12-28,2020-12-24,2021-01-03
8,7,2020-12-24,2020-12-21,2021-01-01,2020-12-27
8,7,2020-12-24,2020-12-28,2021-01-01,2021-01-03
8,7,2020-12-24,2021-01-04,2021-01-01,2021-01-10
9,0,2020-11-30,2020-11-30,2020-11-30,2020-12-06
9,0,2020-11-30,2020-12-07,2020-11-30,2020-12-13
9,1,2020-11-30,2020-11-30,2020-12-07,2020-12-06
9,1,2020-11-30,2020-12-07,2020-12-07,2020-12-13
9,1,2020-11-30,2020-12-14,2020-12-07,2020-12-20
9,2,2020-12-07,2020-12-07,2020-12-08,2020-12-13
9,2,2020-12-07,2020-12-14,2020-12-08,2020-12-20
9,3,2020-12-08,2020-12-07,2020-12-11,2020-12-13
9,3,2020-12-08,2020-12-14,2020-12-11,2020-12-20
9,4,2020-12-11,2020-12-07,2020-12-17,2020-12-13
9,4,2020-12-11,2020-12-14,2020-12-17,2020-12-20
9,4,2020-12-11,2020-12-21,2020-12-17,2020-12-27
9,5,2020-12-17,2020-12-14,2020-12-21,2020-12-20
9,5,2020-12-17,2020-12-21,2020-12-21,2020-12-27
9,5,2020-12-17,2020-12-28,2020-12-21,2021-01-03
9,6,2020-12-21,2020-12-21,2020-12-29,2020-12-27
9,6,2020-12-21,2020-12-28,2020-12-29,2021-01-03
9,6,2020-12-21,2021-01-04,2020-12-29,2021-01-10
9,7,2020-12-29,2020-12-28,2021-01-04,2021-01-03
9,7,2020-12-29,2021-01-04,2021-01-04,2021-01-10
9,7,2020-12-29,2021-01-11,2021-01-04,2021-01-17
10,0,2020-11-30,2020-11-30,2020-11-30,2020-12-06
10,0,2020-11-30,2020-12-07,2020-11-30,2020-12-13
10,1,2020-11-30,2020-11-30,2020-12-04,2020-12-06
10,1,2020-11-30,2020-12-07,2020-12-04,2020-12-13
10,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
10,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
10,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
10,3,2020-12-07,2020-12-07,2020-12-10,2020-12-13
10,3,2020-12-07,2020-12-14,2020-12-10,2020-12-20
10,4,2020-12-10,2020-12-07,2020-12-18,2020-12-13
10,4,2020-12-10,2020-12-14,2020-12-18,2020-12-20
10,4,2020-12-10,2020-12-21,2020-12-18,2020-12-27
10,5,2020-12-18,2020-12-14,2020-12-22,2020-12-20
10,5,2020-12-18,2020-12-21,2020-12-22,2020-12-27
10,5,2020-12-18,2020-12-28,2020-12-22,2021-01-03
10,6,2020-12-22,2020-12-21,2020-12-30,2020-12-27
10,6,2020-12-22,2020-12-28,2020-12-30,2021-01-03
10,6,2020-12-22,2021-01-04,2020-12-30,2021-01-10
10,7,2020-12-30,2020-12-28,2021-01-07,2021-01-03
10,7,2020-12-30,2021-01-04,2021-01-07,2021-01-10
10,7,2020-12-30,2021-01-11,2021-01-07,2021-01-17
11,0,2020-12-01,2020-11-30,2020-12-01,2020-12-06
11,0,2020-12-01,2020-12-07,2020-12-01,2020-12-13
11,1,2020-12-01,2020-11-30,2020-12-08,2020-12-06
11,1,2020-12-01,2020-12-07,2020-12-08,2020-12-13
11,1,2020-12-01,2020-12-14,2020-12-08,2020-12-20
11,2,2020-12-08,2020-12-07,2020-12-09,2020-12-13
11,2,2020-12-08,2020-12-14,2020-12-09,2020-12-20
12,0,2020-12-01,2020-11-30,2020-12-01,2020-12-06
12,0,2020-12-01,2020-12-07,2020-12-01,2020-12-13
12,1,2020-12-01,2020-11-30,2020-12-04,2020-12-06
12,1,2020-12-01,2020-12-07,2020-12-04,2020-12-13
12,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
12,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
12,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
12,3,2020-12-07,2020-12-07,2020-12-09,2020-12-13
12,3,2020-12-07,2020-12-14,2020-12-09,2020-12-20
12,4,2020-12-09,2020-12-07,2020-12-18,2020-12-13
12,4,2020-12-09,2020-12-14,2020-12-18,2020-12-20
12,4,2020-12-09,2020-12-21,2020-12-18,2020-12-27
12,5,2020-12-18,2020-12-14,2020-12-22,2020-12-20
12,5,2020-12-18,2020-12-21,2020-12-22,2020-12-27
12,5,2020-12-18,2020-12-28,2020-12-22,2021-01-03
12,6,2020-12-22,2020-12-21,2020-12-29,2020-12-27
12,6,2020-12-22,2020-12-28,2020-12-29,2021-01-03
12,6,2020-12-22,2021-01-04,2020-12-29,2021-01-10
12,7,2020-12-29,2020-12-28,2021-01-04,2021-01-03
12,7,2020-12-29,2021-01-04,2021-01-04,2021-01-10
12,7,2020-12-29,2021-01-11,2021-01-04,2021-01-17
13,0,2020-12-01,2020-11-30,2020-12-01,2020-12-06
13,0,2020-12-01,2020-12-07,2020-12-01,2020-12-13
13,1,2020-12-01,2020-11-30,2020-12-07,2020-12-06
13,1,2020-12-01,2020-12-07,2020-12-07,2020-12-13
13,1,2020-12-01,2020-12-14,2020-12-07,2020-12-20
13,2,2020-12-07,2020-12-07,2020-12-08,2020-12-13
13,2,2020-12-07,2020-12-14,2020-12-08,2020-12-20
13,3,2020-12-08,2020-12-07,2020-12-10,2020-12-13
13,3,2020-12-08,2020-12-14,2020-12-10,2020-12-20
13,4,2020-12-10,2020-12-07,2020-12-17,2020-12-13
13,4,2020-12-10,2020-12-14,2020-12-17,2020-12-20
13,4,2020-12-10,2020-12-21,2020-12-17,2020-12-27
14,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
14,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
15,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
15,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
15,1,2020-12-02,2020-11-30,2020-12-07,2020-12-06
15,1,2020-12-02,2020-12-07,2020-12-07,2020-12-13
15,1,2020-12-02,2020-12-14,2020-12-07,2020-12-20
15,2,2020-12-07,2020-12-07,2020-12-08,2020-12-13
15,2,2020-12-07,2020-12-14,2020-12-08,2020-12-20
15,3,2020-12-08,2020-12-07,2020-12-09,2020-12-13
15,3,2020-12-08,2020-12-14,2020-12-09,2020-12-20
15,4,2020-12-09,2020-12-07,2020-12-17,2020-12-13
15,4,2020-12-09,2020-12-14,2020-12-17,2020-12-20
15,4,2020-12-09,2020-12-21,2020-12-17,2020-12-27
15,5,2020-12-17,2020-12-14,2020-12-21,2020-12-20
15,5,2020-12-17,2020-12-21,2020-12-21,2020-12-27
15,5,2020-12-17,2020-12-28,2020-12-21,2021-01-03
15,6,2020-12-21,2020-12-21,2020-12-28,2020-12-27
15,6,2020-12-21,2020-12-28,2020-12-28,2021-01-03
15,6,2020-12-21,2021-01-04,2020-12-28,2021-01-10
15,7,2020-12-28,2020-12-28,2021-01-07,2021-01-03
15,7,2020-12-28,2021-01-04,2021-01-07,2021-01-10
15,7,2020-12-28,2021-01-11,2021-01-07,2021-01-17
16,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
16,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
16,1,2020-12-02,2020-11-30,2020-12-07,2020-12-06
16,1,2020-12-02,2020-12-07,2020-12-07,2020-12-13
16,1,2020-12-02,2020-12-14,2020-12-07,2020-12-20
16,2,2020-12-07,2020-12-07,2020-12-08,2020-12-13
16,2,2020-12-07,2020-12-14,2020-12-08,2020-12-20
16,3,2020-12-08,2020-12-07,2020-12-10,2020-12-13
16,3,2020-12-08,2020-12-14,2020-12-10,2020-12-20
16,4,2020-12-10,2020-12-07,2020-12-14,2020-12-13
16,4,2020-12-10,2020-12-14,2020-12-14,2020-12-20
16,4,2020-12-10,2020-12-21,2020-12-14,2020-12-27
17,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
17,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
17,1,2020-12-02,2020-11-30,2020-12-08,2020-12-06
17,1,2020-12-02,2020-12-07,2020-12-08,2020-12-13
17,1,2020-12-02,2020-12-14,2020-12-08,2020-12-20
17,2,2020-12-08,2020-12-07,2020-12-11,2020-12-13
17,2,2020-12-08,2020-12-14,2020-12-11,2020-12-20
17,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
17,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
17,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
17,4,2020-12-14,2020-12-14,2020-12-22,2020-12-20
17,4,2020-12-14,2020-12-21,2020-12-22,2020-12-27
17,4,2020-12-14,2020-12-28,2020-12-22,2021-01-03
17,5,2020-12-22,2020-12-21,2020-12-23,2020-12-27
17,5,2020-12-22,2020-12-28,2020-12-23,2021-01-03
17,6,2020-12-23,2020-12-21,2020-12-31,2020-12-27
17,6,2020-12-23,2020-12-28,2020-12-31,2021-01-03
17,6,2020-12-23,2021-01-04,2020-12-31,2021-01-10
17,7,2020-12-31,2020-12-28,2021-01-07,2021-01-03
17,7,2020-12-31,2021-01-04,2021-01-07,2021-01-10
17,7,2020-12-31,2021-01-11,2021-01-07,2021-01-17
18,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
18,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
18,1,2020-12-02,2020-11-30,2020-12-09,2020-12-06
18,1,2020-12-02,2020-12-07,2020-12-09,2020-12-13
18,1,2020-12-02,2020-12-14,2020-12-09,2020-12-20
18,2,2020-12-09,2020-12-07,2020-12-10,2020-12-13
18,2,2020-12-09,2020-12-14,2020-12-10,2020-12-20
18,3,2020-12-10,2020-12-07,2020-12-11,2020-12-13
18,3,2020-12-10,2020-12-14,2020-12-11,2020-12-20
18,4,2020-12-11,2020-12-07,2020-12-18,2020-12-13
18,4,2020-12-11,2020-12-14,2020-12-18,2020-12-20
18,4,2020-12-11,2020-12-21,2020-12-18,2020-12-27
18,5,2020-12-18,2020-12-14,2020-12-21,2020-12-20
18,5,2020-12-18,2020-12-21,2020-12-21,2020-12-27
18,5,2020-12-18,2020-12-28,2020-12-21,2021-01-03
18,6,2020-12-21,2020-12-21,2020-12-30,2020-12-27
18,6,2020-12-21,2020-12-28,2020-12-30,2021-01-03
18,6,2020-12-21,2021-01-04,2020-12-30,2021-01-10
18,7,2020-12-30,2020-12-28,2021-01-05,2021-01-03
18,7,2020-12-30,2021-01-04,2021-01-05,2021-01-10
18,7,2020-12-30,2021-01-11,2021-01-05,2021-01-17
19,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
19,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
19,1,2020-12-02,2020-11-30,2020-12-07,2020-12-06
19,1,2020-12-02,2020-12-07,2020-12-07,2020-12-13
19,1,2020-12-02,2020-12-14,2020-12-07,2020-12-20
19,2,2020-12-07,2020-12-07,2020-12-09,2020-12-13
19,2,2020-12-07,2020-12-14,2020-12-09,2020-12-20
19,3,2020-12-09,2020-12-07,2020-12-11,2020-12-13
19,3,2020-12-09,2020-12-14,2020-12-11,2020-12-20
19,4,2020-12-11,2020-12-07,2020-12-17,2020-12-13
19,4,2020-12-11,2020-12-14,2020-12-17,2020-12-20
19,4,2020-12-11,2020-12-21,2020-12-17,2020-12-27
19,5,2020-12-17,2020-12-14,2020-12-21,2020-12-20
19,5,2020-12-17,2020-12-21,2020-12-21,2020-12-27
19,5,2020-12-17,2020-12-28,2020-12-21,2021-01-03
19,6,2020-12-21,2020-12-21,2020-12-29,2020-12-27
19,6,2020-12-21,2020-12-28,2020-12-29,2021-01-03
19,6,2020-12-21,2021-01-04,2020-12-29,2021-01-10
19,7,2020-12-29,2020-12-28,2021-01-04,2021-01-03
19,7,2020-12-29,2021-01-04,2021-01-04,2021-01-10
19,7,2020-12-29,2021-01-11,2021-01-04,2021-01-17
20,0,2020-12-02,2020-11-30,2020-12-02,2020-12-06
20,0,2020-12-02,2020-12-07,2020-12-02,2020-12-13
20,1,2020-12-02,2020-11-30,2020-12-09,2020-12-06
20,1,2020-12-02,2020-12-07,2020-12-09,2020-12-13
20,1,2020-12-02,2020-12-14,2020-12-09,2020-12-20
20,2,2020-12-09,2020-12-07,2020-12-11,2020-12-13
20,2,2020-12-09,2020-12-14,2020-12-11,2020-12-20
20,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
20,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
20,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
20,4,2020-12-14,2020-12-14,2020-12-21,2020-12-20
20,4,2020-12-14,2020-12-21,2020-12-21,2020-12-27
20,4,2020-12-14,2020-12-28,2020-12-21,2021-01-03
20,5,2020-12-21,2020-12-21,2020-12-25,2020-12-27
20,5,2020-12-21,2020-12-28,2020-12-25,2021-01-03
21,0,2020-12-03,2020-11-30,2020-12-03,2020-12-06
21,0,2020-12-03,2020-12-07,2020-12-03,2020-12-13
21,1,2020-12-03,2020-11-30,2020-12-08,2020-12-06
21,1,2020-12-03,2020-12-07,2020-12-08,2020-12-13
21,1,2020-12-03,2020-12-14,2020-12-08,2020-12-20
21,2,2020-12-08,2020-12-07,2020-12-11,2020-12-13
21,2,2020-12-08,2020-12-14,2020-12-11,2020-12-20
21,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
21,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
21,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
21,4,2020-12-14,2020-12-14,2020-12-21,2020-12-20
21,4,2020-12-14,2020-12-21,2020-12-21,2020-12-27
21,4,2020-12-14,2020-12-28,2020-12-21,2021-01-03
21,5,2020-12-21,2020-12-21,2020-12-24,2020-12-27
21,5,2020-12-21,2020-12-28,2020-12-24,2021-01-03
21,6,2020-12-24,2020-12-21,2020-12-30,2020-12-27
21,6,2020-12-24,2020-12-28,2020-12-30,2021-01-03
21,6,2020-12-24,2021-01-04,2020-12-30,2021-01-10
21,7,2020-12-30,2020-12-28,2021-01-01,2021-01-03
21,7,2020-12-30,2021-01-04,2021-01-01,2021-01-10
22,0,2020-12-03,2020-11-30,2020-12-03,2020-12-06
22,0,2020-12-03,2020-12-07,2020-12-03,2020-12-13
22,1,2020-12-03,2020-11-30,2020-12-09,2020-12-06
22,1,2020-12-03,2020-12-07,2020-12-09,2020-12-13
22,1,2020-12-03,2020-12-14,2020-12-09,2020-12-20
22,2,2020-12-09,2020-12-07,2020-12-11,2020-12-13
22,2,2020-12-09,2020-12-14,2020-12-11,2020-12-20
22,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
22,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
22,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
22,4,2020-12-14,2020-12-14,2020-12-21,2020-12-20
22,4,2020-12-14,2020-12-21,2020-12-21,2020-12-27
22,4,2020-12-14,2020-12-28,2020-12-21,2021-01-03
22,5,2020-12-21,2020-12-21,2020-12-24,2020-12-27
22,5,2020-12-21,2020-12-28,2020-12-24,2021-01-03
22,6,2020-12-24,2020-12-21,2020-12-30,2020-12-27
22,6,2020-12-24,2020-12-28,2020-12-30,2021-01-03
22,6,2020-12-24,2021-01-04,2020-12-30,2021-01-10
22,7,2020-12-30,2020-12-28,2021-01-08,2021-01-03
22,7,2020-12-30,2021-01-04,2021-01-08,2021-01-10
22,7,2020-12-30,2021-01-11,2021-01-08,2021-01-17
23,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
23,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
23,1,2020-12-04,2020-11-30,2020-12-09,2020-12-06
23,1,2020-12-04,2020-12-07,2020-12-09,2020-12-13
23,1,2020-12-04,2020-12-14,2020-12-09,2020-12-20
23,2,2020-12-09,2020-12-07,2020-12-11,2020-12-13
23,2,2020-12-09,2020-12-14,2020-12-11,2020-12-20
23,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
23,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
23,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
23,4,2020-12-14,2020-12-14,2020-12-18,2020-12-20
23,4,2020-12-14,2020-12-21,2020-12-18,2020-12-27
23,5,2020-12-18,2020-12-14,2020-12-22,2020-12-20
23,5,2020-12-18,2020-12-21,2020-12-22,2020-12-27
23,5,2020-12-18,2020-12-28,2020-12-22,2021-01-03
23,6,2020-12-22,2020-12-21,2020-12-31,2020-12-27
23,6,2020-12-22,2020-12-28,2020-12-31,2021-01-03
23,6,2020-12-22,2021-01-04,2020-12-31,2021-01-10
24,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
24,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
24,1,2020-12-04,2020-11-30,2020-12-09,2020-12-06
24,1,2020-12-04,2020-12-07,2020-12-09,2020-12-13
24,1,2020-12-04,2020-12-14,2020-12-09,2020-12-20
24,2,2020-12-09,2020-12-07,2020-12-11,2020-12-13
24,2,2020-12-09,2020-12-14,2020-12-11,2020-12-20
24,3,2020-12-11,2020-12-07,2020-12-14,2020-12-13
24,3,2020-12-11,2020-12-14,2020-12-14,2020-12-20
24,3,2020-12-11,2020-12-21,2020-12-14,2020-12-27
24,4,2020-12-14,2020-12-14,2020-12-18,2020-12-20
24,4,2020-12-14,2020-12-21,2020-12-18,2020-12-27
24,5,2020-12-18,2020-12-14,2020-12-22,2020-12-20
24,5,2020-12-18,2020-12-21,2020-12-22,2020-12-27
24,5,2020-12-18,2020-12-28,2020-12-22,2021-01-03
24,6,2020-12-22,2020-12-21,2020-12-30,2020-12-27
24,6,2020-12-22,2020-12-28,2020-12-30,2021-01-03
24,6,2020-12-22,2021-01-04,2020-12-30,2021-01-10
24,7,2020-12-30,2020-12-28,2021-01-04,2021-01-03
24,7,2020-12-30,2021-01-04,2021-01-04,2021-01-10
24,7,2020-12-30,2021-01-11,2021-01-04,2021-01-17
25,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
25,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
25,1,2020-12-04,2020-11-30,2020-12-09,2020-12-06
25,1,2020-12-04,2020-12-07,2020-12-09,2020-12-13
25,1,2020-12-04,2020-12-14,2020-12-09,2020-12-20
26,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
26,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
26,1,2020-12-04,2020-11-30,2020-12-11,2020-12-06
26,1,2020-12-04,2020-12-07,2020-12-11,2020-12-13
26,1,2020-12-04,2020-12-14,2020-12-11,2020-12-20
26,2,2020-12-11,2020-12-07,2020-12-14,2020-12-13
26,2,2020-12-11,2020-12-14,2020-12-14,2020-12-20
26,2,2020-12-11,2020-12-21,2020-12-14,2020-12-27
27,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
27,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
27,1,2020-12-04,2020-11-30,2020-12-11,2020-12-06
27,1,2020-12-04,2020-12-07,2020-12-11,2020-12-13
27,1,2020-12-04,2020-12-14,2020-12-11,2020-12-20
27,2,2020-12-11,2020-12-07,2020-12-14,2020-12-13
27,2,2020-12-11,2020-12-14,2020-12-14,2020-12-20
27,2,2020-12-11,2020-12-21,2020-12-14,2020-12-27
27,3,2020-12-14,2020-12-14,2020-12-15,2020-12-20
27,3,2020-12-14,2020-12-21,2020-12-15,2020-12-27
27,4,2020-12-15,2020-12-14,2020-12-21,2020-12-20
27,4,2020-12-15,2020-12-21,2020-12-21,2020-12-27
27,4,2020-12-15,2020-12-28,2020-12-21,2021-01-03
27,5,2020-12-21,2020-12-21,2020-12-22,2020-12-27
27,5,2020-12-21,2020-12-28,2020-12-22,2021-01-03
27,6,2020-12-22,2020-12-21,2020-12-30,2020-12-27
27,6,2020-12-22,2020-12-28,2020-12-30,2021-01-03
27,6,2020-12-22,2021-01-04,2020-12-30,2021-01-10
27,7,2020-12-30,2020-12-28,2021-01-07,2021-01-03
27,7,2020-12-30,2021-01-04,2021-01-07,2021-01-10
27,7,2020-12-30,2021-01-11,2021-01-07,2021-01-17
28,0,2020-12-04,2020-11-30,2020-12-04,2020-12-06
28,0,2020-12-04,2020-12-07,2020-12-04,2020-12-13
28,1,2020-12-04,2020-11-30,2020-12-09,2020-12-06
28,1,2020-12-04,2020-12-07,2020-12-09,2020-12-13
28,1,2020-12-04,2020-12-14,2020-12-09,2020-12-20
28,2,2020-12-09,2020-12-07,2020-12-10,2020-12-13
28,2,2020-12-09,2020-12-14,2020-12-10,2020-12-20
28,3,2020-12-10,2020-12-07,2020-12-11,2020-12-13
28,3,2020-12-10,2020-12-14,2020-12-11,2020-12-20
28,4,2020-12-11,2020-12-07,2020-12-17,2020-12-13
