leads_id,ga_id,Page_Name,page_ts,seq_id,time_spent,form_page,info_page
20,65,/form/set-a-meeting,"2020-12-02 15:12:39",4,,1,0
21,66,/features,"2020-12-03 10:18:18",1,49.0,0,1
21,67,/form/brochure,"2020-12-03 10:19:07",2,,1,0
22,68,/studycase,"2020-12-03 13:28:28",1,49.0,0,1
22,69,/portofolio,"2020-12-03 13:29:17",2,26.0,0,1
22,70,/form/publications,"2020-12-03 13:29:43",3,12.0,1,0
22,71,/home,"2020-12-03 13:29:55",4,13.0,0,0
22,72,/features,"2020-12-03 13:30:08",5,27.0,0,1
22,73,/form/brochure,"2020-12-03 13:30:35",6,,1,0
23,74,/portofolio,"2020-12-04 10:30:44",1,49.0,0,1
23,75,/form/demo,"2020-12-04 10:31:33",2,,1,0
24,76,/portofolio,"2020-12-04 11:00:09",1,40.0,0,1
24,77,/form/demo,"2020-12-04 11:00:49",2,,1,0
25,78,/features,"2020-12-04 13:47:05",1,48.0,0,1
25,79,/portofolio,"2020-12-04 13:47:53",2,29.0,0,1
25,80,/home,"2020-12-04 13:48:22",3,12.0,0,0
25,81,/portofolio,"2020-12-04 13:48:34",4,23.0,0,1
25,82,/form/brochure,"2020-12-04 13:48:57",5,16.0,1,0
25,83,/form/set-a-meeting,"2020-12-04 13:49:13",6,,1,0
26,84,/testimonials,"2020-12-04 14:56:47",1,48.0,0,1
26,85,/studycase,"2020-12-04 14:57:35",2,29.0,0,1
26,86,/portofolio,"2020-12-04 14:58:04",3,25.0,0,1
26,87,/form/brochure,"2020-12-04 14:58:29",4,,1,0
27,88,/home,"2020-12-04 15:14:25",1,32.0,0,0
27,89,/form/set-a-meeting,"2020-12-04 15:14:57",2,,1,0
28,90,/studycase,"2020-12-04 15:46:31",1,42.0,0,1
28,91,/testimonials,"2020-12-04 15:47:13",2,25.0,0,1
28,92,/form/brochure,"2020-12-04 15:47:38",3,15.0,1,0
28,93,/form/brochure,"2020-12-04 15:47:53",4,,1,0
29,94,/home,"2020-12-04 16:09:29",1,35.0,0,0
29,95,/portofolio,"2020-12-04 16:10:04",2,20.0,0,1
29,96,/studycase,"2020-12-04 16:10:24",3,24.0,0,1
29,97,/form/brochure,"2020-12-04 16:10:48",4,15.0,1,0
29,98,/form/demo,"2020-12-04 16:11:03",5,15.0,1,0
29,99,/form/set-a-meeting,"2020-12-04 16:11:18",6,,1,0
30,100,/features,"2020-12-04 16:34:23",1,46.0,0,1
30,101,/form/brochure,"2020-12-04 16:35:09",2,18.0,1,0
30,102,/form/demo,"2020-12-04 16:35:27",3,,1,0
31,103,/features,"2020-12-04 17:03:52",1,42.0,0,1
31,104,/testimonials,"2020-12-04 17:04:34",2,29.0,0,1
31,105,/form/publications,"2020-12-04 17:05:03",3,10.0,1,0
31,106,/features,"2020-12-04 17:05:13",4,21.0,0,1
31,107,/form/demo,"2020-12-04 17:05:34",5,,1,0
32,108,/features,"2020-12-07 09:15:46",1,47.0,0,1
32,109,/testimonials,"2020-12-07 09:16:33",2,22.0,0,1
32,110,/features,"2020-12-07 09:16:55",3,24.0,0,1
32,111,/form/demo,"2020-12-07 09:17:19",4,,1,0
33,112,/testimonials,"2020-12-07 09:34:45",1,49.0,0,1
33,113,/studycase,"2020-12-07 09:35:34",2,27.0,0,1
33,114,/testimonials,"2020-12-07 09:36:01",3,25.0,0,1
33,115,/form/demo,"2020-12-07 09:36:26",4,,1,0
34,116,/features,"2020-12-07 09:43:52",1,50.0,0,1
34,117,/testimonials,"2020-12-07 09:44:42",2,26.0,0,1
34,118,/features,"2020-12-07 09:45:08",3,21.0,0,1
34,119,/form/brochure,"2020-12-07 09:45:29",4,,1,0
35,120,/home,"2020-12-07 09:50:03",1,33.0,0,0
35,121,/form/set-a-meeting,"2020-12-07 09:50:36",2,10.0,1,0
35,122,/portofolio,"2020-12-07 09:50:46",3,27.0,0,1
35,123,/studycase,"2020-12-07 09:51:13",4,27.0,0,1
35,124,/form/brochure,"2020-12-07 09:51:40",5,,1,0
36,125,/home,"2020-12-07 11:18:04",1,31.0,0,0
36,126,/form/brochure,"2020-12-07 11:18:35",2,,1,0
37,127,/portofolio,"2020-12-07 12:23:04",1,48.0,0,1
37,128,/form/set-a-meeting,"2020-12-07 12:23:52",2,,1,0
38,129,/portofolio,"2020-12-07 14:22:25",1,41.0,0,1
38,130,/form/brochure,"2020-12-07 14:23:06",2,,1,0
39,131,/testimonials,"2020-12-07 16:29:53",1,47.0,0,1
39,132,/form/demo,"2020-12-07 16:30:40",2,15.0,1,0
39,133,/form/demo,"2020-12-07 16:30:55",3,,1,0
40,134,/studycase,"2020-12-07 16:36:56",1,46.0,0,1
40,135,/testimonials,"2020-12-07 16:37:42",2,20.0,0,1
40,136,/features,"2020-12-07 16:38:02",3,24.0,0,1
40,137,/form/brochure,"2020-12-07 16:38:26",4,,1,0
41,138,/features,"2020-12-08 09:54:08",1,43.0,0,1
41,139,/form/publications,"2020-12-08 09:54:51",2,18.0,1,0
41,140,/testimonials,"2020-12-08 09:55:09",3,20.0,0,1
41,141,/form/demo,"2020-12-08 09:55:29",4,,1,0
42,142,/studycase,"2020-12-08 10:49:40",1,50.0,0,1
42,143,/form/brochure,"2020-12-08 10:50:30",2,12.0,1,0
42,144,/portofolio,"2020-12-08 10:50:42",3,27.0,0,1
42,145,/form/brochure,"2020-12-08 10:51:09",4,16.0,1,0
42,146,/testimonials,"2020-12-08 10:51:25",5,27.0,0,1
42,147,/form/set-a-meeting,"2020-12-08 10:51:52",6,,1,0
43,148,/features,"2020-12-08 12:06:42",1,46.0,0,1
43,149,/form/brochure,"2020-12-08 12:07:28",2,,1,0
44,150,/testimonials,"2020-12-08 16:04:05",1,43.0,0,1
44,151,/features,"2020-12-08 16:04:48",2,22.0,0,1
44,152,/form/brochure,"2020-12-08 16:05:10",3,,1,0
45,153,/portofolio,"2020-12-08 16:06:23",1,44.0,0,1
45,154,/form/set-a-meeting,"2020-12-08 16:07:07",2,19.0,1,0
45,155,/features,"2020-12-08 16:07:26",3,26.0,0,1
45,156,/form/demo,"2020-12-08 16:07:52",4,,1,0
46,157,/features,"2020-12-08 16:49:26",1,45.0,0,1
46,158,/portofolio,"2020-12-08 16:50:11",2,24.0,0,1
46,159,/features,"2020-12-08 16:50:35",3,22.0,0,1
46,160,/testimonials,"2020-12-08 16:50:57",4,22.0,0,1
46,161,/form/demo,"2020-12-08 16:51:19",5,,1,0
47,162,/portofolio,"2020-12-08 17:30:15",1,43.0,0,1
47,163,/features,"2020-12-08 17:30:58",2,23.0,0,1
47,164,/form/publications,"2020-12-08 17:31:21",3,11.0,1,0
47,165,/form/demo,"2020-12-08 17:31:32",4,,1,0
48,166,/portofolio,"2020-12-09 10:20:32",1,43.0,0,1
48,167,/form/publications,"2020-12-09 10:21:15",2,11.0,1,0
48,168,/studycase,"2020-12-09 10:21:26",3,23.0,0,1
48,169,/portofolio,"2020-12-09 10:21:49",4,25.0,0,1
48,170,/form/demo,"2020-12-09 10:22:14",5,,1,0
49,171,/features,"2020-12-09 11:23:51",1,40.0,0,1
49,172,/form/demo,"2020-12-09 11:24:31",2,,1,0
50,173,/testimonials,"2020-12-09 12:44:48",1,50.0,0,1
50,174,/form/set-a-meeting,"2020-12-09 12:45:38",2,,1,0
51,175,/features,"2020-12-09 13:23:11",1,41.0,0,1
51,176,/form/demo,"2020-12-09 13:23:52",2,,1,0
52,177,/portofolio,"2020-12-10 10:45:31",1,47.0,0,1
52,178,/form/publications,"2020-12-10 10:46:18",2,12.0,1,0
52,179,/features,"2020-12-10 10:46:30",3,25.0,0,1
52,180,/testimonials,"2020-12-10 10:46:55",4,21.0,0,1
52,181,/form/publications,"2020-12-10 10:47:16",5,19.0,1,0
52,182,/form/set-a-meeting,"2020-12-10 10:47:35",6,,1,0
53,183,/features,"2020-12-10 11:53:30",1,43.0,0,1
53,184,/form/set-a-meeting,"2020-12-10 11:54:13",2,18.0,1,0
53,185,/form/demo,"2020-12-10 11:54:31",3,,1,0
54,186,/home,"2020-12-10 14:52:03",1,40.0,0,0
54,187,/testimonials,"2020-12-10 14:52:43",2,22.0,0,1
54,188,/form/publications,"2020-12-10 14:53:05",3,16.0,1,0
54,189,/form/set-a-meeting,"2020-12-10 14:53:21",4,,1,0
55,190,/portofolio,"2020-12-10 16:18:44",1,45.0,0,1
55,191,/features,"2020-12-10 16:19:29",2,30.0,0,1
55,192,/portofolio,"2020-12-10 16:19:59",3,28.0,0,1
55,193,/form/set-a-meeting,"2020-12-10 16:20:27",4,,1,0
56,194,/portofolio,"2020-12-10 17:14:09",1,43.0,0,1
56,195,/testimonials,"2020-12-10 17:14:52",2,27.0,0,1
56,196,/portofolio,"2020-12-10 17:15:19",3,26.0,0,1
56,197,/form/demo,"2020-12-10 17:15:45",4,,1,0
57,198,/home,"2020-12-11 09:08:00",1,33.0,0,0
57,199,/form/publications,"2020-12-11 09:08:33",2,19.0,1,0
57,200,/studycase,"2020-12-11 09:08:52",3,22.0,0,1
57,201,/testimonials,"2020-12-11 09:09:14",4,24.0,0,1
57,202,/form/demo,"2020-12-11 09:09:38",5,,1,0
58,203,/testimonials,"2020-12-11 09:40:24",1,44.0,0,1
58,204,/form/brochure,"2020-12-11 09:41:08",2,,1,0
59,205,/portofolio,"2020-12-11 10:25:54",1,43.0,0,1
59,206,/features,"2020-12-11 10:26:37",2,28.0,0,1
59,207,/form/demo,"2020-12-11 10:27:05",3,,1,0
60,208,/portofolio,"2020-12-11 10:48:46",1,41.0,0,1
60,209,/studycase,"2020-12-11 10:49:27",2,28.0,0,1
60,210,/home,"2020-12-11 10:49:55",3,16.0,0,0
60,211,/form/brochure,"2020-12-11 10:50:11",4,19.0,1,0
60,212,/form/set-a-meeting,"2020-12-11 10:50:30",5,,1,0
61,213,/features,"2020-12-11 11:22:30",1,49.0,0,1
61,214,/form/brochure,"2020-12-11 11:23:19",2,,1,0
62,215,/portofolio,"2020-12-11 13:25:26",1,50.0,0,1
62,216,/testimonials,"2020-12-11 13:26:16",2,22.0,0,1
62,217,/studycase,"2020-12-11 13:26:38",3,30.0,0,1
62,218,/form/demo,"2020-12-11 13:27:08",4,,1,0
63,219,/portofolio,"2020-12-11 13:45:00",1,45.0,0,1
63,220,/features,"2020-12-11 13:45:45",2,27.0,0,1
63,221,/form/demo,"2020-12-11 13:46:12",3,,1,0
64,222,/testimonials,"2020-12-11 16:29:32",1,45.0,0,1
64,223,/features,"2020-12-11 16:30:17",2,23.0,0,1
64,224,/form/brochure,"2020-12-11 16:30:40",3,,1,0
65,225,/features,"2020-12-11 16:38:40",1,50.0,0,1
65,226,/form/demo,"2020-12-11 16:39:30",2,19.0,1,0
65,227,/form/brochure,"2020-12-11 16:39:49",3,,1,0
66,228,/features,"2020-12-11 17:56:27",1,40.0,0,1
66,229,/studycase,"2020-12-11 17:57:07",2,21.0,0,1
66,230,/portofolio,"2020-12-11 17:57:28",3,27.0,0,1
66,231,/form/demo,"2020-12-11 17:57:55",4,,1,0
67,232,/form/set-a-meeting,"2020-12-14 09:50:35",1,,1,0
68,233,/home,"2020-12-14 15:56:34",1,35.0,0,0
68,234,/portofolio,"2020-12-14 15:57:09",2,30.0,0,1
68,235,/form/brochure,"2020-12-14 15:57:39",3,20.0,1,0
68,236,/form/set-a-meeting,"2020-12-14 15:57:59",4,,1,0
69,237,/home,"2020-12-15 12:03:35",1,35.0,0,0
69,238,/form/set-a-meeting,"2020-12-15 12:04:10",2,,1,0
70,239,/testimonials,"2020-12-15 15:12:37",1,48.0,0,1
70,240,/portofolio,"2020-12-15 15:13:25",2,20.0,0,1
70,241,/form/demo,"2020-12-15 15:13:45",3,,1,0
71,242,/studycase,"2020-12-16 09:45:40",1,41.0,0,1
71,243,/features,"2020-12-16 09:46:21",2,29.0,0,1
71,244,/form/demo,"2020-12-16 09:46:50",3,,1,0
72,245,/features,"2020-12-16 15:16:32",1,45.0,0,1
72,246,/portofolio,"2020-12-16 15:17:17",2,27.0,0,1
72,247,/home,"2020-12-16 15:17:44",3,11.0,0,0
72,248,/portofolio,"2020-12-16 15:17:55",4,24.0,0,1
72,249,/home,"2020-12-16 15:18:19",5,18.0,0,0
72,250,/form/brochure,"2020-12-16 15:18:37",6,,1,0
73,251,/studycase,"2020-12-16 17:38:08",1,42.0,0,1
73,252,/features,"2020-12-16 17:38:50",2,28.0,0,1
73,253,/form/brochure,"2020-12-16 17:39:18",3,,1,0
74,254,/home,"2020-12-17 14:50:35",1,33.0,0,0
74,255,/features,"2020-12-17 14:51:08",2,29.0,0,1
74,256,/studycase,"2020-12-17 14:51:37",3,22.0,0,1
74,257,/testimonials,"2020-12-17 14:51:59",4,28.0,0,1
74,258,/portofolio,"2020-12-17 14:52:27",5,28.0,0,1
74,259,/form/demo,"2020-12-17 14:52:55",6,,1,0
75,260,/home,"2020-12-17 15:08:06",1,36.0,0,0
75,261,/form/brochure,"2020-12-17 15:08:42",2,17.0,1,0
75,262,/form/brochure,"2020-12-17 15:08:59",3,,1,0
76,263,/features,"2020-12-17 17:00:47",1,48.0,0,1
76,264,/form/brochure,"2020-12-17 17:01:35",2,,1,0
77,265,/studycase,"2020-12-18 11:03:30",1,48.0,0,1
77,266,/form/set-a-meeting,"2020-12-18 11:04:18",2,,1,0
78,267,/home,"2020-12-18 16:16:06",1,31.0,0,0
78,268,/portofolio,"2020-12-18 16:16:37",2,24.0,0,1
78,269,/form/brochure,"2020-12-18 16:17:01",3,,1,0
79,270,/form/set-a-meeting,"2020-12-21 09:22:39",1,,1,0
80,271,/home,"2020-12-21 10:28:45",1,36.0,0,0
80,272,/form/set-a-meeting,"2020-12-21 10:29:21",2,,1,0
81,273,/home,"2020-12-21 12:04:54",1,31.0,0,0
81,274,/form/demo,"2020-12-21 12:05:25",2,17.0,1,0
81,275,/form/brochure,"2020-12-21 12:05:42",3,,1,0
82,276,/features,"2020-12-21 12:26:55",1,49.0,0,1
82,277,/form/brochure,"2020-12-21 12:27:44",2,18.0,1,0
82,278,/testimonials,"2020-12-21 12:28:02",3,29.0,0,1
82,279,/form/brochure,"2020-12-21 12:28:31",4,,1,0
83,280,/portofolio,"2020-12-22 10:25:47",1,43.0,0,1
83,281,/form/demo,"2020-12-22 10:26:30",2,19.0,1,0
83,282,/form/brochure,"2020-12-22 10:26:49",3,12.0,1,0
83,283,/form/set-a-meeting,"2020-12-22 10:27:01",4,,1,0
84,284,/testimonials,"2020-12-22 10:56:21",1,41.0,0,1
84,285,/form/set-a-meeting,"2020-12-22 10:57:02",2,,1,0
85,286,/features,"2020-12-22 14:15:54",1,44.0,0,1
85,287,/studycase,"2020-12-22 14:16:38",2,22.0,0,1
85,288,/form/brochure,"2020-12-22 14:17:00",3,,1,0
86,289,/features,"2020-12-22 15:59:19",1,40.0,0,1
86,290,/form/set-a-meeting,"2020-12-22 15:59:59",2,,1,0
87,291,/home,"2020-12-23 11:58:44",1,30.0,0,0
87,292,/features,"2020-12-23 11:59:14",2,23.0,0,1
87,293,/form/set-a-meeting,"2020-12-23 11:59:37",3,18.0,1,0
87,294,/form/brochure,"2020-12-23 11:59:55",4,,1,0
88,295,/portofolio,"2020-12-23 14:48:45",1,44.0,0,1
88,296,/studycase,"2020-12-23 14:49:29",2,23.0,0,1
88,297,/portofolio,"2020-12-23 14:49:52",3,30.0,0,1
88,298,/form/demo,"2020-12-23 14:50:22",4,,1,0
89,299,/home,"2020-12-23 15:17:39",1,31.0,0,0
89,300,/form/brochure,"2020-12-23 15:18:10",2,,1,0
90,301,/studycase,"2020-12-23 15:41:06",1,46.0,0,1
90,302,/testimonials,"2020-12-23 15:41:52",2,26.0,0,1
90,303,/home,"2020-12-23 15:42:18",3,14.0,0,0
90,304,/form/set-a-meeting,"2020-12-23 15:42:32",4,14.0,1,0
90,305,/form/demo,"2020-12-23 15:42:46",5,,1,0
91,306,/features,"2020-12-23 16:22:33",1,50.0,0,1
91,307,/studycase,"2020-12-23 16:23:23",2,21.0,0,1
91,308,/form/demo,"2020-12-23 16:23:44",3,14.0,1,0
91,309,/form/set-a-meeting,"2020-12-23 16:23:58",4,11.0,1,0
91,310,/testimonials,"2020-12-23 16:24:09",5,23.0,0,1
91,311,/form/set-a-meeting,"2020-12-23 16:24:32",6,,1,0
92,312,/form/set-a-meeting,"2020-12-24 09:44:23",1,,1,0
93,313,/form/brochure,"2020-12-24 11:41:59",1,,1,0
94,314,/features,"2020-12-24 11:54:00",1,42.0,0,1
94,315,/testimonials,"2020-12-24 11:54:42",2,28.0,0,1
94,316,/form/demo,"2020-12-24 11:55:10",3,,1,0
95,317,/studycase,"2020-12-24 14:23:42",1,42.0,0,1
95,318,/features,"2020-12-24 14:24:24",2,28.0,0,1
95,319,/studycase,"2020-12-24 14:24:52",3,28.0,0,1
95,320,/form/demo,"2020-12-24 14:25:20",4,,1,0
96,321,/studycase,"2020-12-24 17:18:07",1,46.0,0,1
96,322,/testimonials,"2020-12-24 17:18:53",2,30.0,0,1
96,323,/studycase,"2020-12-24 17:19:23",3,28.0,0,1
96,324,/form/brochure,"2020-12-24 17:19:51",4,,1,0
97,325,/form/demo,"2020-12-28 09:53:18",1,,1,0
98,326,/form/set-a-meeting,"2020-12-28 10:23:53",1,,1,0
99,327,/form/brochure,"2020-12-28 10:27:50",1,,1,0
100,328,/portofolio,"2020-12-28 12:58:22",1,41.0,0,1
100,329,/form/set-a-meeting,"2020-12-28 12:59:03",2,,1,0
101,330,/home,"2020-12-28 15:39:55",1,36.0,0,0
101,331,/portofolio,"2020-12-28 15:40:31",2,21.0,0,1
101,332,/form/demo,"2020-12-28 15:40:52",3,20.0,1,0
101,333,/form/publications,"2020-12-28 15:41:12",4,10.0,1,0
101,334,/testimonials,"2020-12-28 15:41:22",5,25.0,0,1
101,335,/form/demo,"2020-12-28 15:41:47",6,,1,0
102,336,/home,"2020-12-29 10:45:37",1,31.0,0,0
102,337,/testimonials,"2020-12-29 10:46:08",2,25.0,0,1
102,338,/portofolio,"2020-12-29 10:46:33",3,27.0,0,1
102,339,/studycase,"2020-12-29 10:47:00",4,25.0,0,1
102,340,/form/demo,"2020-12-29 10:47:25",5,,1,0
103,341,/testimonials,"2020-12-29 13:51:20",1,44.0,0,1
103,342,/studycase,"2020-12-29 13:52:04",2,23.0,0,1
103,343,/form/publications,"2020-12-29 13:52:27",3,12.0,1,0
103,344,/form/set-a-meeting,"2020-12-29 13:52:39",4,15.0,1,0
103,345,/testimonials,"2020-12-29 13:52:54",5,28.0,0,1
103,346,/form/brochure,"2020-12-29 13:53:22",6,,1,0
104,347,/portofolio,"2020-12-29 14:44:54",1,44.0,0,1
104,348,/form/brochure,"2020-12-29 14:45:38",2,11.0,1,0
104,349,/features,"2020-12-29 14:45:49",3,26.0,0,1
104,350,/portofolio,"2020-12-29 14:46:15",4,29.0,0,1
104,351,/form/demo,"2020-12-29 14:46:44",5,,1,0
105,352,/home,"2020-12-29 15:18:09",1,30.0,0,0
105,353,/form/demo,"2020-12-29 15:18:39",2,12.0,1,0
105,354,/portofolio,"2020-12-29 15:18:51",3,22.0,0,1
105,355,/form/demo,"2020-12-29 15:19:13",4,,1,0
106,356,/home,"2020-12-29 16:02:33",1,36.0,0,0
106,357,/form/brochure,"2020-12-29 16:03:09",2,,1,0
107,358,/portofolio,"2020-12-29 16:54:20",1,48.0,0,1
107,359,/form/demo,"2020-12-29 16:55:08",2,12.0,1,0
107,360,/portofolio,"2020-12-29 16:55:20",3,21.0,0,1
107,361,/form/set-a-meeting,"2020-12-29 16:55:41",4,,1,0
108,362,/home,"2020-12-29 17:23:19",1,40.0,0,0
108,363,/features,"2020-12-29 17:23:59",2,22.0,0,1
108,364,/portofolio,"2020-12-29 17:24:21",3,24.0,0,1
108,365,/form/set-a-meeting,"2020-12-29 17:24:45",4,20.0,1,0
108,366,/features,"2020-12-29 17:25:05",5,25.0,0,1
108,367,/form/set-a-meeting,"2020-12-29 17:25:30",6,,1,0
109,368,/features,"2020-12-30 09:07:37",1,50.0,0,1
109,369,/form/set-a-meeting,"2020-12-30 09:08:27",2,14.0,1,0
109,370,/form/demo,"2020-12-30 09:08:41",3,15.0,1,0
109,371,/form/brochure,"2020-12-30 09:08:56",4,,1,0
110,372,/portofolio,"2020-12-30 09:59:16",1,40.0,0,1
110,373,/testimonials,"2020-12-30 09:59:56",2,26.0,0,1
110,374,/features,"2020-12-30 10:00:22",3,26.0,0,1
110,375,/testimonials,"2020-12-30 10:00:48",4,21.0,0,1
110,376,/form/publications,"2020-12-30 10:01:09",5,15.0,1,0
110,377,/form/set-a-meeting,"2020-12-30 10:01:24",6,,1,0
111,378,/studycase,"2020-12-30 10:28:55",1,42.0,0,1
111,379,/form/brochure,"2020-12-30 10:29:37",2,12.0,1,0
111,380,/testimonials,"2020-12-30 10:29:49",3,21.0,0,1
111,381,/portofolio,"2020-12-30 10:30:10",4,22.0,0,1
111,382,/form/demo,"2020-12-30 10:30:32",5,,1,0
112,383,/testimonials,"2020-12-30 10:46:06",1,48.0,0,1
112,384,/features,"2020-12-30 10:46:54",2,21.0,0,1
112,385,/studycase,"2020-12-30 10:47:15",3,29.0,0,1
112,386,/form/brochure,"2020-12-30 10:47:44",4,,1,0
113,387,/studycase,"2020-12-30 11:06:14",1,41.0,0,1
113,388,/testimonials,"2020-12-30 11:06:55",2,26.0,0,1
113,389,/studycase,"2020-12-30 11:07:21",3,29.0,0,1
113,390,/features,"2020-12-30 11:07:50",4,27.0,0,1
113,391,/studycase,"2020-12-30 11:08:17",5,26.0,0,1
113,392,/form/set-a-meeting,"2020-12-30 11:08:43",6,,1,0
114,393,/features,"2020-12-30 14:53:27",1,43.0,0,1
114,394,/form/demo,"2020-12-30 14:54:10",2,,1,0
115,395,/form/set-a-meeting,"2020-12-30 15:16:13",1,,1,0
116,396,/home,"2020-12-30 15:28:18",1,35.0,0,0
116,397,/features,"2020-12-30 15:28:53",2,30.0,0,1
116,398,/studycase,"2020-12-30 15:29:23",3,27.0,0,1
116,399,/form/publications,"2020-12-30 15:29:50",4,11.0,1,0
116,400,/form/set-a-meeting,"2020-12-30 15:30:01",5,,1,0
117,401,/home,"2020-12-31 10:40:25",1,35.0,0,0
117,402,/form/set-a-meeting,"2020-12-31 10:41:00",2,10.0,1,0
117,403,/features,"2020-12-31 10:41:10",3,27.0,0,1
117,404,/form/brochure,"2020-12-31 10:41:37",4,,1,0
118,405,/home,"2020-12-31 11:00:00",1,34.0,0,0
118,406,/testimonials,"2020-12-31 11:00:34",2,20.0,0,1
118,407,/studycase,"2020-12-31 11:00:54",3,23.0,0,1
118,408,/form/brochure,"2020-12-31 11:01:17",4,,1,0
119,409,/studycase,"2020-12-31 15:49:08",1,43.0,0,1
119,410,/testimonials,"2020-12-31 15:49:51",2,30.0,0,1
119,411,/form/brochure,"2020-12-31 15:50:21",3,,1,0
120,412,/form/set-a-meeting,"2020-12-31 16:01:59",1,,1,0
121,413,/home,"2020-12-31 17:32:17",1,34.0,0,0
121,414,/form/set-a-meeting,"2020-12-31 17:32:51",2,14.0,1,0
121,415,/testimonials,"2020-12-31 17:33:05",3,20.0,0,1
121,416,/features,"2020-12-31 17:33:25",4,22.0,0,1
121,417,/form/set-a-meeting,"2020-12-31 17:33:47",5,,1,0
122,418,/home,"2021-01-01 09:23:43",1,34.0,0,0
122,419,/portofolio,"2021-01-01 09:24:17",2,25.0,0,1
122,420,/studycase,"2021-01-01 09:24:42",3,21.0,0,1
