month_period,funnel_id,leads_id,stage_id,stage_name,stage_date,stage_time,reason,reason_id,drop_flag,stage_month_id,stage_month,first_date,first_month
2020-11-01,274,9,106,"Offer Sent",2020-12-21,16:07:43,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,389,9,107,"Quatation Received",2020-12-29,14:55:50,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,476,9,108,"Deal Won",2021-01-04,12:27:39,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-11-01,10,10,101,"Lead Registered",2020-11-30,17:53:22,,0,0,1,2020-11-01,2020-11-30,2020-11-01
2020-11-01,37,10,102,"Lead Qualification",2020-12-04,13:41:03,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,46,10,103,"Initial Communication Success",2020-12-07,09:09:17,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,111,10,104,"Approach Success",2020-12-10,12:59:02,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,237,10,105,"Discussion Success",2020-12-18,10:39:49,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,297,10,106,"Offer Sent",2020-12-22,17:34:24,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,398,10,107,"Quatation Received",2020-12-30,10:24:04,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,575,10,108,"Deal Won",2021-01-07,13:59:46,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-12-01,16,1,102,"Lead Qualification",2020-12-02,10:07:04,,0,0,2,2020-12-01,2020-11-25,2020-11-01
2020-12-01,36,1,103,"Initial Communication Success",2020-12-04,12:57:14,,0,0,2,2020-12-01,2020-11-25,2020-11-01
2020-12-01,61,1,104,"Approach Success",2020-12-07,13:49:28,"Not Answered",1,1,2,2020-12-01,2020-11-25,2020-11-01
2020-12-01,25,2,102,"Lead Qualification",2020-12-03,13:07:29,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,29,2,103,"Initial Communication Success",2020-12-04,09:41:16,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,60,2,104,"Approach Success",2020-12-07,12:32:29,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,154,2,105,"Discussion Success",2020-12-14,09:56:32,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,189,2,106,"Offer Sent",2020-12-15,16:43:05,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,324,2,107,"Quatation Received",2020-12-24,14:10:10,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,459,2,108,"Deal Won",2021-01-01,17:45:51,,0,0,3,2021-01-01,2020-11-26,2020-11-01
2020-12-01,27,3,102,"Lead Qualification",2020-12-03,17:25:06,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,30,3,103,"Initial Communication Success",2020-12-04,09:50:03,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,53,3,104,"Approach Success",2020-12-07,10:21:42,"Not Answered",1,1,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,14,4,102,"Lead Qualification",2020-12-01,16:36:31,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,23,4,103,"Initial Communication Success",2020-12-02,16:22:27,"Not Answered",1,1,2,2020-12-01,2020-11-26,2020-11-01
2020-12-01,35,5,102,"Lead Qualification",2020-12-04,12:17:43,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-12-01,69,5,103,"Initial Communication Success",2020-12-07,17:07:27,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-12-01,78,5,104,"Approach Success",2020-12-08,12:24:03,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-12-01,157,5,105,"Discussion Success",2020-12-14,10:35:05,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-12-01,190,5,106,"Offer Sent",2020-12-15,16:48:11,,,1,2,2020-12-01,2020-11-27,2020-11-01
2020-12-01,34,6,102,"Lead Qualification",2020-12-04,11:11:06,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,67,6,103,"Initial Communication Success",2020-12-07,16:57:47,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,107,6,104,"Approach Success",2020-12-10,11:13:12,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,240,6,105,"Discussion Success",2020-12-18,11:01:29,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,296,6,106,"Offer Sent",2020-12-22,17:15:39,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,417,6,107,"Quatation Received",2020-12-31,11:18:48,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,510,6,108,"Deal Won",2021-01-05,10:40:32,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-12-01,28,7,102,"Lead Qualification",2020-12-04,09:00:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,63,7,103,"Initial Communication Success",2020-12-07,15:09:28,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,102,7,104,"Approach Success",2020-12-09,17:33:41,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,151,7,105,"Discussion Success",2020-12-14,09:43:59,,,1,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,42,8,102,"Lead Qualification",2020-12-04,16:09:00,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,52,8,103,"Initial Communication Success",2020-12-07,10:00:12,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,75,8,104,"Approach Success",2020-12-08,11:30:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,166,8,105,"Discussion Success",2020-12-14,15:44:18,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,179,8,106,"Offer Sent",2020-12-15,09:59:06,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,330,8,107,"Quatation Received",2020-12-24,17:50:23,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,442,8,108,"Deal Won",2021-01-01,11:08:33,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-12-01,68,9,102,"Lead Qualification",2020-12-07,17:06:59,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,86,9,103,"Initial Communication Success",2020-12-08,17:43:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,138,9,104,"Approach Success",2020-12-11,15:56:09,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,232,9,105,"Discussion Success",2020-12-17,17:41:18,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,274,9,106,"Offer Sent",2020-12-21,16:07:43,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,389,9,107,"Quatation Received",2020-12-29,14:55:50,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,476,9,108,"Deal Won",2021-01-04,12:27:39,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-12-01,37,10,102,"Lead Qualification",2020-12-04,13:41:03,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,46,10,103,"Initial Communication Success",2020-12-07,09:09:17,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,111,10,104,"Approach Success",2020-12-10,12:59:02,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,237,10,105,"Discussion Success",2020-12-18,10:39:49,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,297,10,106,"Offer Sent",2020-12-22,17:34:24,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,398,10,107,"Quatation Received",2020-12-30,10:24:04,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-12-01,575,10,108,"Deal Won",2021-01-07,13:59:46,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-12-01,11,11,101,"Lead Registered",2020-12-01,09:19:58,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,84,11,102,"Lead Qualification",2020-12-08,17:15:57,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,101,11,103,"Initial Communication Success",2020-12-09,17:16:52,"Not Answered",1,1,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,12,12,101,"Lead Registered",2020-12-01,10:14:03,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,32,12,102,"Lead Qualification",2020-12-04,10:46:10,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,54,12,103,"Initial Communication Success",2020-12-07,10:44:19,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,92,12,104,"Approach Success",2020-12-09,12:23:05,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,242,12,105,"Discussion Success",2020-12-18,12:26:56,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,289,12,106,"Offer Sent",2020-12-22,13:47:31,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,374,12,107,"Quatation Received",2020-12-29,09:04:27,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,488,12,108,"Deal Won",2021-01-04,14:43:29,,0,0,3,2021-01-01,2020-12-01,2020-12-01
2020-12-01,13,13,101,"Lead Registered",2020-12-01,11:25:09,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,48,13,102,"Lead Qualification",2020-12-07,09:32:13,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,73,13,103,"Initial Communication Success",2020-12-08,10:35:15,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,103,13,104,"Approach Success",2020-12-10,09:10:39,,0,0,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,219,13,105,"Discussion Success",2020-12-17,12:02:32,"Price Not Fit",3,1,2,2020-12-01,2020-12-01,2020-12-01
2020-12-01,15,14,101,"Lead Registered",2020-12-02,09:18:00,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,17,15,101,"Lead Registered",2020-12-02,10:31:02,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,57,15,102,"Lead Qualification",2020-12-07,12:22:57,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,80,15,103,"Initial Communication Success",2020-12-08,14:46:06,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,93,15,104,"Approach Success",2020-12-09,12:33:19,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,220,15,105,"Discussion Success",2020-12-17,12:10:07,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,263,15,106,"Offer Sent",2020-12-21,11:18:46,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,373,15,107,"Quatation Received",2020-12-28,17:52:53,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,569,15,108,"Deal Won",2021-01-07,11:14:46,,0,0,3,2021-01-01,2020-12-02,2020-12-01
2020-12-01,18,16,101,"Lead Registered",2020-12-02,12:58:24,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,59,16,102,"Lead Qualification",2020-12-07,12:27:11,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,76,16,103,"Initial Communication Success",2020-12-08,11:51:56,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,108,16,104,"Approach Success",2020-12-10,11:18:27,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,149,16,105,"Discussion Success",2020-12-14,09:32:42,"Price Not Fit",3,1,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,19,17,101,"Lead Registered",2020-12-02,14:27:54,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,70,17,102,"Lead Qualification",2020-12-08,09:30:58,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,118,17,103,"Initial Communication Success",2020-12-11,09:30:27,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,162,17,104,"Approach Success",2020-12-14,13:21:28,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,286,17,105,"Discussion Success",2020-12-22,11:02:13,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,315,17,106,"Offer Sent",2020-12-23,16:20:54,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,414,17,107,"Quatation Received",2020-12-31,10:29:32,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,564,17,108,"Deal Won",2021-01-07,10:18:40,,0,0,3,2021-01-01,2020-12-02,2020-12-01
2020-12-01,20,18,101,"Lead Registered",2020-12-02,14:47:29,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,87,18,102,"Lead Qualification",2020-12-09,09:00:32,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,104,18,103,"Initial Communication Success",2020-12-10,09:47:48,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,129,18,104,"Approach Success",2020-12-11,13:34:41,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,248,18,105,"Discussion Success",2020-12-18,15:28:30,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,264,18,106,"Offer Sent",2020-12-21,11:47:20,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,412,18,107,"Quatation Received",2020-12-30,17:13:32,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,518,18,108,"Deal Won",2021-01-05,12:21:38,,0,0,3,2021-01-01,2020-12-02,2020-12-01
2020-12-01,21,19,101,"Lead Registered",2020-12-02,15:09:05,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,56,19,102,"Lead Qualification",2020-12-07,11:41:33,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,96,19,103,"Initial Communication Success",2020-12-09,13:08:11,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,131,19,104,"Approach Success",2020-12-11,13:50:04,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,214,19,105,"Discussion Success",2020-12-17,09:34:06,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,272,19,106,"Offer Sent",2020-12-21,14:56:53,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,376,19,107,"Quatation Received",2020-12-29,10:24:36,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,490,19,108,"Deal Won",2021-01-04,15:01:38,,0,0,3,2021-01-01,2020-12-02,2020-12-01
2020-12-01,22,20,101,"Lead Registered",2020-12-02,15:13:48,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,100,20,102,"Lead Qualification",2020-12-09,16:02:22,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,120,20,103,"Initial Communication Success",2020-12-11,09:49:17,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,164,20,104,"Approach Success",2020-12-14,14:29:35,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,275,20,105,"Discussion Success",2020-12-21,16:41:32,,0,0,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,338,20,106,"Offer Sent",2020-12-25,10:58:35,,,1,2,2020-12-01,2020-12-02,2020-12-01
2020-12-01,24,21,101,"Lead Registered",2020-12-03,10:20:02,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,71,21,102,"Lead Qualification",2020-12-08,09:49:06,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,121,21,103,"Initial Communication Success",2020-12-11,10:14:05,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,160,21,104,"Approach Success",2020-12-14,11:51:09,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,257,21,105,"Discussion Success",2020-12-21,09:43:52,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,319,21,106,"Offer Sent",2020-12-24,09:50:34,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,411,21,107,"Quatation Received",2020-12-30,17:07:12,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,433,21,108,"Deal Won",2021-01-01,09:30:30,,0,0,3,2021-01-01,2020-12-03,2020-12-01
2020-12-01,26,22,101,"Lead Registered",2020-12-03,13:31:39,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,99,22,102,"Lead Qualification",2020-12-09,13:40:44,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,134,22,103,"Initial Communication Success",2020-12-11,14:32:53,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,161,22,104,"Approach Success",2020-12-14,12:59:40,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,261,22,105,"Discussion Success",2020-12-21,11:06:23,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,317,22,106,"Offer Sent",2020-12-24,09:23:32,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,405,22,107,"Quatation Received",2020-12-30,14:38:20,,0,0,2,2020-12-01,2020-12-03,2020-12-01
2020-12-01,595,22,108,"Deal Won",2021-01-08,10:31:05,,0,0,3,2021-01-01,2020-12-03,2020-12-01
2020-12-01,31,23,101,"Lead Registered",2020-12-04,10:32:42,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,88,23,102,"Lead Qualification",2020-12-09,09:34:26,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,144,23,103,"Initial Communication Success",2020-12-11,17:31:43,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,148,23,104,"Approach Success",2020-12-14,09:13:25,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,246,23,105,"Discussion Success",2020-12-18,14:53:15,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,292,23,106,"Offer Sent",2020-12-22,16:00:52,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,428,23,107,"Quatation Received",2020-12-31,16:45:12,"Price Not Fit",3,1,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,33,24,101,"Lead Registered",2020-12-04,11:01:40,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,90,24,102,"Lead Qualification",2020-12-09,10:31:28,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,117,24,103,"Initial Communication Success",2020-12-11,09:27:17,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,176,24,104,"Approach Success",2020-12-14,17:22:55,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,233,24,105,"Discussion Success",2020-12-18,09:34:04,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,279,24,106,"Offer Sent",2020-12-22,09:22:32,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,395,24,107,"Quatation Received",2020-12-30,09:03:41,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,465,24,108,"Deal Won",2021-01-04,09:28:55,,0,0,3,2021-01-01,2020-12-04,2020-12-01
2020-12-01,38,25,101,"Lead Registered",2020-12-04,13:50:11,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,97,25,102,"Lead Qualification",2020-12-09,13:24:38,"Not Selected",2,1,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,39,26,101,"Lead Registered",2020-12-04,14:59:50,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,133,26,102,"Lead Qualification",2020-12-11,14:29:49,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,172,26,103,"Initial Communication Success",2020-12-14,17:02:25,"Not Answered",1,1,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,40,27,101,"Lead Registered",2020-12-04,15:15:55,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,145,27,102,"Lead Qualification",2020-12-11,17:52:44,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,153,27,103,"Initial Communication Success",2020-12-14,09:53:16,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,193,27,104,"Approach Success",2020-12-15,17:07:06,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,278,27,105,"Discussion Success",2020-12-21,17:54:20,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,299,27,106,"Offer Sent",2020-12-22,17:52:59,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,402,27,107,"Quatation Received",2020-12-30,12:11:59,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,572,27,108,"Deal Won",2021-01-07,11:34:42,,0,0,3,2021-01-01,2020-12-04,2020-12-01
2020-12-01,41,28,101,"Lead Registered",2020-12-04,15:48:54,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,94,28,102,"Lead Qualification",2020-12-09,12:42:32,,0,0,2,2020-12-01,2020-12-04,2020-12-01
2020-12-01,105,28,103,"Initial Communication Success",2020-12-10,09:50:48,,0,0,2,2020-12-01,2020-12-04,2020-12-01
